Date with time;Chiave;Calotta
28.11.2023 08:57:53;1004234E32E06780;80A5A7
28.11.2023 09:01:51;10043E6A32E06780;80A820
28.11.2023 09:46:13;1004076232E06780;80A5A7
28.11.2023 10:00:52;10044A6232E06780;80A820
28.11.2023 10:55:05;1004805EE2986F80;80A820
28.11.2023 12:34:23;1004985AE2986F80;80A773
28.11.2023 12:38:19;10046F65F2FA6D80;80BA27
28.11.2023 12:44:55;1004375C32796D80;80A820
28.11.2023 13:01:21;10045246F2FA6D80;80BA27
28.11.2023 13:49:49;10042A8532E06780;80A820
28.11.2023 14:09:44;1004955132E06780;80A773
28.11.2023 14:10:57;1004955132E06780;80A773
28.11.2023 14:15:23;10044C95F2FA6D80;80A820
28.11.2023 14:28:21;10046040E2986F80;80A764
28.11.2023 14:30:01;1004944532E06780;80A759
28.11.2023 14:34:37;10046040E2986F80;80A764
28.11.2023 14:34:48;10046A6A32E06780;807F88
28.11.2023 14:55:17;10044E5C32E06780;80A773
28.11.2023 15:03:17;10042B2032796D80;80A7FB
28.11.2023 15:10:43;10046E5132796D80;80A767
28.11.2023 15:10:48;10046E5132796D80;807F88
28.11.2023 15:11:39;10046E5132796D80;807F88
28.11.2023 15:16:58;10044322F2FA6D80;80A758
28.11.2023 15:22:07;1004265232E06780;80A764
28.11.2023 15:22:58;1004265232E06780;80A7FB
28.11.2023 15:29:38;10044B5532E06780;80A764
28.11.2023 15:34:21;10043E7032E06780;80A820
28.11.2023 15:37:39;1004577F32E06780;80BA27
28.11.2023 15:47:51;10042126F2FA6D80;80A753
28.11.2023 15:48:18;10042126F2FA6D80;80A753
28.11.2023 15:49:13;10046E5832796D80;80A811
28.11.2023 15:51:46;1004771232796D80;80A765
28.11.2023 15:52:02;1004054A32E06780;80A80C
28.11.2023 15:54:56;1004265B32E06780;80A767
28.11.2023 15:55:35;1004265B32E06780;80AB3A
28.11.2023 15:59:20;10043C0DE2986F80;80A764
28.11.2023 15:59:48;10043C0DE2986F80;80A7FB
28.11.2023 16:01:00;1004233932796D80;80A760
28.11.2023 16:03:25;10047F5632E06780;80A817
28.11.2023 16:17:27;1004236532E06780;80A811
28.11.2023 16:18:00;1004428832E06780;80A770
28.11.2023 16:18:05;1004428832E06780;80A75F
28.11.2023 16:19:59;10046C73CAFE5B80;80A7F9
28.11.2023 16:21:00;1004453832796D80;80A7FC
28.11.2023 16:21:13;1004453832796D80;80A764
28.11.2023 16:22:12;10041E3C32796D80;80A757
28.11.2023 16:25:03;10044C8332796D80;80A7F9
28.11.2023 16:32:29;10049330F2FA6D80;80A820
28.11.2023 16:32:52;1004465232E06780;80AE36
28.11.2023 16:32:58;1004465232E06780;80AE3F
28.11.2023 16:33:21;10049330F2FA6D80;80A744
28.11.2023 16:36:01;10043E35F2FA6D80;80A762
28.11.2023 16:40:09;10045F5932E06780;80A7F9
28.11.2023 16:40:23;10040D5832E06780;80A754
28.11.2023 16:43:37;10045E4BF2FA6D80;80BA27
28.11.2023 16:43:41;10045E4BF2FA6D80;80ACC9
28.11.2023 16:43:56;10049C5F32E06780;80A754
28.11.2023 16:44:24;1004832A32796D80;80A753
28.11.2023 16:47:24;10044D6232E06780;80A758
