Date with time;Chiave;Calotta
27.11.2023 20:05:09;100447757A795680;808F12
28.11.2023 12:01:07;10045E2F32796D80;807EE9
28.11.2023 12:22:43;100461281A545A80;808011
28.11.2023 12:23:17;100461281A545A80;808011
28.11.2023 12:53:43;10043F86FA385C80;807F55
28.11.2023 13:34:28;10040B3FB2545A80;807EEB
28.11.2023 14:16:01;10040F6D12525A80;807F8B
28.11.2023 15:12:47;10046A944A545A80;807F55
28.11.2023 15:26:40;1004479392D15680;807EE9
28.11.2023 15:49:39;10049E508AD15680;807F66
28.11.2023 15:49:57;10049E508AD15680;80801B
28.11.2023 15:50:11;10049E508AD15680;807F07
28.11.2023 16:26:08;10048D4132796D80;808024
28.11.2023 16:50:14;10042F8B7A3A5C80;808F12
28.11.2023 17:13:04;10045B6952525A80;807F10
28.11.2023 17:18:42;10041C5F7A3A5C80;807F5D
28.11.2023 17:18:53;10041C5F7A3A5C80;807EEB
28.11.2023 17:48:33;10043E93427C5B80;808F12
28.11.2023 19:26:47;10045520F2385C80;808F12
28.11.2023 20:05:48;1004494CEA7C5680;808F12
28.11.2023 23:44:55;10046C8FE27C5680;808F19
28.11.2023 23:45:12;10046C8FE27C5680;80ACCB
28.11.2023 23:45:38;10046C8FE27C5680;808F19
28.11.2023 23:55:20;1004252832796D80;807F38
29.11.2023 06:10:57;10042B890A7C5B80;80800C
29.11.2023 07:03:48;100432369A545A80;807ED8
29.11.2023 07:03:59;100432369A545A80;807F0A
29.11.2023 07:15:12;1004692DFA385C80;808F0D
29.11.2023 07:32:42;1004184832525A80;807F5D
29.11.2023 07:32:51;1004184832525A80;807EEB
29.11.2023 07:42:06;10044F42BA795680;808DA2
29.11.2023 07:55:11;10043329B2545A80;807F66
29.11.2023 07:56:08;10042B1482545A80;80B508
29.11.2023 08:44:23;1004953F5A395C80;807EEF
29.11.2023 08:45:01;10043E93427C5B80;808C1A
29.11.2023 09:15:23;100442444AD15680;807FFA
29.11.2023 09:23:11;10043069CA545A80;808AFF
29.11.2023 09:27:04;10043069CA545A80;808AFF
29.11.2023 09:28:59;1004336B32796D80;807F02
29.11.2023 09:31:21;10045C1532796D80;807F66
29.11.2023 09:31:41;10045C1532796D80;807F07
29.11.2023 09:50:30;1004622702395C80;807EEF
29.11.2023 09:50:49;1004622702395C80;80802E
29.11.2023 09:51:14;1004622702395C80;80802E
29.11.2023 09:51:39;1004622702395C80;807EEF
29.11.2023 10:07:09;10049570A2795680;808037
29.11.2023 10:07:30;10049570A2795680;807F58
29.11.2023 10:24:19;10049B47FA7C5680;807F5C
29.11.2023 10:25:33;1004288C92545A80;807F66
29.11.2023 10:33:02;1004925AEA7C5680;80B508
29.11.2023 10:33:20;1004925AEA7C5680;807EDD
29.11.2023 10:33:31;10048E638AFE5B80;807F8B
29.11.2023 10:34:16;10048E638AFE5B80;8084AC
29.11.2023 10:34:23;1004925AEA7C5680;809221
29.11.2023 10:34:49;10042D21AAD15680;808DA2
29.11.2023 10:34:58;10042D21AAD15680;808D98
29.11.2023 10:45:23;100459895A545A80;807F5E
29.11.2023 10:51:32;1004652432796D80;808AFF
29.11.2023 10:51:52;1004833B42CC5E80;80800C
29.11.2023 10:52:05;1004833B42CC5E80;80800C
29.11.2023 10:52:25;1004886F4A525A80;807FFA
29.11.2023 11:00:14;1004885C1A545A80;808D98
29.11.2023 11:02:20;10041641C2545A80;808F12
29.11.2023 11:18:20;10045661A2545A80;80800D
29.11.2023 11:18:35;10045661A2545A80;807F20
29.11.2023 11:26:52;10044E565A395C80;808C1F
29.11.2023 12:06:02;10043B6FAA795680;80BF1D
29.11.2023 12:09:59;10043E93427C5B80;808F12
29.11.2023 12:10:11;10043E93427C5B80;808D98
29.11.2023 12:13:53;1004165E62D15680;808D98
29.11.2023 12:14:38;1004165E62D15680;808C1A
29.11.2023 12:46:18;10044D70F27C5680;808D98
29.11.2023 13:21:40;1004143032796D80;807F2C
29.11.2023 13:38:42;10046D3872FE5B80;807F0D
29.11.2023 13:39:02;10046D3872FE5B80;807F52
29.11.2023 13:45:49;10041739C2FE5B80;807F66
29.11.2023 13:57:53;1004165E62D15680;808F12
29.11.2023 13:58:12;1004165E62D15680;808C1A
29.11.2023 13:58:21;1004165E62D15680;808C1A
29.11.2023 14:10:33;1004783D22395C80;807F2C
29.11.2023 14:31:42;1004494CEA7C5680;808D98
29.11.2023 14:33:53;10043B8092545A80;808C1A
29.11.2023 14:53:54;10044A47FA385C80;807F66
29.11.2023 15:02:16;10047B538AD15680;807F66
29.11.2023 15:07:26;10047B538AD15680;807F66
29.11.2023 15:08:55;100406491A395C80;808F12
29.11.2023 15:10:19;100406491A395C80;808C1A
29.11.2023 15:10:39;100406491A395C80;808D98
29.11.2023 15:38:04;100419631A525A80;807F0D
29.11.2023 15:38:18;100419631A525A80;807F52
29.11.2023 16:03:02;100452141A545A80;808AFF
29.11.2023 16:11:35;1004224C32796D80;808F12
