14/10/23 05:15:54 0000 s 01884ver01 44.882510 8.859902 00 00
14/10/23 05:29:13 0000 s 01884ver01 44.882558 8.859838 00 00
14/10/23 05:48:38 0001 1                  44.971282 8.882355 00 00 300ED89F33500086844FC3AB            
14/10/23 06:27:49 0074 1                  44.981475 8.882685 00 00 3231303032334D3030323137            
14/10/23 06:28:23 0075 1                  44.981327 8.882588 00 00 323030323545303033363230            
14/10/23 06:28:27 0076 1                  44.981283 8.882553 00 00 323030323545303032343335            
14/10/23 06:28:27 0077 1                  44.981283 8.882553 00 00 323030323545303032353130            
14/10/23 06:28:27 0078 1                  44.981283 8.882553 00 00 323030323545303032353037            
14/10/23 06:28:28 0079 1                  44.981265 8.882550 00 00 323030323545303032353131            
14/10/23 06:28:59 0080 1                  44.981202 8.882477 00 00 323030323545303032353137            
14/10/23 06:29:44 0081 1                  44.981297 8.882313 00 00 323030323545303032343131            
14/10/23 06:29:44 0082 1                  44.981297 8.882313 00 00 3231303032334D3033323037            
14/10/23 06:29:44 0083 1                  44.981297 8.882313 00 00 3232303032334D3030303934            
14/10/23 06:29:46 0084 1                  44.981303 8.882268 00 00 323030323545303032393639            
14/10/23 06:29:54 0085 1                  44.981317 8.882278 00 00 3232303032334D3031363732            
14/10/23 06:30:29 0086 1                  44.981278 8.882100 00 00 323030323545303032343130            
14/10/23 06:30:42 0087 1                  44.981273 8.882032 00 00 323030323545303032353038            
14/10/23 06:30:46 0088 1                  44.981297 8.882028 00 00 323030323545303032343432            
14/10/23 06:30:50 0089 1                  44.981303 8.882022 00 00 323030323545303033353332            
14/10/23 06:32:07 0090 1                  44.981277 8.881910 00 00 323030323545303034313738            
14/10/23 06:32:28 0091 1                  44.981245 8.881872 00 00 323030323545303033343137            
14/10/23 06:33:15 0092 1                  44.980378 8.881217 00 00 323030323545303032383235            
14/10/23 06:34:09 0093 1                  44.979647 8.883452 00 00 323030323545303036323532            
14/10/23 06:34:42 0094 1                  44.979668 8.883787 00 00 323030323545303036323834            
14/10/23 06:34:54 0095 1                  44.979678 8.883838 00 00 323030323545303036333237            
14/10/23 06:35:26 0096 1                  44.979682 8.884003 00 00 3232303032334D3030373937            
14/10/23 06:35:36 0097 1                  44.979663 8.884010 00 00 323030323545303032373731            
14/10/23 06:35:59 0098 1                  44.979628 8.884048 00 00 25754169A686CF1371E70DB0            
14/10/23 06:36:19 0099 1                  44.979577 8.884113 00 00 323030323545303032393439            
14/10/23 06:37:29 0100 1                  44.979938 8.884585 00 00 323030323545303036313839            
14/10/23 06:38:09 0101 1                  44.979690 8.884562 00 00 323030323545303036373833            
14/10/23 06:38:36 0102 1                  44.979640 8.884768 00 00 323030323545303032393535            
14/10/23 06:38:53 0103 1                  44.979612 8.884790 00 00 323030323545303035383734            
14/10/23 06:40:25 0104 1                  44.979835 8.884888 00 00 323030323545303036313838            
14/10/23 06:40:25 0105 1                  44.979835 8.884888 00 00 323030323545303036313738            
14/10/23 06:42:23 0106 1                  44.979003 8.886880 00 00 323030323545303035383537            
14/10/23 06:42:52 0107 1                  44.978815 8.886920 00 00 323030323545303036373130            
14/10/23 06:43:57 0108 1                  44.978153 8.887432 00 00 323030323545303036363635            
14/10/23 06:43:58 0109 1                  44.978153 8.887432 00 00 3231303032334D3031373431            
14/10/23 06:44:03 0110 1                  44.978155 8.887432 00 00 323030323545303036363734            
14/10/23 06:45:25 0111 1                  44.977683 8.888253 00 00 323030323545303036363733            
14/10/23 06:45:30 0112 1                  44.977685 8.888257 00 00 323030323545303036363732            
14/10/23 06:47:51 0113 1                  44.974552 8.891543 00 00 323030323545303038303239            
14/10/23 06:49:19 0114 1                  44.978710 8.887838 00 00 3232303032334D3030393336            
14/10/23 06:51:04 0115 1                  44.978988 8.885103 00 00 181232307400102700000000            
