14/10/23 05:32:25 0000 s 01486ver01 44.882552 8.859767 00 00
14/10/23 06:14:56 0076 1                  44.977920 8.884388 00 00 323030323545303030353030            
14/10/23 06:15:19 0077 1                  44.977837 8.884237 00 00 3232303032334D3030373834            
14/10/23 06:15:30 0078 1                  44.977757 8.884043 00 00 323030323545303035383132            
14/10/23 06:15:53 0079 1                  44.977437 8.884047 00 00 323030323545303035383831            
14/10/23 06:16:12 0080 1                  44.977335 8.884145 00 00 323030323545303032323431            
14/10/23 06:16:21 0081 1                  44.977298 8.884190 00 00 323030323545303033303839            
14/10/23 06:16:30 0082 1                  44.977255 8.884178 00 00 323030323545303033303031            
14/10/23 06:16:41 0083 1                  44.977182 8.884233 00 00 323030323545303033303030            
14/10/23 06:16:54 0084 1                  44.977147 8.884267 00 00 3231303032334D3035343433            
14/10/23 06:17:13 0085 1                  44.976880 8.884475 00 00 323030323545303033303838            
14/10/23 06:18:34 0086 1                  44.976345 8.885820 00 00 323030323545303036313030            
14/10/23 06:18:39 0087 1                  44.976338 8.885822 00 00 323030323545303036303939            
14/10/23 06:18:43 0088 1                  44.976343 8.885823 00 00 323030323545303036303938            
14/10/23 06:19:00 0089 1                  44.976560 8.885895 00 00 323030323545303032373832            
14/10/23 06:19:05 0090 1                  44.976573 8.885900 00 00 323030323545303032383632            
14/10/23 06:19:11 0091 1                  44.976573 8.885913 00 00 323030323545303032373936            
14/10/23 06:19:32 0092 1                  44.976777 8.885995 00 00 323030323545303032383638            
14/10/23 06:19:37 0093 1                  44.976785 8.885985 00 00 323030323545303032383730            
14/10/23 06:20:33 0094 1                  44.977067 8.886033 00 00 323030323545303032383535            
14/10/23 06:20:36 0095 1                  44.977082 8.886050 00 00 323030323545303032383536            
14/10/23 06:20:37 0096 1                  44.977082 8.886050 00 00 323030323545303032383537            
14/10/23 06:20:43 0097 1                  44.977090 8.886063 00 00 323030323545303036313537            
14/10/23 06:21:10 0098 1                  44.977340 8.886163 00 00 323030323545303032393139            
14/10/23 06:21:15 0099 1                  44.977347 8.886160 00 00 3232303032334D3031363436            
14/10/23 06:23:54 0100 1                  44.969585 8.885255 00 00 3231303032334D3031303837            
14/10/23 06:23:59 0101 1                  44.969560 8.885242 00 00 323030323545303032353031            
14/10/23 06:24:03 0102 1                  44.969532 8.885228 00 00 323030323545303032313832            
14/10/23 06:24:43 0103 1                  44.968962 8.885063 00 00 323030323545303035383138            
14/10/23 06:25:19 0104 1                  44.968733 8.885002 00 00 323030323545303035383139            
14/10/23 06:25:23 0105 1                  44.968728 8.884995 00 00 3231303032334D3030373938            
14/10/23 06:29:06 0106 1                  44.976830 8.882565 00 00 323030323545303035393636            
14/10/23 06:29:42 0107 1                  44.976942 8.882545 00 00 323030323545303035393635            
14/10/23 06:30:24 0108 1                  44.977415 8.883252 00 00 323030323545303035373734            
14/10/23 06:30:32 0109 1                  44.977468 8.883340 00 00 323030323545303035383636            
14/10/23 06:31:07 0110 1                  44.978177 8.884918 00 00 323030323545303030333432            
14/10/23 06:31:11 0111 1                  44.978185 8.884922 00 00 323030323545303030343237            
14/10/23 06:31:29 0112 1                  44.978470 8.885053 00 00 323030323545303036343833            
14/10/23 06:31:42 0113 1                  44.978587 8.885047 00 00 323030323545303037323834            
14/10/23 06:31:59 0114 1                  44.978802 8.885110 00 00 323030323545303036363233            
14/10/23 06:32:10 0115 1                  44.978910 8.885143 00 00 323030323545303035383536            
14/10/23 06:32:25 0116 1                  44.979075 8.885180 00 00 323030323545303038393637            
14/10/23 06:32:37 0117 1                  44.979098 8.885127 00 00 323030323545303035383937            
14/10/23 06:32:53 0118 1                  44.979055 8.885017 00 00 323030323545303039303439            
14/10/23 06:33:26 0119 1                  44.979272 8.885617 00 00 323030323545303036373636            
14/10/23 06:33:30 0120 1                  44.979282 8.885623 00 00 323030323545303036373635            
14/10/23 06:33:48 0121 1                  44.979222 8.886003 00 00 323030323545303035363233            
14/10/23 06:34:06 0122 1                  44.979197 8.886340 00 00 323030323545303035383631            
14/10/23 06:34:21 0123 1                  44.979152 8.886555 00 00 323030323545303035383538            
14/10/23 06:35:14 0124 1                  44.978693 8.889078 00 00 323030323545303035383234            
14/10/23 06:35:27 0125 1                  44.978692 8.889330 00 00 3231303032334D3031383833            
14/10/23 06:35:54 0126 1                  44.978977 8.889803 00 00 323030323545303032323130            
14/10/23 06:35:57 0127 1                  44.978980 8.889817 00 00 3231303032334D3033393133            
14/10/23 06:36:39 0128 1                  44.979133 8.889857 00 00 323030323545303033383230            
14/10/23 06:36:48 0129 1                  44.979122 8.889850 00 00 323030323545303030343730            
14/10/23 06:36:50 0130 1                  44.979128 8.889852 00 00 323030323545303033383134            
14/10/23 06:36:52 0131 1                  44.979140 8.889865 00 00 323030323545303033373730            
14/10/23 06:36:57 0132 1                  44.979122 8.889838 00 00 323030323545303032323135            
14/10/23 06:37:01 0133 1                  44.979127 8.889847 00 00 323030323545303033383133            
14/10/23 06:37:59 0134 1                  44.979220 8.889747 00 00 323030323545303033383232            
14/10/23 06:38:05 0135 1                  44.979237 8.889778 00 00 323030323545303033383039            
14/10/23 06:38:27 0136 1                  44.979528 8.889935 00 00 323030323545303032323337            
14/10/23 06:38:31 0137 1                  44.979532 8.889925 00 00 323030323545303032323335            
14/10/23 06:38:38 0138 1                  44.979532 8.889912 00 00 323030323545303032323336            
14/10/23 06:38:54 0139 1                  44.979573 8.889903 00 00 323030323545303033383233            
14/10/23 06:38:58 0140 1                  44.979578 8.889915 00 00 323030323545303033383139            
14/10/23 06:39:05 0141 1                  44.979583 8.889927 00 00 323030323545303032313337            
14/10/23 06:39:25 0142 1                  44.979742 8.889965 00 00 323030323545303033383331            
14/10/23 06:39:29 0143 1                  44.979753 8.889980 00 00 323030323545303033383138            
14/10/23 06:39:39 0144 1                  44.979780 8.890040 00 00 323030323545303033383332            
14/10/23 06:39:43 0145 1                  44.979790 8.890068 00 00 323030323545303033383330            
14/10/23 06:39:45 0146 1                  44.979795 8.890078 00 00 323030323545303032323936            
14/10/23 06:41:34 0147 1                  44.978505 8.890473 00 00 323030323545303035363030            
14/10/23 06:41:41 0148 1                  44.978497 8.890477 00 00 323030323545303035363031            
14/10/23 06:42:42 0149 1                  44.978147 8.893258 00 00 323030323545303033303034            
14/10/23 06:42:46 0150 1                  44.978137 8.893248 00 00 323030323545303032383232            
14/10/23 06:42:52 0151 1                  44.978132 8.893243 00 00 323030323545303030343937            
14/10/23 06:45:04 0152 1                  44.976837 8.893555 00 00 323030323545303032313737            
14/10/23 06:45:32 0153 1                  44.976977 8.893595 00 00 323030323545303035363037            
14/10/23 06:45:52 0154 1                  44.976987 8.893618 00 00 323030323545303033303739            
14/10/23 06:46:07 0155 1                  44.977028 8.893637 00 00 323030323545303032373935            
14/10/23 06:46:12 0156 1                  44.977027 8.893632 00 00 323030323545303030353239            
14/10/23 06:46:32 0157 1                  44.977182 8.893660 00 00 323030323545303036333737            
14/10/23 06:46:55 0158 1                  44.977457 8.893735 00 00 323030323545303036373137            
14/10/23 06:47:09 0159 1                  44.977450 8.893727 00 00 323030323545303036363035            
14/10/23 06:47:13 0160 1                  44.977447 8.893722 00 00 323030323545303036363937            
14/10/23 06:50:21 0161 1                  44.976812 8.900797 00 00 323030323545303036373638            
14/10/23 06:52:57 0162 1                  44.977578 8.910155 00 00 323031323055303030323732            
14/10/23 06:54:35 0163 1                  44.977855 8.910248 00 00 323031323055303030323536            
14/10/23 06:59:43 0164 1                  44.978055 8.894313 00 00 323030323545303036363039            
14/10/23 07:01:40 0165 1                  44.979137 8.892907 00 00 323030323545303036373633            
14/10/23 07:01:50 0166 1                  44.979077 8.892877 00 00 323030323545303036363333            
14/10/23 07:02:11 0167 1                  44.978948 8.892813 00 00 323030323545303036373632            
14/10/23 07:03:05 0168 1                  44.978497 8.891210 00 00 323030323545303036303037            
14/10/23 07:03:44 0169 1                  44.978853 8.888985 00 00 323030323545303035373932            
14/10/23 07:04:10 0170 1                  44.978972 8.887997 00 00 323030323545303036363830            
14/10/23 07:04:40 0171 1                  44.979117 8.887043 00 00 323030323545303032393737            
14/10/23 07:05:14 0172 1                  44.979438 8.885910 00 00 323030323545303030353834            
14/10/23 07:05:18 0173 1                  44.979435 8.885898 00 00 323030323545303030353433            
14/10/23 07:05:22 0174 1                  44.979432 8.885885 00 00 323030323545303030313936            
14/10/23 07:05:27 0175 1                  44.979428 8.885877 00 00 3232303032334D3030303630            
14/10/23 07:05:30 0176 1                  44.979425 8.885873 00 00 323030323545303032333730            
14/10/23 07:05:35 0177 1                  44.979427 8.885872 00 00 3232303032334D3031363530            
14/10/23 07:07:13 0178 1                  44.979698 8.885527 00 00 323030323545303032333935            
14/10/23 07:07:18 0179 1                  44.979697 8.885523 00 00 323030323545303032333932            
14/10/23 07:08:40 0180 1                  44.979845 8.885548 00 00 323030323545303035383733            
14/10/23 07:09:05 0181 1                  44.980072 8.885198 00 00 323030323545303036353130            
14/10/23 07:09:21 0182 1                  44.980345 8.885308 00 00 323030323545303036363138            
14/10/23 07:09:39 0183 1                  44.980678 8.885370 00 00 323030323545303036363930            
14/10/23 07:09:53 0184 1                  44.980823 8.885442 00 00 323030323545303036363231            
14/10/23 07:10:15 0185 1                  44.981318 8.885503 00 00 323030323545303035383633            
14/10/23 07:10:20 0186 1                  44.981327 8.885498 00 00 323030323545303035383637            
