21/10/23 05:04:08 0000 s 01503ver01 44.792347 8.739580 00 00
21/10/23 05:24:04 0001 1                  44.728888 8.852260 00 00 31383033304D303035343632            
21/10/23 05:27:36 0002 1                  44.726900 8.848235 00 00 444535323132333733423336            
21/10/23 05:28:54 0003 1                  44.727042 8.848035 00 00 31383132304A303036373436            
21/10/23 05:28:54 0004 1                  44.727042 8.848035 00 00 3035EBDF78584A0008038D69            
21/10/23 05:30:45 0005 1                  44.726260 8.847560 00 00 31383132304A303037383539            
21/10/23 05:32:27 0006 1                  44.723663 8.846833 00 00 31383033304D303030373038            
21/10/23 05:34:33 0007 1                  44.726722 8.849892 00 00 313931323053303035373834            
21/10/23 05:34:34 0008 1                  44.726720 8.849892 00 00 31383132304A303036343634            
21/10/23 05:37:05 0009 1                  44.729085 8.851940 00 00 31383033304D303030313539            
21/10/23 05:40:08 0010 1                  44.731618 8.843958 00 00 31383132304A303037303632            
21/10/23 05:40:10 0011 1                  44.731618 8.843958 00 00 30395DFA83490581E7C713DA            
21/10/23 05:40:10 0012 1                  44.731618 8.843958 00 00 30395DFA82FAEC00002CEE69            
21/10/23 05:41:55 0013 1                  44.732008 8.841875 00 00 30340BF8E016523ECBD18C06            
21/10/23 05:43:04 0014 1                  44.732007 8.841867 00 00 303961194078AD49502F9140            
21/10/23 05:43:04 0015 1                  44.732007 8.841867 00 00 303961354312EB49502F906A            
21/10/23 05:43:37 0016 1                  44.732015 8.841862 00 00 30340BEAB45B218D95863C04            
21/10/23 05:43:37 0017 1                  44.732015 8.841862 00 00 3231303234304A3032353738            
21/10/23 05:43:39 0018 1                  44.732015 8.841858 00 00 3034F836E80FA2809A900055            
21/10/23 05:43:39 0019 1                  44.732015 8.841858 00 00 3036143DD41D5997493B13D4            
21/10/23 05:43:40 0020 1                  44.732015 8.841858 00 00 30340BF8D44D4F84E94F3C04            
21/10/23 05:43:40 0021 1                  44.732015 8.841857 00 00 303435E7443DBE55A2312004            
21/10/23 05:43:40 0022 1                  44.732015 8.841857 00 00 3039612D41B3D2C9502F9152            
21/10/23 05:43:41 0023 1                  44.732015 8.841857 00 00 303614441044904BA8C2DACC            
21/10/23 05:43:41 0024 1                  44.732015 8.841857 00 00 3039611941BF7F09502F9360            
21/10/23 05:43:41 0025 1                  44.732015 8.841857 00 00 3035EBCBD82AB5004190B012            
21/10/23 05:43:42 0026 1                  44.732015 8.841857 00 00 303960FFC1573849502F94F7            
21/10/23 05:43:42 0027 1                  44.732018 8.841857 00 00 3039612D40729849502F90CB            
21/10/23 05:43:42 0028 1                  44.732018 8.841857 00 00 3034DFB36C5E2CD99C845BED            
21/10/23 05:43:43 0029 1                  44.732018 8.841857 00 00 3034F7EDC401544AB41DBCD3            
21/10/23 05:43:43 0030 1                  44.732018 8.841857 00 00 3039613543486149502F9115            
