26/07/25 05:01:37 0000 s 02535ver01 0 0 ss 01
26/07/25 06:14:57 0062 1                  44.751838 8.658623 ss 01 31383132304A303033363735            
26/07/25 06:14:57 0063 1                  44.751838 8.658623 ss 01 303AC8E9C0781319D8B64616            
26/07/25 06:14:57 0064 1                  44.751838 8.658623 ss 01 3035EBDF782E19480006F21B            
26/07/25 06:14:58 0065 1                  44.751838 8.658623 ss 01 31383132304A303033323838            
26/07/25 06:14:58 0066 1                  44.751838 8.658623 ss 01 3035EBB320541E0800040EDF            
26/07/25 06:14:58 0067 1                  44.751838 8.658623 ss 01 30396061C0C5284000005A09            
26/07/25 06:15:41 0068 1                  44.751835 8.658783 ss 01 30395DFA82C54600001C9281            
26/07/25 06:16:29 0069 1                  44.751685 8.658708 ss 01 31383132304A303033313030            
26/07/25 06:18:43 0070 1                  44.750707 8.658308 ss 01 31383132304A303031313135            
26/07/25 06:19:31 0071 1                  44.750662 8.658347 ss 01 31383132304A303031363935            
26/07/25 06:21:05 0072 1                  44.750568 8.658333 ss 01 31383132304A303033353431            
26/07/25 06:21:07 0073 1                  44.750562 8.658323 ss 01 31383132304A303031393734            
26/07/25 06:23:07 0074 1                  44.749930 8.657098 ss 01 313931323053303132343430            
26/07/25 06:24:42 0075 1                  44.750093 8.656412 ss 01 31383132304A303033323939            
26/07/25 06:26:20 0076 1                  44.749955 8.655485 ss 01 31383132304A303032303438            
26/07/25 06:27:46 0077 1                  44.748902 8.653265 ss 01 31383132304A303035393937            
26/07/25 06:30:24 0078 1                  44.747272 8.654565 ss 01 31383132304A303033363931            
26/07/25 06:30:26 0079 1                  44.747265 8.654575 ss 01 30395DFA8317390000124FDC            
26/07/25 06:31:30 0080 1                  44.747612 8.654422 ss 01 30396062C38AC90000183BD8            
26/07/25 06:31:30 0081 1                  44.747612 8.654422 ss 01 31383132304A303031363436            
26/07/25 06:32:38 0082 1                  44.748248 8.654188 ss 01 31383132304A303031353138            
26/07/25 06:33:36 0083 1                  44.748428 8.654118 ss 01 31383132304A303035343932            
26/07/25 06:35:33 0084 1                  44.750398 8.656133 ss 01 31383132304A303031303735            
26/07/25 06:35:33 0085 1                  44.750398 8.656133 ss 01 31383132304A303033323232            
26/07/25 06:36:57 0086 1                  44.750637 8.656138 ss 01 31383132304A303031323033            
26/07/25 06:36:57 0087 1                  44.750637 8.656138 ss 01 31383132304A303033363832            
26/07/25 06:38:31 0088 1                  44.750963 8.656155 ss 01 31383132314A303032383733            
26/07/25 06:38:33 0089 1                  44.750965 8.656150 ss 01 31383132304A303030383033            
26/07/25 06:41:37 0090 1                  44.749483 8.658500 ss 01 31383132304A303035313938            
26/07/25 06:42:55 0091 1                  44.749053 8.658713 ss 01 31383132304A303031353931            
26/07/25 06:44:19 0092 1                  44.747932 8.659512 ss 01 31383132304A303031343434            
26/07/25 06:45:43 0093 1                  44.746980 8.660225 ss 01 31383132304A303033373134            
26/07/25 06:47:08 0094 1                  44.745237 8.660913 ss 01 31383132304A303032373134            
26/07/25 06:51:40 0095 1                  44.746932 8.650522 ss 01 3234303234304A3030333534            
26/07/25 06:52:20 0096 1                  44.746918 8.650470 ss 01 31383132304A303034303034            
26/07/25 06:53:00 0097 1                  44.746898 8.650563 ss 01 30343626EC543880AE7AFC05            
26/07/25 06:55:49 0098 1                  44.748212 8.651605 ss 01 31383132304A303031303930            
26/07/25 06:57:27 0099 1                  44.748955 8.649260 ss 01 313832343045303036323337            
26/07/25 06:59:26 0100 1                  44.751235 8.648713 ss 01 313832343045303036323334            
26/07/25 07:01:30 0101 1                  44.751750 8.648345 ss 01 31383132304A303031373833            
26/07/25 07:03:17 0102 1                  44.753890 8.648970 ss 01 31383132304A303033363934            
26/07/25 07:03:51 0103 1                  44.753858 8.648943 ss 01 31383132304A303033323938            
26/07/25 07:10:42 0104 1                  44.757888 8.622442 ss 01 31383132304A303030373939            
26/07/25 07:11:53 0105 1                  44.758028 8.622153 ss 01 31383132304A303032383739            
26/07/25 07:13:15 0106 1                  44.758277 8.620807 ss 01 31383132304A303031373031            
26/07/25 07:18:00 0000 s 02535ver01 0 0 ss 01
26/07/25 07:23:33 0000 s 02535ver01 0 0 ss 01
26/07/25 07:24:13 0107 1                  44.754253 8.619307 ss 01 3233313130304A3030323732            
26/07/25 07:31:52 0108 1                  44.755528 8.619493 ss 01 3035EBEA080D560800041F8B            
26/07/25 07:32:12 0109 1                  44.755533 8.619463 ss 01 3035EBEA080E974800040557            
26/07/25 07:32:12 0110 1                  44.755533 8.619463 ss 01 30361443FC524B1F3305BC65            
26/07/25 07:32:28 0111 1                  44.755540 8.619477 ss 01 303AC8E9C0791D5C9A88DF14            
26/07/25 07:32:32 0112 1                  44.755543 8.619475 ss 01 303ACB034375701C9377A9B1            
26/07/25 07:32:32 0113 1                  44.755543 8.619475 ss 01 30396061C0EF990000006A54            
26/07/25 07:32:33 0114 1                  44.755543 8.619475 ss 01 3034F836E836FF0AB41E2338            
26/07/25 07:32:43 0115 1                  44.755548 8.619480 ss 01 30396061C0EA9340000003C4            
26/07/25 07:57:33 0000 s 02535ver01 44.755498 8.619525 ss 01
26/07/25 07:59:20 0116 1                  44.756703 8.619748 ss 01 3234303132304A3031343239            
26/07/25 07:59:20 0117 1                  44.756703 8.619748 ss 01 31383132304A303031313036            
26/07/25 08:01:54 0118 1                  44.758967 8.620047 ss 01 3231303132304A3035343130            
26/07/25 08:02:58 0119 1                  44.759487 8.620062 ss 01 31383132304A303031333536            
26/07/25 08:04:07 0120 1                  44.759827 8.620133 ss 01 31383132304A303031313539            
26/07/25 08:04:08 0121 1                  44.759827 8.620133 ss 01 3231313132304A3039393039            
26/07/25 08:05:40 0122 1                  44.762592 8.621745 ss 01 3231303132304A3031393530            
26/07/25 08:11:54 0123 1                  44.769055 8.655857 ss 01 313931313030533030323035            
26/07/25 08:15:20 0124 1                  44.764908 8.657338 ss 01 3234303234304A3030333439            
26/07/25 08:17:05 0125 1                  44.765135 8.656967 ss 01 313832343045303036323234            
26/07/25 08:18:24 0126 1                  44.766042 8.656920 ss 01 313931313030533030303238            
26/07/25 08:55:45 0127 1                  44.763243 8.657337 ss 01 313831313030533032303338            
26/07/25 09:22:00 0128 1                  44.757298 8.656065 ss 01 313931313030533030303438            
26/07/25 09:23:54 0129 1                  44.757283 8.656010 ss 01 313831313030533032303834            
26/07/25 10:03:09 0130 1                  44.769158 8.704315 ss 01 434C30303331303231363430            
26/07/25 10:03:43 0131 1                  44.769148 8.704328 ss 01 303AC8E9C0E57C5AC688D2E7            
26/07/25 10:04:02 0132 1                  44.769167 8.704355 ss 01 3035EBC0802A38880007938E            
26/07/25 10:04:06 0133 1                  44.769165 8.704352 ss 01 303ACA4001E680599C82DD38            
26/07/25 10:04:55 0134 1                  44.769158 8.704318 ss 01 3BE40000019B0E22C0007069            
26/07/25 10:05:23 0135 1                  44.769153 8.704327 ss 01 30396061C0F02D8000020D32            
26/07/25 10:05:45 0136 1                  44.769155 8.704315 ss 01 00B07A150C5598AE90EE0961            
26/07/25 10:40:39 0137 1                  44.765893 8.795582 ss 01 313831323332343037373030            
26/07/25 10:57:52 0000 s 02535ver01 44.753018 8.811842 ss 01
26/07/25 11:46:02 0000 s 02535ver01 44.752993 8.811868 ss 01
26/07/25 11:55:12 0138 1                  44.769273 8.787660 ss 01 3231313130304A3031323534            
26/07/25 11:55:40 0139 1                  44.769292 8.787653 ss 01 313931313030503030313437            
26/07/25 11:56:06 0140 1                  44.769283 8.787670 ss 01 3231313130304A3031323635            
26/07/25 11:56:35 0141 1                  44.769287 8.787677 ss 01 323031313030503030343935            
26/07/25 11:57:11 0142 1                  44.769263 8.787670 ss 01 3234313130304A3030333134            
