03/02/25 04:45:49 0000 s 01126ver01 44.753040 8.812445 ss 01
03/02/25 05:04:18 0001 1                  0 0 ss 01 323032323036323330303232            
03/02/25 05:21:58 0002 1                  0 0 ss 01 313931323053303036303031            
03/02/25 05:25:38 0003 1                  44.745536 8.811083 ss 01 3234303132304a3031385797            
03/02/25 05:27:33 0004 1                  44.746873 8.813241 ss 01 313931323053303035313036            
03/02/25 05:36:55 0005 1                  44.738779 8.828122 ss 01 313931323053303036353137            
03/02/25 05:37:08 0006 1                  44.738869 8.828151 ss 01 31383032334d303135323637            
03/02/25 05:38:48 0007 1                  44.738336 8.827992 ss 01 313931323053303032363638            
03/02/25 05:44:48 0008 1                  44.740780 8.825075 ss 01 31393132305330303130b634            
03/02/25 05:46:08 0009 1                  44.740914 8.824707 ss 01 31383132304a303036393630            
03/02/25 05:47:35 0010 1                  44.740551 8.824128 ss 01 31383132304a303036393536            
03/02/25 05:47:42 0011 1                  44.740560 8.824123 ss 01 31383132304a303036393539            
03/02/25 05:49:25 0012 1                  44.742760 8.820496 ss 01 3231303132304a3038333330            
03/02/25 05:56:34 0013 1                  44.766335 8.806001 ss 01 313831323045303030323935            
03/02/25 05:58:18 0014 1                  44.766195 8.807240 ss 01 313932343053303030343738            
03/02/25 06:00:50 0015 1                  44.766294 8.807145 ss 01 313932343053303030313638            
03/02/25 06:01:01 0016 1                  44.766177 8.807068 ss 01 313932343053303030313637            
03/02/25 06:04:00 0017 1                  44.765670 8.806573 ss 01 313931323053303036323039            
03/02/25 06:04:38 0018 1                  44.765565 8.806458 ss 01 313931323053303031303533            
03/02/25 06:04:46 0019 1                  44.765580 8.806487 ss 01 3231303132304a3030363630            
03/02/25 06:07:13 0020 1                  44.765607 8.806891 ss 01 303aca49835dce5ac68ab1f2            
03/02/25 06:07:14 0021 1                  44.765612 8.806898 ss 01 303acb03424a915c820835fb            
03/02/25 06:07:15 0022 1                  44.765614 8.806898 ss 01 303acb03428866dac689dd8d            
03/02/25 06:07:16 0023 1                  44.765616 8.806897 ss 01 313931323053303132353531            
03/02/25 06:07:17 0024 1                  44.765616 8.806897 ss 01 303acb03420b5edc7dec307e            
