22/07/25 06:44:43 0088 1                  44.733348 8.733878 pp 01 313931323050303036373030            
22/07/25 06:46:44 0090 1                  44.732316 8.734105 pp 01 313831323045303138383438            
22/07/25 06:47:17 0092 1                  44.731781 8.733692 pp 01 313931323050303039363034            
22/07/25 06:47:18 0093 1                  44.731774 8.733670 pp 01 31383132304a303235303133            
22/07/25 06:47:46 0094 1                  44.731665 8.733451 pp 01 313931323050303039363034            
22/07/25 06:47:47 0095 1                  44.731677 8.733444 pp 01 31383132304a303235303133            
22/07/25 06:49:00 0097 1                  44.732130 8.734629 pp 01 31383132304a303233373037            
22/07/25 06:49:26 0098 1                  44.732106 8.734734 pp 01 31383132304a303233373037            
22/07/25 06:54:45 0099 1                  44.721814 8.729618 pp 01 31383132304a303235323435            
22/07/25 06:55:11 0100 1                  44.721733 8.729637 pp 01 31383132304a303235323435            
22/07/25 06:56:52 0102 1                  44.723187 8.731315 pp 01 31383132304a303235323036            
22/07/25 06:57:42 0103 1                  44.723215 8.731411 pp 01 31383132304a303235323036            
22/07/25 07:01:48 0000 s 00478ver01 44.720173 8.732625 pp 01
22/07/25 07:04:34 0106 1                  44.719678 8.732546 pp 01 31383132304a303235323339            
22/07/25 07:05:14 0107 1                  44.719678 8.732546 pp 01 31383132304a303235323437            
22/07/25 07:05:41 0108 1                  44.719678 8.732546 pp 01 31383132304a303235323437            
22/07/25 07:07:14 0110 1                  44.719678 8.732546 pp 01 31383132304a303234393438            
22/07/25 07:13:32 0113 1                  44.719678 8.732546 pp 01 313831313030533030313739            
22/07/25 07:17:18 0115 1                  44.719678 8.732546 pp 01 31383132304a303235313239            
22/07/25 07:17:43 0116 1                  44.719678 8.732546 pp 01 31383132304a303235313239            
22/07/25 07:19:05 0117 1                  44.719678 8.732546 pp 01 31383132304a3032353436b2            
22/07/25 07:19:32 0118 1                  44.719678 8.732546 pp 01 31383132304a303232343035            
22/07/25 07:19:34 0119 1                  44.719678 8.732546 pp 01 31383132304a3032353436b2            
22/07/25 07:21:21 0122 1                  44.719678 8.732546 pp 01 31383132304a303230323837            
22/07/25 07:21:22 0123 1                  44.719678 8.732546 pp 01 31383132304a303235303039            
22/07/25 07:21:47 0124 1                  44.719678 8.732546 pp 01 31383132304a303230323837            
22/07/25 07:21:48 0125 1                  44.719678 8.732546 pp 01 31383032334d303031353636            
22/07/25 07:21:49 0126 1                  44.719678 8.732546 pp 01 31383132304a303235303039            
22/07/25 07:21:55 0127 1                  44.719678 8.732546 pp 01 31383132304a303235303131            
22/07/25 07:23:15 0130 1                  44.719678 8.732546 pp 01 31383132304a303233373032            
22/07/25 07:24:18 0131 1                  44.719678 8.732546 pp 01 31383132304a303138373830            
22/07/25 07:24:18 0132 1                  44.719678 8.732546 pp 01 31383132304a303039313031            
22/07/25 07:24:19 0133 1                  44.719678 8.732546 pp 01 31383132304a303138373830            
22/07/25 07:24:21 0134 1                  44.719678 8.732546 pp 01 31383132304a303233373032            
22/07/25 07:24:21 0135 1                  44.719678 8.732546 pp 01 31383132304a303233373033            
22/07/25 07:26:39 0137 1                  44.719678 8.732546 pp 01 31383132304a303235303032            
22/07/25 07:28:22 0139 1                  44.719678 8.732546 pp 01 31383132304a303235303337            
22/07/25 07:28:26 0140 1                  44.719678 8.732546 pp 01 31383132304a303235333633            
22/07/25 07:30:16 0143 1                  44.719678 8.732546 pp 01 31383132304a303235303430            
22/07/25 07:30:46 0144 1                  44.719678 8.732546 pp 01 31383132304a303235303430            
22/07/25 07:31:42 0146 1                  44.719678 8.732546 pp 01 313931323050303037323135            
22/07/25 07:32:10 0148 1                  44.719678 8.732546 pp 01 31383132304a303235303139            
22/07/25 07:32:35 0149 1                  44.719678 8.732546 pp 01 31383132304a303235303139            
22/07/25 07:33:09 0151 1                  44.719678 8.732546 pp 01 31383032334d303031343830            
22/07/25 07:33:22 0152 1                  44.719678 8.732546 pp 01 31383132304a303234393835            
22/07/25 07:34:05 0153 1                  44.719678 8.732546 pp 01 31383132304a303235333530            
22/07/25 07:34:10 0154 1                  44.719678 8.732546 pp 01 31383132304a303230353737            
