08/01/25 05:06:50 0000 s 02537ver01 44.753340 8.812423 ss 01
08/01/25 05:47:07 0001 1                  44.695533 8.840355 ss 01 313931323053303037343433            
08/01/25 05:48:36 0002 1                  44.694583 8.839273 ss 01 313931323053303037343539            
08/01/25 05:50:49 0003 1                  44.693773 8.838340 ss 01 313931323053303038383338            
08/01/25 05:52:46 0004 1                  44.692922 8.835747 ss 01 3234303132304A3032353535            
08/01/25 05:52:48 0005 1                  44.692920 8.835745 ss 01 313931323053303039323336            
08/01/25 05:54:33 0006 1                  44.692822 8.833347 ss 01 3232303032334D3031383535            
08/01/25 05:56:47 0007 1                  44.692038 8.829955 ss 01 313931323053303039383636            
08/01/25 05:59:07 0008 1                  44.691877 8.828395 ss 01 313931323053303037353736            
08/01/25 06:04:33 0009 1                  44.690092 8.823995 ss 01 3231313130304A3030333536            
08/01/25 06:05:33 0010 1                  44.690055 8.823998 ss 01 3231313130304A3030333737            
08/01/25 06:07:42 0011 1                  44.690063 8.823975 ss 01 3231313130304A3030333535            
08/01/25 06:12:15 0012 1                  44.690082 8.824012 ss 01 3231313130304A3030333736            
08/01/25 06:12:17 0013 1                  44.690082 8.824012 ss 01 30317D7A72854700000159D8            
08/01/25 06:24:44 0014 1                  44.690680 8.824828 ss 01 3231303132304A3031353437            
08/01/25 06:29:05 0015 1                  44.688302 8.806755 ss 01 3234313130304A3030303038            
08/01/25 06:29:06 0016 1                  44.688302 8.806753 ss 01 3039611941BF7C89502FE782            
08/01/25 06:30:24 0017 1                  44.688288 8.806747 ss 01 3231313130304A3030383237            
08/01/25 06:30:45 0018 1                  44.688305 8.806730 ss 01 303ACB0343026C9C8A56AD12            
08/01/25 06:31:38 0019 1                  44.688290 8.806712 ss 01 3231313130304A3030383231            
08/01/25 06:40:56 0020 1                  44.681903 8.811890 ss 01 3232313130304A3030313537            
08/01/25 06:48:30 0021 1                  44.683702 8.807680 ss 01 313931323053303132383730            
08/01/25 06:57:51 0022 1                  44.685295 8.804088 ss 01 3231303132304A3031313236            
08/01/25 06:57:51 0023 1                  44.685295 8.804088 ss 01 3231303132304A3032313938            
08/01/25 07:02:32 0024 1                  44.670510 8.807275 ss 01 303ACA498359A59C660F98CE            
08/01/25 07:02:32 0025 1                  44.670510 8.807275 ss 01 303ACA49839D365C67BE153B            
08/01/25 07:02:33 0026 1                  44.670510 8.807275 ss 01 3231313130304A3030333732            
08/01/25 07:09:36 0027 1                  44.686473 8.807225 ss 01 3231303132304A3130333537            
08/01/25 07:09:39 0028 1                  44.686473 8.807225 ss 01 3231303132304A3130333537            
08/01/25 07:13:50 0029 1                  44.687050 8.807488 ss 01 3231303132304A3030373737            
08/01/25 07:13:51 0030 1                  44.687050 8.807488 ss 01 3231303132304A3031323738            
08/01/25 07:16:39 0031 1                  44.686803 8.807853 ss 01 3231303132304A3032303231            
08/01/25 07:21:43 0032 1                  44.690848 8.822565 ss 01 3233303234304A3030393337            
08/01/25 07:44:13 0033 1                  44.689895 8.825493 ss 01 313932343053303030353535            
08/01/25 07:44:13 0034 1                  44.689895 8.825493 ss 01 313932343053303030333333            
08/01/25 07:48:26 0035 1                  44.688803 8.814357 ss 01 004400470005000400093711            
08/01/25 07:48:29 0036 1                  44.688802 8.814357 ss 01 004400470005000400093146            
08/01/25 07:48:37 0037 1                  44.688803 8.814345 ss 01 3034F848E824DF42EE0005BF            
08/01/25 07:48:59 0038 1                  44.688800 8.814367 ss 01 004400450006000400060160            
08/01/25 07:49:01 0039 1                  44.688800 8.814365 ss 01 3035EA594419FE87FE0133A0            
08/01/25 07:49:05 0040 1                  44.688800 8.814367 ss 01 004400450006000400059107            
08/01/25 07:50:35 0041 1                  44.688823 8.814302 ss 01 30360372D82CFFC00CD0A579            
08/01/25 07:50:38 0042 1                  44.688825 8.814295 ss 01 3035EBDF782E1988000745AF            
08/01/25 07:56:18 0043 1                  44.690442 8.813507 ss 01 3231313130304A3030333733            
08/01/25 07:57:10 0044 1                  44.690463 8.813485 ss 01 3231313130304A3030333138            
08/01/25 07:57:51 0045 1                  44.690458 8.813507 ss 01 3231313130304A3030333734            
08/01/25 07:58:32 0046 1                  44.690458 8.813495 ss 01 3231313130304A3030333233            
08/01/25 07:59:11 0047 1                  44.690437 8.813488 ss 01 3231313130304A3030333135            
08/01/25 08:04:30 0048 1                  44.685640 8.806063 ss 01 30360394A808D5C402000CD3            
08/01/25 08:04:33 0049 1                  44.685638 8.806065 ss 01 3231313130304A3030393735            
08/01/25 08:09:20 0050 1                  44.684722 8.811498 ss 01 3231313130304A3030383238            
08/01/25 08:14:17 0051 1                  44.688330 8.819153 ss 01 08886D0EE2932D8000E172D9            
08/01/25 08:14:17 0052 1                  44.688330 8.819153 ss 01 303ACB034267F559D8B65F28            
08/01/25 08:15:06 0053 1                  44.688352 8.819157 ss 01 3231313130304A3030333336            
08/01/25 08:25:04 0054 1                  44.677507 8.857888 ss 01 3231313130304A3030333735            
08/01/25 08:32:02 0055 1                  44.691322 8.841795 ss 01 313931323053303039343131            
08/01/25 08:32:02 0056 1                  44.691322 8.841795 ss 01 3035EBA5685AB00047868C0B            
08/01/25 08:34:16 0057 1                  44.691595 8.840853 ss 01 313931323053303039393030            
08/01/25 08:34:19 0058 1                  44.691597 8.840857 ss 01 313931323053303039333031            
08/01/25 08:48:28 0000 s 02537ver01 44.691152 8.824175 ss 01
08/01/25 08:49:44 0059 1                  44.690613 8.823915 ss 01 313932343053303030333334            
08/01/25 09:17:45 0060 1                  44.712912 8.823913 ss 01 3231313130304A3030313739            
08/01/25 09:18:56 0061 1                  44.712882 8.823922 ss 01 3231313130304A3030393533            
08/01/25 09:20:10 0062 1                  44.712865 8.823898 ss 01 3035EBDF782E02880005378C            
08/01/25 09:23:03 0063 1                  44.712888 8.823888 ss 01 3230313130304A3030373136            
08/01/25 09:23:10 0064 1                  44.712893 8.823887 ss 01 0829018439D56F801C735DC3            
08/01/25 09:32:03 0065 1                  44.712202 8.823058 ss 01 3230313130304A3030373033            
08/01/25 09:54:53 0066 1                  44.749863 8.808622 ss 01 000000000000000017864077            
08/01/25 09:57:31 0067 1                  44.759217 8.792797 ss 01 000000000000000018924025            
08/01/25 10:52:05 0000 s 02537ver01 44.753047 8.811883 ss 01
08/01/25 10:56:31 0000 s 02537ver01 44.753472 8.812772 ss 01
08/01/25 11:00:48 0000 s 02537ver01 44.753475 8.812782 ss 01
08/01/25 11:02:23 0000 s 02537ver01 44.753502 8.812673 ss 01
08/01/25 18:20:18 0000 s 02537ver01 44.753495 8.812740 ss 01
