30/01/25 05:24:13 0000 s 02028ver01 44.752963 8.811893 uu 01
30/01/25 08:44:19 0001 1                  0 0 uu 01 323032323036323330303238            
30/01/25 08:47:45 0000 s 02028ver01 44.753303 8.812927 uu 01
30/01/25 08:50:04 0000 s 02028ver01 44.753078 8.811895 uu 01
30/01/25 09:23:43 0002 1                  0 0 uu 01 31383032334d303130313034            
30/01/25 09:23:43 0003 1                  0 0 uu 01 31383032334d303139303335            
30/01/25 09:24:16 0004 1                  0 0 uu 01 31383032334d303138353538            
30/01/25 09:24:34 0005 1                  0 0 uu 01 31383032334d303139303338            
30/01/25 09:27:03 0006 1                  0 0 uu 01 3234303234304a3030373432            
30/01/25 09:27:34 0007 1                  0 0 uu 01 3234303234304a3030373435            
30/01/25 09:28:07 0008 1                  0 0 uu 01 31383032334d303033373037            
30/01/25 09:28:35 0009 1                  0 0 uu 01 323030323545303030363835            
30/01/25 09:29:09 0010 1                  0 0 uu 01 31383032334d303033363134            
30/01/25 09:30:20 0011 1                  0 0 uu 01 31383032334d303139313030            
30/01/25 09:31:32 0012 1                  0 0 uu 01 31383032334d303139323437            
30/01/25 09:32:06 0013 1                  0 0 uu 01 3231303032334d3030383137            
30/01/25 09:32:16 0014 1                  0 0 uu 01 31383032334d303132393738            
30/01/25 09:32:32 0015 1                  0 0 uu 01 3231303132304a3037353132            
30/01/25 09:34:31 0016 1                  0 0 uu 01 31383032334d303033363336            
30/01/25 09:37:32 0017 1                  0 0 uu 01 31383032334d303139313735            
30/01/25 09:38:00 0018 1                  0 0 uu 01 31383032334d303033383738            
30/01/25 09:39:20 0019 1                  0 0 uu 01 31383032334d303033363036            
30/01/25 09:39:25 0020 1                  0 0 uu 01 31383032334d303033363430            
30/01/25 09:40:05 0021 1                  0 0 uu 01 3231303132304a3035323538            
30/01/25 09:41:04 0022 1                  0 0 uu 01 3234303032334d3032333532            
30/01/25 09:42:46 0023 1                  0 0 uu 01 31383032334d303139313736            
30/01/25 09:43:28 0024 1                  0 0 uu 01 31383032334d303139313732            
30/01/25 09:44:28 0025 1                  0 0 uu 01 31383032334d303033363032            
30/01/25 09:44:58 0026 1                  0 0 uu 01 3232303032334d3031393536            
30/01/25 09:45:40 0027 1                  0 0 uu 01 3234303234304a3030373434            
30/01/25 09:45:45 0028 1                  0 0 uu 01 3234303234304a3030373433            
30/01/25 09:48:35 0029 1                  44.625072 8.841081 uu 01 31383032334d303037383133            
30/01/25 09:48:38 0030 1                  44.624962 8.841046 uu 01 31383032334d303133313433            
30/01/25 09:48:50 0031 1                  44.624869 8.841134 uu 01 31383032334d303135313532            
30/01/25 09:50:34 0032 1                  44.626763 8.842154 uu 01 31383032334d303131303439            
30/01/25 09:51:03 0033 1                  44.627025 8.842467 uu 01 31383032334d303130303930            
30/01/25 09:51:11 0034 1                  44.627021 8.842585 uu 01 31383032334d303130393335            
30/01/25 09:53:55 0035 1                  44.623127 8.844979 uu 01 3233303132304a3032303532            
30/01/25 09:56:29 0036 1                  44.622868 8.846612 uu 01 31383032334d303130313136            
30/01/25 09:56:41 0037 1                  44.622910 8.846589 uu 01 31383032334d303130313138            
30/01/25 09:58:26 0038 1                  44.620251 8.844231 uu 01 31383032334d303031313839            
30/01/25 10:00:36 0039 1                  44.619206 8.844879 uu 01 3231303032334d3031323134            
30/01/25 10:01:37 0040 1                  44.618971 8.845664 uu 01 31383032334d303037393137            
30/01/25 10:02:09 0041 1                  44.618971 8.845664 uu 01 31383032334d303139313734            
30/01/25 10:02:16 0042 1                  44.618971 8.845664 uu 01 31383032334d303037383438            
30/01/25 10:03:24 0043 1                  44.618022 8.846764 uu 01 31383032334d303135313738            
30/01/25 10:16:06 0044 1                  44.604275 8.862350 uu 01 323032343055303030333332            
30/01/25 10:17:47 0045 1                  44.604275 8.862350 uu 01 3234303234304a3030373331            
30/01/25 10:21:03 0046 1                  44.604275 8.862350 uu 01 3231303234304a3034323337            
30/01/25 10:21:45 0047 1                  44.604275 8.862350 uu 01 3231303234304a3034323338            
30/01/25 10:21:57 0048 1                  44.604275 8.862350 uu 01 3231303234304a3034323431            
30/01/25 10:22:43 0049 1                  44.604275 8.862350 uu 01 3231303234304a3034323336            
30/01/25 10:34:20 0050 1                  44.604275 8.862350 uu 01 31383032334d303139323031            
30/01/25 10:39:51 0051 1                  44.633665 8.842670 uu 01 323030323545303032333130            
30/01/25 10:43:05 0052 1                  44.653879 8.830452 uu 01 31383032334d303130323830            
30/01/25 10:43:20 0053 1                  44.653841 8.830492 uu 01 31383032334d303130323738            
30/01/25 10:43:33 0054 1                  44.653705 8.830504 uu 01 31383032334d303139353135            
30/01/25 10:44:37 0055 1                  44.653969 8.831449 uu 01 31383032334d303038333636            
30/01/25 10:45:13 0056 1                  44.654039 8.831771 uu 01 31383032334d303038333633            
30/01/25 10:45:21 0057 1                  44.654108 8.831770 uu 01 31383032334d303038323635            
30/01/25 10:45:54 0058 1                  44.654336 8.831746 uu 01 3233303032334d3030323138            
30/01/25 10:45:58 0059 1                  44.654344 8.831765 uu 01 3231303032334d3035303135            
30/01/25 10:46:32 0060 1                  44.653398 8.831053 uu 01 31383032334d303139363831            
30/01/25 10:47:51 0061 1                  44.653170 8.829825 uu 01 31383032334d303131303433            
30/01/25 10:49:17 0062 1                  44.653742 8.829652 uu 01 3232303032334d3031383232            
30/01/25 10:49:58 0063 1                  44.654065 8.830328 uu 01 31383032334d303134353030            
30/01/25 10:51:00 0064 1                  44.655407 8.830334 uu 01 31383032334d303134343931            
30/01/25 10:51:40 0065 1                  44.655753 8.830313 uu 01 31383032334d303134353036            
30/01/25 10:52:14 0066 1                  44.655598 8.829881 uu 01 31383032334d303134353032            
30/01/25 10:53:09 0067 1                  44.654204 8.830563 uu 01 31383032334d303134343933            
30/01/25 10:53:49 0068 1                  44.654482 8.831238 uu 01 31383032334d303036393231            
30/01/25 10:56:22 0069 1                  44.656726 8.831004 uu 01 31383032334d303037383437            
30/01/25 10:56:32 0070 1                  44.656642 8.830974 uu 01 31383032334d303033383839            
30/01/25 10:57:35 0071 1                  44.657498 8.831262 uu 01 31383032334d303033393836            
