10/06/25 10:58:59 0000 s 00903ver01 44.752842 8.812040 uu 01
10/06/25 11:23:45 0000 s 00903ver01 44.758937 8.664395 uu 01
10/06/25 11:23:47 0000 s 00903ver01 44.758937 8.664395 uu 01
10/06/25 11:24:15 0001 1                  0 0 uu 01 3231303234304a3032383534            
10/06/25 11:24:15 0002 1                  0 0 uu 01 323032323036323330303038            
10/06/25 11:24:23 0000 s 00903ver01 44.758937 8.664395 uu 01
10/06/25 11:25:50 0000 s 00903ver01 44.758937 8.664395 uu 01
10/06/25 11:27:01 0000 s 00903ver01 44.758937 8.664395 uu 01
10/06/25 11:27:05 0000 s 00903ver01 44.758937 8.664395 uu 01
10/06/25 11:35:22 0003 1                  44.754977 8.659558 uu 01 31383032334d303034353630            
10/06/25 11:35:26 0004 1                  44.755007 8.659533 uu 01 31383132304a303233383134            
10/06/25 11:35:27 0005 1                  44.755009 8.659537 uu 01 3234303032334d3031313336            
10/06/25 11:37:23 0006 1                  44.755531 8.659268 uu 01 3234303032334d3030383139            
10/06/25 11:39:33 0007 1                  44.755861 8.659383 uu 01 31383032334d303136393534            
10/06/25 11:40:45 0008 1                  44.755888 8.659051 uu 01 31383032334d303034373137            
10/06/25 11:43:16 0009 1                  44.755610 8.657566 uu 01 3231303032334d3031393838            
10/06/25 11:46:16 0010 1                  44.755145 8.657368 uu 01 3234303032334d3032303232            
10/06/25 11:47:41 0011 1                  44.754981 8.658504 uu 01 31383032334d303131373538            
10/06/25 11:47:56 0012 1                  44.755114 8.658565 uu 01 31383032334d303138303534            
10/06/25 11:49:50 0013 1                  44.754791 8.657449 uu 01 31383032334d303034353737            
10/06/25 11:50:16 0014 1                  44.754888 8.657230 uu 01 31383032334d303136343134            
10/06/25 11:52:59 0016 1                  44.754761 8.656126 uu 01 31383032334d303136363433            
10/06/25 11:55:18 0017 1                  44.755057 8.655505 uu 01 31383032334d303136383030            
10/06/25 11:55:26 0018 1                  44.755044 8.655505 uu 01 31383032334d303136343036            
10/06/25 11:57:21 0019 1                  44.755438 8.655700 uu 01 31383032334d303135343439            
10/06/25 11:57:51 0020 1                  44.755290 8.655628 uu 01 31383032334d303136343139            
10/06/25 11:58:01 0021 1                  44.755227 8.655651 uu 01 31383032334d303136353938            
10/06/25 11:58:44 0022 1                  44.754782 8.655643 uu 01 31383032334d303136343234            
10/06/25 12:01:49 0023 1                  44.753055 8.655815 uu 01 31383032334d303033323233            
10/06/25 12:02:39 0024 1                  44.752763 8.654945 uu 01 31383032334d303034363637            
10/06/25 12:03:06 0025 1                  44.752800 8.654897 uu 01 31383032334d303034363232            
10/06/25 12:03:40 0026 1                  44.752717 8.654465 uu 01 31383032334d303034343532            
10/06/25 12:04:23 0027 1                  44.752646 8.653883 uu 01 31383032334d303136353735            
10/06/25 12:04:40 0028 1                  44.752571 8.654007 uu 01 31383032334d303136363131            
10/06/25 12:04:54 0029 1                  44.752587 8.653945 uu 01 31383032334d303136373232            
10/06/25 12:06:05 0030 1                  44.752439 8.653711 uu 01 31383032334d303033313938            
10/06/25 12:06:12 0031 1                  44.752450 8.653714 uu 01 31383032334d303031303530            
10/06/25 12:06:39 0032 1                  44.752576 8.653580 uu 01 31383032334d303136373730            
10/06/25 12:07:43 0033 1                  44.752517 8.653328 uu 01 31383032334d303033333835            
10/06/25 12:07:55 0034 1                  44.752474 8.653418 uu 01 31b83032334d303136383835            
10/06/25 12:09:13 0035 1                  44.752383 8.652930 uu 01 31383032334d303034363231            
10/06/25 12:10:02 0036 1                  44.752367 8.652802 uu 01 31383032334d303034363131            
10/06/25 12:10:29 0037 1                  44.752359 8.652784 uu 01 3234303032334d3030303336            
10/06/25 12:10:35 0038 1                  44.752361 8.652700 uu 01 31383032334d303034353938            
10/06/25 12:11:15 0039 1                  44.752326 8.652399 uu 01 3231303032334d3034363030            
10/06/25 12:11:15 0040 1                  44.752326 8.652399 uu 01 3232303032334d3031313136            
10/06/25 12:11:36 0041 1                  44.752321 8.652444 uu 01 3232303032334d3030333831            
10/06/25 12:11:39 0042 1                  44.752330 8.652446 uu 01 3231303032334d3034363030            
10/06/25 12:12:14 0043 1                  44.752297 8.652209 uu 01 3231303032334d3030323232            
10/06/25 12:12:19 0044 1                  44.752310 8.652193 uu 01 31383032334d303130313630            
10/06/25 12:12:29 0045 1                  44.752195 8.652282 uu 01 31383032334d303034353936            
10/06/25 12:14:25 0046 1                  44.750707 8.651850 uu 01 31383032334d303136373931            
10/06/25 12:14:27 0047 1                  44.750701 8.651848 uu 01 31383032334d303136373631            
10/06/25 12:14:39 0048 1                  44.750718 8.651826 uu 01 31383032334d303136343832            
10/06/25 12:14:41 0049 1                  44.750724 8.651849 uu 01 31383032334d303136373933            
10/06/25 12:16:10 0050 1                  44.751118 8.651627 uu 01 31383032334d303037333039            
10/06/25 12:17:35 0051 1                  44.752032 8.651103 uu 01 31383032334d303034353930            
10/06/25 12:18:20 0052 1                  44.752340 8.650649 uu 01 31383032334d303033343736            
10/06/25 12:19:34 0053 1                  44.752552 8.650465 uu 01 31383032334d303034353939            
10/06/25 12:20:07 0054 1                  44.752915 8.650343 uu 01 31383032334d303034353934            
10/06/25 12:21:49 0055 1                  44.752041 8.651705 uu 01 31383032334d303034353838            
10/06/25 12:22:37 0056 1                  44.752080 8.652951 uu 01 31383032334d303035333338            
10/06/25 12:23:33 0057 1                  44.751593 8.653262 uu 01 31383032334d303033333733            
10/06/25 12:23:49 0058 1                  44.751627 8.653168 uu 01 31383032334d303033333634            
10/06/25 12:23:51 0059 1                  44.751616 8.653131 uu 01 31383032334d303138303634            
10/06/25 12:24:05 0060 1                  44.751682 8.653037 uu 01 31383032334d303034353836            
10/06/25 12:25:10 0061 1                  44.751914 8.654255 uu 01 31383032334d303136343931            
10/06/25 12:25:11 0062 1                  44.751904 8.654257 uu 01 31383032334d303033333635            
10/06/25 12:25:58 0063 1                  44.751886 8.654449 uu 01 31383032334d303033333637            
10/06/25 12:26:39 0064 1                  44.752063 8.655395 uu 01 31383032334d303033333633            
10/06/25 12:27:20 0065 1                  44.752153 8.655349 uu 01 31383032334d303033333633            
10/06/25 12:27:24 0066 1                  44.752154 8.655343 uu 01 31383032334d303033333536            
10/06/25 12:28:01 0067 1                  44.752236 8.655711 uu 01 31383032b34d303033353736            
10/06/25 12:28:59 0068 1                  44.752304 8.656025 uu 01 31383032334d303136363136            
10/06/25 12:28:59 0069 1                  44.752304 8.656025 uu 01 31383032334d303136343130            
10/06/25 12:30:13 0070 1                  44.751991 8.656096 uu 01 31383032334d303138313037            
10/06/25 12:30:58 0071 1                  44.751012 8.655972 uu 01 31383032334d303138323738            
10/06/25 12:31:09 0072 1                  44.751017 8.655968 uu 01 31383032334d303034373530            
10/06/25 12:31:10 0073 1                  44.751017 8.655968 uu 01 31383032334d303138323738            
10/06/25 12:31:36 0074 1                  44.750881 8.655871 uu 01 31383032334d303034373032            
10/06/25 12:31:37 0075 1                  44.750883 8.655870 uu 01 31383032334d303038393135            
10/06/25 12:32:28 0076 1                  44.750693 8.655790 uu 01 31383032334d303034373531            
10/06/25 12:33:04 0077 1                  44.750543 8.655993 uu 01 31383032334d303034343531            
10/06/25 12:33:24 0078 1                  44.750475 8.655831 uu 01 3234303032334d3030393735            
10/06/25 12:34:10 0079 1                  44.750224 8.655803 uu 01 3231303032334d3030363939            
10/06/25 12:34:52 0080 1                  44.750376 8.655910 uu 01 3234303032334d3032303934            
10/06/25 12:36:03 0081 1                  44.749536 8.653637 uu 01 31383032334d303030383730            
10/06/25 12:36:12 0082 1                  44.749510 8.653669 uu 01 31383032334d303130323434            
10/06/25 12:36:20 0083 1                  44.749507 8.653688 uu 01 31383032334d303135343438            
10/06/25 12:38:24 0084 1                  44.749057 8.653303 uu 01 31383032334d303138323732            
