20/01/25 04:46:14 0000 s 02547ver01 44.753038 8.812227 pp 01
20/01/25 05:02:56 0001 1                  44.719938 8.795213 pp 01 3233303234304a3030353039            
20/01/25 05:05:12 0002 1                  44.713780 8.795253 pp 01 313931323050303133393933            
20/01/25 05:07:34 0003 1                  44.703995 8.790603 pp 01 323030323545303036393432            
20/01/25 05:10:35 0004 1                  44.699622 8.788670 pp 01 313931323050303133363237            
20/01/25 05:11:29 0006 1                  44.699643 8.787125 pp 01 313931323050303037303035            
20/01/25 05:14:06 0007 1                  44.700160 8.781267 pp 01 313931323050303133393935            
20/01/25 05:16:02 0008 1                  44.699760 8.783538 pp 01 313931323050303132313338            
20/01/25 05:19:18 0009 1                  44.698767 8.784780 pp 01 313931323050303132383230            
20/01/25 05:22:02 0010 1                  44.698730 8.794735 pp 01 313931323050303133303536            
20/01/25 05:23:32 0011 1                  44.696358 8.797328 pp 01 3231303032334d3031363230            
20/01/25 05:23:38 0012 1                  44.696365 8.797313 pp 01 303549a74c51ac4cce41691b            
20/01/25 05:23:40 0013 1                  44.696365 8.797308 pp 01 313931323050303133383438            
20/01/25 05:24:45 0014 1                  44.695865 8.796615 pp 01 313931323050303130333830            
20/01/25 05:24:45 0015 1                  44.695865 8.796615 pp 01 323030323545303036393333            
20/01/25 05:25:38 0016 1                  44.695640 8.796478 pp 01 313931323050303130333739            
20/01/25 05:26:57 0017 1                  44.693145 8.797862 pp 01 323030323545303037353232            
20/01/25 05:26:58 0018 1                  44.693145 8.797873 pp 01 313931323050303131313635            
20/01/25 05:27:07 0019 1                  44.693130 8.797898 pp 01 313931323050303131313636            
20/01/25 05:28:56 0020 1                  44.692210 8.799175 pp 01 313931323050303131313638            
20/01/25 05:29:54 0021 1                  44.691965 8.800020 pp 01 313931323050303132333238            
20/01/25 05:31:42 0022 1                  44.693598 8.796882 pp 01 313931323050303130373433            
20/01/25 05:35:29 0023 1                  44.696300 8.795395 pp 01 3231303032334d3030323339            
20/01/25 05:35:32 0024 1                  44.696305 8.795398 pp 01 3230303033304d3033323635            
20/01/25 05:36:34 0025 1                  44.695995 8.795637 pp 01 313931323050303032383633            
20/01/25 05:36:36 0026 1                  44.695995 8.795638 pp 01 313931323050303035363630            
20/01/25 05:37:11 0027 1                  44.695975 8.795637 pp 01 313931323050303035367630            
20/01/25 05:38:23 0028 1                  44.695538 8.795608 pp 01 313931323050303132383834            
20/01/25 05:39:30 0029 1                  44.696292 8.794265 pp 01 313931323050303037323938            
20/01/25 05:40:14 0030 1                  44.696787 8.793480 pp 01 313931323050303034373636            
20/01/25 05:40:15 0031 1                  44.696787 8.793480 pp 01 313931323050303133393331            
20/01/25 05:43:39 0032 1                  44.695570 8.787123 pp 01 31383033304d303036313032            
20/01/25 05:43:47 0033 1                  44.695577 8.787118 pp 01 313931323050303132383036            
20/01/25 05:45:18 0034 1                  44.695065 8.785440 pp 01 313931323050303133393335            
20/01/25 05:45:20 0035 1                  44.695067 8.785440 pp 01 3234303032334d3030393534            
20/01/25 05:45:22 0036 1                  44.695067 8.785440 pp 01 323030323545303037353433            
20/01/25 05:47:03 0037 1                  44.694428 8.780547 pp 01 3230313130304a3031303934            
20/01/25 05:49:49 0038 1                  44.693782 8.777322 pp 01 313931323050303131353737            
20/01/25 05:50:51 0039 1                  44.693417 8.774863 pp 01 323030323545303031343330            
20/01/25 05:50:55 0040 1                  44.693415 8.774860 pp 01 313931323050303131353735            
20/01/25 05:50:57 0041 1                  44.693415 8.774858 pp 01 313931323050303030373539            
