17/06/25 04:58:51 0000 s 01428ver01 0 0 pp 01
17/06/25 12:41:08 0062 1                  44.764840 8.770803 pp 01 3230313130304A3031323132            
17/06/25 12:41:10 0063 1                  44.764840 8.770807 pp 01 30396061C04FC1C0000C7238            
17/06/25 12:41:46 0064 1                  44.764785 8.770768 pp 01 3230313130304A3031323037            
17/06/25 12:42:27 0065 1                  44.764795 8.770750 pp 01 3230313130304A3031323039            
17/06/25 12:44:40 0066 1                  44.764370 8.771018 pp 01 313931323050303038373333            
17/06/25 12:46:04 0067 1                  44.765023 8.770552 pp 01 3230313130304A3031313433            
17/06/25 12:46:51 0068 1                  44.765002 8.770742 pp 01 3232313130304A3030323936            
17/06/25 12:47:18 0069 1                  44.765010 8.770688 pp 01 3230313130304A3031313431            
17/06/25 12:49:34 0070 1                  44.765448 8.770652 pp 01 3230313130304A3031313430            
17/06/25 12:50:23 0071 1                  44.765445 8.770682 pp 01 3230313130304A3031313539            
17/06/25 12:50:56 0072 1                  44.765433 8.770743 pp 01 3230313130304A3031313631            
17/06/25 12:52:15 0073 1                  44.765455 8.770645 pp 01 3230313130304A3031313632            
17/06/25 12:53:21 0074 1                  44.765477 8.770652 pp 01 323030323545303037373231            
17/06/25 13:01:23 0000 s 01428ver01 44.764578 8.774298 pp 01
17/06/25 13:07:15 0075 1                  44.759483 8.770578 pp 01 3230313130304A3031323338            
17/06/25 13:08:07 0076 1                  44.759527 8.770602 pp 01 3230313130304A3031323339            
17/06/25 13:10:11 0077 1                  44.759197 8.771447 pp 01 313931323050303131343534            
17/06/25 13:13:50 0078 1                  44.759002 8.771145 pp 01 313931323050303131303530            
17/06/25 13:15:41 0079 1                  44.759097 8.770787 pp 01 3230313130304A3031313238            
17/06/25 13:20:38 0080 1                  44.759493 8.771328 pp 01 3035EB5C6418A608000545E9            
17/06/25 13:20:46 0081 1                  44.759500 8.771323 pp 01 30361437A443789F3305BFDE            
17/06/25 13:21:19 0082 1                  44.759480 8.771310 pp 01 991300BB9183AE0E00000973            
17/06/25 13:22:02 0083 1                  44.759525 8.771343 pp 01 303AC8E9C0D304DCA204D945            
17/06/25 13:22:43 0084 1                  44.759525 8.771343 pp 01 30340BDF145681873B3DF804            
17/06/25 13:23:45 0085 1                  44.759498 8.771323 pp 01 303AC8E9C0D8D09CA339FF42            
17/06/25 13:33:12 0086 1                  44.760630 8.770978 pp 01 323031313030503030313431            
17/06/25 13:34:06 0087 1                  44.760658 8.770978 pp 01 3231313130304A3030363332            
17/06/25 13:36:18 0088 1                  44.760485 8.771255 pp 01 3035EB8ADC128F800400164B            
17/06/25 13:36:18 0089 1                  44.760485 8.771255 pp 01 3230313130304A3031313538            
17/06/25 13:38:35 0090 1                  44.760327 8.770662 pp 01 3230313130304A3031313235            
17/06/25 13:39:19 0091 1                  44.760318 8.770655 pp 01 3230313130304A3031323538            
17/06/25 13:41:26 0092 1                  44.761045 8.770765 pp 01 3230313130304A3031313132            
17/06/25 13:42:13 0093 1                  44.761015 8.770745 pp 01 3231313130304A3031323831            
17/06/25 13:43:06 0094 1                  44.761037 8.770820 pp 01 3230313130304A3031323735            
17/06/25 13:43:50 0095 1                  44.761093 8.770677 pp 01 100100000000692400000002            
17/06/25 13:45:49 0096 1                  44.761092 8.770127 pp 01 3230313130304A3031323131            
17/06/25 13:49:37 0097 1                  44.760953 8.769192 pp 01 3230313130304A3031323032            
17/06/25 13:50:08 0098 1                  44.760958 8.769183 pp 01 313931323050303038313035            
17/06/25 13:51:27 0099 1                  44.761047 8.768862 pp 01 3234313130304A3030363035            
17/06/25 13:52:22 0100 1                  44.760995 8.768865 pp 01 313931323050303038313037            
17/06/25 13:52:33 0101 1                  44.760998 8.768857 pp 01 313931323050303038313038            
17/06/25 13:54:00 0102 1                  44.761050 8.768052 pp 01 3230313130304A3031303939            
17/06/25 13:55:05 0103 1                  44.761160 8.768170 pp 01 313931323050303038373331            
17/06/25 13:55:21 0104 1                  44.761160 8.768168 pp 01 313931323050303133343032            
17/06/25 13:55:44 0105 1                  44.761152 8.768173 pp 01 3230313130304A3031313537            
17/06/25 13:55:49 0106 1                  44.761153 8.768167 pp 01 3038CF1F40E7720000019C2E            
17/06/25 13:57:46 0107 1                  44.761365 8.767740 pp 01 313931323050303133333931            
17/06/25 13:58:00 0108 1                  44.761363 8.767720 pp 01 313931323050303133343030            
17/06/25 13:59:11 0109 1                  44.761445 8.768148 pp 01 313931323050303030323439            
17/06/25 13:59:30 0110 1                  44.761440 8.768255 pp 01 313931323050303133343031            
17/06/25 14:00:26 0111 1                  44.761435 8.768297 pp 01 313931323050303038393438            
17/06/25 14:01:54 0112 1                  44.761815 8.768507 pp 01 313931323050303030323530            
17/06/25 14:03:07 0113 1                  44.761725 8.768987 pp 01 313931323050303030323531            
17/06/25 14:03:54 0114 1                  44.761755 8.769015 pp 01 313931323050303132313130            
17/06/25 14:05:21 0115 1                  44.761617 8.769450 pp 01 313931323050303030323533            
17/06/25 14:05:26 0116 1                  44.761618 8.769448 pp 01 313931323050303030323534            
17/06/25 14:05:46 0117 1                  44.761630 8.769457 pp 01 313931323050303132313038            
17/06/25 14:06:05 0118 1                  44.761633 8.769473 pp 01 313931323050303132373734            
17/06/25 14:07:33 0119 1                  44.761482 8.769832 pp 01 313931323050303034393231            
17/06/25 14:08:29 0120 1                  44.761223 8.769768 pp 01 313931323050303133333938            
17/06/25 14:08:36 0121 1                  44.761235 8.769752 pp 01 313931323050303030323631            
17/06/25 14:08:37 0122 1                  44.761235 8.769752 pp 01 3035EB76A03CDF698519D856            
17/06/25 14:11:03 0123 1                  44.761133 8.766175 pp 01 3230313130304A3031313230            
17/06/25 14:11:06 0124 1                  44.761135 8.766183 pp 01 303AC8E9C11312DAC688C648            
17/06/25 14:11:48 0125 1                  44.761125 8.766262 pp 01 3230313130304A3031323732            
17/06/25 14:14:44 0126 1                  44.760833 8.766020 pp 01 3234313130304A3030353733            
17/06/25 14:17:10 0127 1                  44.760530 8.765630 pp 01 3232313130304A3030303531            
17/06/25 14:18:38 0128 1                  44.760598 8.765957 pp 01 3230313130304A3031303735            
17/06/25 14:20:00 0129 1                  44.760188 8.766505 pp 01 3234313130304A3030363032            
17/06/25 14:22:01 0130 1                  44.759918 8.766742 pp 01 3231313130304A3031333435            
17/06/25 14:22:50 0131 1                  44.759992 8.766808 pp 01 3230313130304A3031323130            
17/06/25 14:23:25 0132 1                  44.760010 8.766827 pp 01 313932343050303030303833            
17/06/25 14:27:22 0133 1                  44.759497 8.766582 pp 01 313932343050303030303737            
17/06/25 14:28:24 0134 1                  44.759505 8.766622 pp 01 313932343050303030303232            
17/06/25 14:28:29 0135 1                  44.759497 8.766607 pp 01 313932343050303030313938            
17/06/25 14:30:25 0136 1                  44.759453 8.766612 pp 01 313932343050303030303739            
17/06/25 14:31:58 0137 1                  44.759215 8.766762 pp 01 313932343050303030323035            
17/06/25 14:33:43 0138 1                  44.759175 8.766645 pp 01 313932343050303030313339            
17/06/25 14:35:08 0139 1                  44.758945 8.767107 pp 01 313932343050303030303139            
17/06/25 14:35:17 0140 1                  44.758968 8.767098 pp 01 313932343050303030303230            
17/06/25 14:36:00 0141 1                  44.758930 8.767130 pp 01 313932343050303030313937            
17/06/25 14:36:12 0142 1                  44.758995 8.767155 pp 01 313932343050303030323430            
17/06/25 14:36:48 0143 1                  44.758862 8.767138 pp 01 313931323050303033333537            
17/06/25 14:37:03 0144 1                  44.758885 8.767233 pp 01 313931323050303132373132            
17/06/25 14:38:01 0145 1                  44.758803 8.767415 pp 01 313931323050303132373039            
