14/07/25 05:28:08 0000 s 02536ver01 44.752923 8.812073 xx 01
14/07/25 05:49:50 0001 1                  44.690655 8.823802 xx 01 3232303234304a3030383335            
14/07/25 05:54:04 0002 1                  44.688018 8.809298 xx 01 31383132304a303138333336            
14/07/25 05:54:11 0003 1                  44.688002 8.809298 xx 01 31383132304a303138343838            
14/07/25 05:57:38 0004 1                  44.689032 8.806477 xx 01 323030323545303031363934            
14/07/25 05:57:44 0005 1                  44.689037 8.806462 xx 01 3234303234304a3030363333            
14/07/25 05:58:00 0006 1                  44.689038 8.806415 xx 01 31383132304a303138333335            
14/07/25 05:59:44 0007 1                  44.688355 8.805563 xx 01 31383132304a303138343639            
14/07/25 05:59:52 0008 1                  44.688353 8.805548 xx 01 31383132304a303138323931            
14/07/25 06:00:02 0009 1                  44.688353 8.805535 xx 01 31383132304a303138333733            
14/07/25 06:02:19 0010 1                  44.688600 8.804912 xx 01 31383032334d303036383133            
14/07/25 06:02:20 0011 1                  44.688600 8.804912 xx 01 31383132304a303138333832            
14/07/25 06:02:22 0012 1                  44.688600 8.804908 xx 01 323031323055303030323132            
14/07/25 06:02:25 0013 1                  44.688598 8.804897 xx 01 323030323545303031333735            
14/07/25 06:05:30 0014 1                  44.688665 8.802437 xx 01 3234303032334d3031313234            
14/07/25 06:05:45 0015 1                  44.688653 8.802440 xx 01 31383132304a303138333738            
14/07/25 06:07:49 0016 1                  44.687712 8.803278 xx 01 323030323545303039353033            
14/07/25 06:07:51 0017 1                  44.687710 8.803272 xx 01 323030323545303039353035            
14/07/25 06:07:53 0018 1                  44.687708 8.803267 xx 01 31383234304a303030313538            
14/07/25 06:07:55 0019 1                  44.687708 8.803267 xx 01 31383234344a303030313538            
14/07/25 06:48:01 0020 1                  44.621953 8.840368 xx 01 31383132304a303138343937            
14/07/25 06:50:43 0021 1                  44.621473 8.842525 xx 01 3234303234304a3030363030            
14/07/25 06:51:18 0022 1                  44.621467 8.842543 xx 01 31383234304a303030303433            
14/07/25 06:53:45 0023 1                  44.622655 8.844703 xx 01 313831323045303138343736            
14/07/25 06:56:39 0024 1                  44.620477 8.844805 xx 01 31383234304a303030303436            
14/07/25 06:56:40 0025 1                  44.620477 8.844802 xx 01 3234303234304a3030373437            
14/07/25 06:59:13 0026 1                  44.618940 8.847012 xx 01 3234303234304a3030373430            
14/07/25 06:59:14 0027 1                  44.618940 8.847012 xx 01 3234303234304a3030373438            
14/07/25 07:00:27 0028 1                  44.618925 8.847062 xx 01 3232303234304a3030373938            
14/07/25 07:05:02 0029 1                  44.616853 8.842540 xx 01 3232303234304a3030373931            
14/07/25 07:05:21 0030 1                  44.616858 8.842545 xx 01 31383234304a303030303933            
14/07/25 07:07:22 0031 1                  44.618445 8.842417 xx 01 3234303234304a3030373431            
14/07/25 07:07:24 0032 1                  44.618447 8.842417 xx 01 31383234304a303030303635            
14/07/25 07:09:38 0033 1                  44.619553 8.842362 xx 01 31383132304a303138323636            
14/07/25 07:09:55 0034 1                  44.619620 8.842400 xx 01 31383032334d303033363336            
14/07/25 07:11:21 0035 1                  44.620397 8.842717 xx 01 31383234304a303030303235            
14/07/25 07:11:23 0036 1                  44.620402 8.842727 xx 01 31383234304a303030303437            
