26/06/25 12:17:53 0071 1                  44.806546 8.820006 vv 01 313832343045303032343630            
26/06/25 12:20:04 0072 1                  44.807338 8.826351 vv 01 3234303234304a3031313034            
26/06/25 12:20:04 0073 1                  44.807338 8.826351 vv 01 3234303234304a3031313034            
26/06/25 12:20:49 0074 1                  44.807298 8.826330 vv 01 323032343056303030353138            
26/06/25 12:21:06 0075 1                  44.807303 8.826363 vv 01 313832343045303032353431            
26/06/25 12:22:23 0076 1                  44.807350 8.826604 vv 01 313832343045303033333830            
26/06/25 12:24:33 0077 1                  44.807633 8.828962 vv 01 3235303234304a3030393836            
26/06/25 12:31:15 0078 1                  44.806895 8.821209 vv 01 3231303234304a3030343036            
26/06/25 12:31:18 0079 1                  44.753129 8.812233 vv 01 313931323050303035323738            
26/06/25 12:31:39 0080 1                  44.806869 8.821152 vv 01 31383234304a303030343434            
26/06/25 12:32:32 0081 1                  44.806857 8.821258 vv 01 31383234304a303030343434            
26/06/25 12:32:46 0082 1                  44.806918 8.821172 vv 01 3231303234304a3030343036            
26/06/25 12:36:51 0083 1                  44.808302 8.820330 vv 01 313832343045303032343533            
26/06/25 12:37:45 0084 1                  44.753141 8.812323 vv 01 313931323050303035323738            
26/06/25 12:48:45 0085 1                  44.822057 8.818289 vv 01 3234303234304a3030323734            
26/06/25 13:41:22 0086 1                  44.753032 8.812206 vv 01 313931323050303035323738            
26/06/25 13:48:54 0087 1                  44.753016 8.812308 vv 01 313931323050303035323738            
26/06/25 13:54:56 0088 1                  44.790948 8.782818 vv 01 3234303234304a3030313633            
26/06/25 13:58:46 0089 1                  44.793039 8.784041 vv 01 313832343045303032393237            
26/06/25 14:00:10 0090 1                  44.792759 8.785105 vv 01 313832343045303031313637            
26/06/25 14:14:33 0091 1                  44.794993 8.784878 vv 01 313932343056303030363438            
26/06/25 14:16:20 0092 1                  44.795988 8.785191 vv 01 31383234304a303031393936            
26/06/25 14:18:16 0093 1                  44.795390 8.785811 vv 01 313832343045303031323539            
26/06/25 14:20:00 0094 1                  44.794401 8.785505 vv 01 3233303234304a3031323137            
26/06/25 14:22:05 0095 1                  44.796709 8.787084 vv 01 3234303234304a3030313231            
26/06/25 14:24:32 0096 1                  44.797110 8.787307 vv 01 313832343045303031333330            
26/06/25 14:27:34 0097 1                  44.793493 8.784844 vv 01 313832343045303031313632            
26/06/25 14:31:29 0098 1                  44.794145 8.784930 vv 01 313832343045303031333131            
26/06/25 14:44:04 0099 1                  44.796402 8.783654 vv 01 313932343056303030313232            
26/06/25 14:50:14 0100 1                  44.797169 8.788595 vv 01 313832343045303032303237            
26/06/25 17:32:26 0000 s 01130ver01 44.753127 8.812007 vv 01
