03/03/25 05:29:20 0000 s 01887ver01 44.882532 8.859865 00 00
03/03/25 05:54:14 0001 1                  44.896628 8.862323 00 00 3034F848F41F400AB41DF143            
03/03/25 06:00:11 0002 1                  44.895713 8.862035 00 00 3231313130304A3032343435            
03/03/25 06:06:45 0003 1                  44.899973 8.862198 00 00 3233303234304A3030353738            
03/03/25 06:06:46 0004 1                  44.899975 8.862200 00 00 3231303234304A3034363538            
03/03/25 06:08:03 0005 1                  44.899515 8.862388 00 00 3231303234304A3034363636            
03/03/25 06:15:01 0006 1                  44.898785 8.864767 00 00 302674722FF5C1800000139D            
03/03/25 06:19:41 0007 1                  44.897897 8.865210 00 00 3231303234304A3034373631            
03/03/25 06:32:08 0008 1                  44.900633 8.867613 00 00 3035EB5C6451610800051D05            
03/03/25 06:32:09 0009 1                  44.900633 8.867613 00 00 30340C0F640A5EF294B74404            
03/03/25 06:41:11 0010 1                  44.896037 8.865063 00 00 30340BBD4412D280000002B9            
03/03/25 06:41:17 0011 1                  44.896035 8.865058 00 00 30340BBD4412C8000000001E            
03/03/25 06:41:18 0012 1                  44.896035 8.865058 00 00 30340BBD44131680000000B2            
03/03/25 06:41:26 0013 1                  44.896032 8.865060 00 00 30340BBD4412C600000000ED            
03/03/25 06:41:42 0014 1                  44.896017 8.865052 00 00 30340BBD4410DA00000001EA            
03/03/25 06:41:43 0015 1                  44.896017 8.865052 00 00 30340BBD440ECF0000000314            
03/03/25 06:41:43 0016 1                  44.896017 8.865052 00 00 30340BBD4412C64000000101            
03/03/25 06:42:22 0017 1                  44.895898 8.865065 00 00 30340BBD4412D18000000233            
03/03/25 06:44:24 0018 1                  44.895263 8.863518 00 00 3039611941BF7A89502FA4DB            
03/03/25 06:44:24 0019 1                  44.895263 8.863518 00 00 303030303035363139313733            
03/03/25 06:44:25 0020 1                  44.895263 8.863518 00 00 30361444084E63CBA746588D            
03/03/25 06:50:58 0021 1                  44.894163 8.863358 00 00 30395DFA82B7F74000157CC9            
03/03/25 07:02:16 0022 1                  44.897428 8.867698 00 00 3034F72F5860A880070A3153            
03/03/25 07:34:15 0000 s 01887ver01 44.889375 8.859227 00 00
03/03/25 08:05:40 0000 s 01887ver01 44.882432 8.860017 00 00
03/03/25 08:07:14 0023 1                  44.882303 8.860248 00 00 313931313030503030323335            
03/03/25 08:07:51 0024 1                  44.882300 8.860222 00 00 3139313130304A3032303938            
03/03/25 08:08:48 0025 1                  44.882313 8.860258 00 00 313931323050303035303930            
03/03/25 08:08:48 0026 1                  44.882313 8.860258 00 00 313931323050303033323039            
03/03/25 08:09:32 0027 1                  44.882307 8.860260 00 00 313931323050303039343630            
03/03/25 08:09:33 0028 1                  44.882307 8.860260 00 00 313931323050303130393733            
03/03/25 08:10:18 0029 1                  44.882307 8.860258 00 00 313931323050303132303236            
03/03/25 08:10:53 0030 1                  44.882310 8.860325 00 00 3230313130304A3030323238            
03/03/25 08:50:24 0031 1                  44.898543 8.863777 00 00 3039612D42C34F89502F907A            
03/03/25 08:51:42 0032 1                  44.898553 8.863770 00 00 303ACB034397C819D8B672D8            
