05/06/25 05:27:16 0000 s 02542ver01 44.752893 8.812077 ss 01
05/06/25 05:44:50 0001 1                  44.765230 8.801642 ss 01 3231303132304a3031373930            
05/06/25 05:50:53 0002 1                  44.766163 8.799798 ss 01 3231303132304a3036333932            
05/06/25 05:51:32 0003 1                  44.766188 8.799753 ss 01 3035344c241bac1f3308d25f            
05/06/25 05:52:59 0004 1                  44.766248 8.798688 ss 01 3231303132304a3033323534            
05/06/25 05:53:01 0005 1                  44.766248 8.798688 ss 01 303960ffc1573909502fba5a            
05/06/25 06:02:02 0006 1                  44.766843 8.798377 ss 01 3231303132304a3039323539            
05/06/25 06:10:24 0007 1                  44.766843 8.802732 ss 01 3231303132304a3034353232            
05/06/25 06:13:37 0008 1                  44.763952 8.805345 ss 01 313931323053303032343539            
05/06/25 06:16:32 0009 1                  44.763515 8.805732 ss 01 313931323053303032333436            
05/06/25 06:22:17 0010 1                  44.769908 8.797567 ss 01 313931323053303038373834            
05/06/25 06:22:18 0011 1                  44.769908 8.797562 ss 01 3233303132304a3030313634            
05/06/25 06:29:44 0012 1                  44.769083 8.795053 ss 01 3231303033304d3030313736            
05/06/25 06:29:45 0013 1                  44.769082 8.795058 ss 01 3231303033304d3034393632            
05/06/25 06:30:58 0014 1                  44.769053 8.795578 ss 01 3231303132304a3033333934            
05/06/25 06:31:01 0015 1                  44.769055 8.795580 ss 01 3231303033304d3030313731            
05/06/25 06:31:23 0016 1                  44.769065 8.795572 ss 01 3230313130304a3030393030            
05/06/25 06:31:38 0017 1                  44.769063 8.795548 ss 01 3231303132304a3034313131            
05/06/25 06:31:42 0018 1                  44.769065 8.795543 ss 01 3231313130304a3031323632            
05/06/25 06:38:56 0019 1                  44.768877 8.794137 ss 01 3231303132304a3034323731            
05/06/25 06:38:57 0020 1                  44.768878 8.794137 ss 01 30340bc9f86046bcc669b804            
05/06/25 06:40:55 0021 1                  44.768823 8.793408 ss 01 3231303132304a3032323137            
05/06/25 06:57:42 0022 1                  44.766900 8.797042 ss 01 3231303132304a3031313839            
05/06/25 06:57:48 0023 1                  44.766918 8.797038 ss 01 303acb03436a9d99d8b63d0c            
05/06/25 07:01:40 0024 1                  44.766952 8.795617 ss 01 3231303132304a3030303937            
05/06/25 07:05:27 0025 1                  44.767392 8.792565 ss 01 3231303132304a3033303032            
05/06/25 07:05:31 0026 1                  44.767392 8.792563 ss 01 3231303132304a3033303030            
05/06/25 07:13:44 0027 1                  44.767963 8.789147 ss 01 3231303132304a3033373431            
05/06/25 07:13:52 0028 1                  44.767967 8.789150 ss 01 3230303033304d3037363732            
05/06/25 07:15:04 0029 1                  44.768020 8.789175 ss 01 3231303132304a3033343933            
05/06/25 07:19:49 0030 1                  44.767930 8.788708 ss 01 3231303132304a3038353837            
05/06/25 07:22:16 0031 1                  44.768050 8.788608 ss 01 3235303132304a3030333338            
05/06/25 07:22:39 0032 1                  44.768048 8.788575 ss 01 31383132304a303038323738            
05/06/25 07:30:39 0033 1                  44.767723 8.789587 ss 01 3231313130304a3031343535            
05/06/25 07:54:17 0034 1                  44.770558 8.789552 ss 01 3231303132304a3034353135            
