13/08/25 05:08:54 0000 s 01428ver01 0 0 vv 01
13/08/25 08:35:48 0063 1                  44.768472 8.789570 vv 01 3231303234304A3031373937            
13/08/25 08:37:25 0064 1                  44.768532 8.789550 vv 01 3231303234304A3033383635            
13/08/25 08:37:28 0065 1                  44.768530 8.789555 vv 01 3232303234304A3030363239            
13/08/25 08:39:57 0001 7                  44.768448 8.789557 vv 01 3232303234304A3030363239            
13/08/25 08:40:12 0002 7                  44.768457 8.789525 vv 01 3232303234304A3030363239            
13/08/25 08:44:42 0066 1                  44.768108 8.788028 vv 01 3231303234304A3033313233            
13/08/25 08:45:09 0067 1                  44.768087 8.787992 vv 01 3231303234304A3033343230            
13/08/25 08:55:34 0068 1                  44.773005 8.790065 vv 01 323032343056303030363230            
13/08/25 09:04:20 0069 1                  44.771618 8.791715 vv 01 3231303234304A3032303035            
13/08/25 09:05:44 0070 1                  44.771458 8.791742 vv 01 3231303234304A3031393632            
13/08/25 09:06:00 0071 1                  44.771482 8.791750 vv 01 3231303234304A3031393633            
13/08/25 09:10:13 0072 1                  44.771197 8.791587 vv 01 3231303234304A3031393538            
13/08/25 09:17:46 0073 1                  44.770967 8.791535 vv 01 3231303234304A3031363038            
13/08/25 09:23:04 0074 1                  44.768535 8.791127 vv 01 3231303234304A3031353434            
13/08/25 09:30:00 0075 1                  44.769407 8.793498 vv 01 3231303234304A3031333936            
13/08/25 09:31:31 0076 1                  44.769390 8.793123 vv 01 3231303234304A3031363036            
13/08/25 09:39:47 0077 1                  44.769493 8.792225 vv 01 3233303234304A3030343139            
13/08/25 09:43:15 0078 1                  44.769557 8.791870 vv 01 3231303234304A3031383536            
13/08/25 09:45:08 0079 1                  44.769818 8.790478 vv 01 3231303234304A3031363830            
13/08/25 09:48:18 0080 1                  44.770003 8.789247 vv 01 3231303234304A3033343234            
13/08/25 09:50:59 0081 1                  44.768183 8.786078 vv 01 534D5004E700010137303038            
13/08/25 10:06:25 0000 s 01428ver01 44.767970 8.763453 vv 01
13/08/25 10:37:08 0082 1                  44.767158 8.789777 vv 01 000000000000000014248024            
13/08/25 16:58:58 0000 s 01428ver01 44.753407 8.813127 vv 01
