07/08/25 05:00:24 0000 s 02027ver01 44.753397 8.812008 uu 01
07/08/25 05:54:37 0000 s 02027ver01 44.753103 8.812703 uu 01
07/08/25 11:25:06 0001 1                  0 0 uu 01 323032323036323330303237            
07/08/25 11:40:18 0000 s 02027ver01 44.753225 8.812883 uu 01
07/08/25 11:51:41 0002 1                  44.788355 8.787753 uu 01 31383032334d303032353030            
07/08/25 11:51:41 0003 1                  44.788491 8.787803 uu 01 31383032334d303136363735            
07/08/25 11:51:41 0004 1                  0 0 uu 01 31383032334d303030393538            
07/08/25 11:51:41 0005 1                  0 0 uu 01 3234303032334d3031383633            
07/08/25 11:59:45 0006 1                  44.788135 8.788668 uu 01 3231303032334d3030313636            
07/08/25 11:59:49 0007 1                  44.788135 8.788668 uu 01 3232303032334d3030333634            
07/08/25 12:00:25 0008 1                  44.788271 8.788716 uu 01 31383032334d303035343233            
07/08/25 12:01:33 0009 1                  44.787465 8.789848 uu 01 31383032334d303138373634            
07/08/25 12:02:07 0010 1                  44.787656 8.789801 uu 01 31383032334d303130363034            
07/08/25 12:03:05 0011 1                  44.789118 8.789998 uu 01 3233303032334d3030363837            
07/08/25 12:04:08 0012 1                  44.789566 8.791371 uu 01 3234303032334d3031323832            
07/08/25 12:04:50 0013 1                  44.789445 8.791548 uu 01 31383032334d303039363734            
07/08/25 12:05:42 0014 1                  44.789698 8.791723 uu 01 31383032334d303132303134            
07/08/25 12:06:16 0015 1                  44.789580 8.792481 uu 01 31383032334d303132333033            
07/08/25 12:06:29 0016 1                  44.789578 8.792483 uu 01 31383032334d303132303131            
07/08/25 12:08:31 0017 1                  44.789505 8.792626 uu 01 31383032334d303132323931            
07/08/25 12:08:43 0018 1                  44.789505 8.792626 uu 01 31383032334d303132323938            
07/08/25 12:09:44 0019 1                  44.790045 8.788955 uu 01 31383032334d303132323838            
07/08/25 12:11:26 0020 1                  44.790015 8.788655 uu 01 31383032334d303032373433            
07/08/25 12:13:52 0021 1                  44.789960 8.788161 uu 01 31383032334d303035353130            
07/08/25 12:14:16 0022 1                  44.789881 8.788333 uu 01 31383032334d303035343236            
07/08/25 12:14:58 0023 1                  44.789905 8.788271 uu 01 31383032334d303132323737            
07/08/25 12:15:09 0024 1                  44.789905 8.788271 uu 01 31383032334d303132313539            
07/08/25 12:16:52 0025 1                  44.789555 8.788195 uu 01 31383032334d303132303431            
07/08/25 12:17:33 0026 1                  44.789963 8.787448 uu 01 31383032334d303132303430            
07/08/25 12:18:03 0027 1                  44.789963 8.787448 uu 01 31383032334d303132303435            
07/08/25 12:19:02 0028 1                  44.790398 8.787746 uu 01 3234303032334d3031383731            
07/08/25 12:20:21 0029 1                  44.789400 8.788255 uu 01 31383032334d303035353437            
07/08/25 12:21:16 0030 1                  44.789385 8.788418 uu 01 31383032334d303035343030            
07/08/25 12:22:38 0031 1                  44.789238 8.789861 uu 01 31383032334d303132343134            
07/08/25 12:23:49 0032 1                  44.788846 8.789398 uu 01 31383032334d303031303736            
07/08/25 12:23:59 0033 1                  44.788846 8.789398 uu 01 31383032334d303035353435            
07/08/25 12:25:02 0034 1                  44.788913 8.788735 uu 01 31383032334d303035323837            
07/08/25 12:25:13 0035 1                  44.788995 8.788416 uu 01 3233303032334d3030393633            
07/08/25 12:26:00 0036 1                  44.789183 8.788025 uu 01 3231303032334d3031383738            
07/08/25 12:26:42 0037 1                  44.789341 8.787015 uu 01 31383032334d303132393134            
07/08/25 12:26:59 0038 1                  44.789333 8.787035 uu 01 31383032334d303035353432            
07/08/25 12:27:39 0039 1                  44.789256 8.787008 uu 01 3231303032334d3030303036            
07/08/25 12:27:49 0040 1                  44.789256 8.787008 uu 01 31383032334d303035343636            
07/08/25 12:28:47 0041 1                  44.789763 8.786438 uu 01 31383032334d303135383533            
07/08/25 12:29:46 0042 1                  44.790006 8.786281 uu 01 31383032334d303132303932            
07/08/25 12:29:48 0043 1                  44.790006 8.786281 uu 01 3234303032334d3031393034            
07/08/25 12:31:25 0044 1                  44.790661 8.787295 uu 01 31383032334d303039363538            
07/08/25 12:32:00 0045 1                  44.790715 8.787378 uu 01 31383032334d303132353833            
07/08/25 12:32:57 0046 1                  44.790556 8.788011 uu 01 3231303032334d3031363333            
07/08/25 12:33:59 0047 1                  44.790431 8.789226 uu 01 3233303032334d3030303732            
07/08/25 12:34:14 0048 1                  44.790341 8.789150 uu 01 31383032334d303132363338            
07/08/25 12:34:20 0049 1                  44.790341 8.789150 uu 01 31383032334d303035323238            
07/08/25 12:34:27 0050 1                  44.790341 8.789150 uu 01 31383032334d303030333439            
07/08/25 12:35:39 0051 1                  44.790551 8.788876 uu 01 31383032334d303035353334            
