12/02/25 05:09:18 0000 s 01132ver01 44.753098 8.812467 cc 01
12/02/25 08:38:29 0070 1                  44.675993 8.772021 cc 01 31383132304a303130383530            
12/02/25 08:42:07 0071 1                  44.667753 8.759475 cc 01 31383132304a303130383936            
12/02/25 08:43:59 0072 1                  44.664593 8.757353 cc 01 313932343045303030353837            
12/02/25 08:44:59 0073 1                  44.664645 8.757383 cc 01 31383132304a303130343939            
12/02/25 08:46:41 0074 1                  44.664391 8.757463 cc 01 31383132304a303131343932            
12/02/25 08:48:44 0075 1                  44.658923 8.756270 cc 01 313931323043303032373637            
12/02/25 08:49:32 0076 1                  44.655423 8.756760 cc 01 31383132304a303137383536            
12/02/25 08:49:41 0077 1                  44.655383 8.756833 cc 01 31383132304a303039373231            
12/02/25 08:51:44 0078 1                  44.655073 8.756438 cc 01 313931323043303036363035            
12/02/25 09:16:36 0000 s 01132ver01 44.661678 8.745310 cc 01
12/02/25 09:18:32 0079 1                  44.662093 8.745511 cc 01 313931323043303036383930            
12/02/25 09:19:47 0080 1                  44.664178 8.748626 cc 01 31383132304a303130313038            
12/02/25 09:20:54 0081 1                  44.664773 8.748208 cc 01 31383132304a303136333738            
12/02/25 09:22:19 0082 1                  44.664998 8.748241 cc 01 31383132304a303135333031            
12/02/25 09:24:09 0083 1                  44.664868 8.747891 cc 01 31383132304a303130323232            
12/02/25 09:24:13 0084 1                  44.664868 8.747891 cc 01 31383132304a303130343239            
12/02/25 09:25:30 0085 1                  44.667816 8.747306 cc 01 31383132304a303137383332            
12/02/25 09:28:22 0086 1                  44.667816 8.747306 cc 01 31383033304d303035383838            
12/02/25 09:28:25 0087 1                  44.667816 8.747306 cc 01 31383033304d303035383435            
12/02/25 09:29:28 0088 1                  44.665460 8.743990 cc 01 31383132304a303130393531            
12/02/25 09:29:29 0089 1                  44.665460 8.743990 cc 01 31383132304a30b136353233            
12/02/25 09:30:28 0090 1                  44.665331 8.744408 cc 01 31383132304a303135333036            
12/02/25 10:39:27 0000 s 01132ver01 44.664850 8.744787 cc 01
12/02/25 10:40:24 0091 1                  44.664901 8.744690 cc 01 31383132304a303138313739            
12/02/25 10:40:27 0092 1                  44.664901 8.744690 cc 01 303ac8e9c0196c9c94d22732            
12/02/25 10:40:59 0093 1                  44.664901 8.744690 cc 01 313931323043303037323735            
12/02/25 10:41:17 0094 1                  44.664901 8.744690 cc 01 31383132304a303130373931            
12/02/25 10:41:19 0095 1                  44.664901 8.744690 cc 01 31383132304a303136353139            
12/02/25 10:42:39 0096 1                  44.664901 8.744690 cc 01 31383132304a303130373836            
12/02/25 11:53:34 0000 s 01132ver01 44.753183 8.812062 cc 01
12/02/25 12:42:11 0000 s 01132ver01 44.752988 8.812275 cc 01
12/02/25 18:24:26 0000 s 01132ver01 44.753205 8.812898 cc 01
