04/01/25 04:53:31 0000 s 02540ver01 44.753152 8.812698 pp 01
04/01/25 05:19:53 0001 1                  44.760538 8.791453 pp 01 3231303033304d3033313133            
04/01/25 05:19:56 0002 1                  44.760540 8.791438 pp 01 3231303032334d3032323337            
04/01/25 05:20:25 0004 1                  44.760542 8.791370 pp 01 3231303032334d3030353530            
04/01/25 05:20:40 0005 1                  44.760538 8.791375 pp 01 30340c12441a27d74876ef6d            
04/01/25 05:20:44 0006 1                  44.760538 8.791377 pp 01 3231313130304a3031373138            
04/01/25 05:21:00 0007 1                  44.760540 8.791398 pp 01 3232303032334d3030343933            
04/01/25 05:21:01 0008 1                  44.760545 8.791397 pp 01 3234303032334d3030303637            
04/01/25 05:21:03 0009 1                  44.760550 8.791397 pp 01 3231303033304d3033363531            
04/01/25 05:21:04 0010 1                  44.760550 8.791397 pp 01 3231303234304a3034323530            
04/01/25 05:21:06 0011 1                  44.760555 8.791397 pp 01 0000000000000e00000043d5            
04/01/25 05:21:10 0012 1                  44.760557 8.791392 pp 01 3234313130304a3030333338            
04/01/25 05:24:20 0013 1                  44.763017 8.791925 pp 01 3035344c241bac1ebbd09c82            
04/01/25 05:34:58 0014 1                  44.762117 8.785130 pp 01 3231313130304a3030373937            
04/01/25 05:38:45 0015 1                  44.763200 8.782573 pp 01 3231303033304d3032363539            
04/01/25 05:38:54 0016 1                  44.763198 8.782548 pp 01 31383033304d303036333135            
04/01/25 05:38:56 0017 1                  44.763197 8.782533 pp 01 303405f3a03941000007f82b            
04/01/25 05:39:09 0018 1                  44.763198 8.782503 pp 01 31383033304d303036333138            
04/01/25 05:40:35 0019 1                  44.762378 8.784562 pp 01 303405f3a03941000007f82b            
04/01/25 05:40:43 0020 1                  44.762377 8.784558 pp 01 313931323050303038303937            
04/01/25 05:45:30 0021 1                  44.760765 8.781025 pp 01 31383132304a303231383638            
04/01/25 05:47:02 0022 1                  44.760685 8.781123 pp 01 3234303132304a3030343239            
04/01/25 05:48:24 0023 1                  44.760545 8.781263 pp 01 3231303033304d3032353335            
04/01/25 05:55:02 0024 1                  44.759172 8.781842 pp 01 3231303033304d3032373537            
04/01/25 05:55:37 0025 1                  44.759130 8.782132 pp 01 313931323053303034313232            
04/01/25 05:55:58 0026 1                  44.759147 8.782158 pp 01 313931323050303131373932            
04/01/25 05:56:00 0027 1                  44.759148 8.782157 pp 01 3231303033304d3032363132            
04/01/25 05:56:38 0028 1                  44.759152 8.782168 pp 01 313931323050303131303839            
04/01/25 05:56:41 0029 1                  44.759142 8.782173 pp 01 313931323043303033333530            
04/01/25 05:58:10 0030 1                  44.758983 8.782445 pp 01 313931323050303033313636            
04/01/25 06:00:56 0031 1                  44.758810 8.782872 pp 01 3234303132304a3030333338            
04/01/25 06:03:42 0032 1                  44.758618 8.783453 pp 01 3231303234304a3032313630            
04/01/25 06:04:18 0033 1                  44.758638 8.783488 pp 01 3233303234304a3030363530            
04/01/25 06:07:22 0034 1                  44.758310 8.784072 pp 01 313931323050303036313636            
04/01/25 06:07:51 0035 1                  44.758235 8.784130 pp 01 313931323050303131353939            
04/01/25 06:09:15 0036 1                  44.758175 8.784135 pp 01 3233303132304a3030363331            
04/01/25 06:10:46 0037 1                  44.758265 8.783945 pp 01 3230313130304a3031323436            
