03/06/25 05:00:37 0000 s 01126ver01 44.752923 8.812262 uu 01
03/06/25 05:22:28 0000 s 01126ver01 44.752990 8.812397 uu 01
03/06/25 05:22:47 0000 s 01126ver01 44.752990 8.812397 uu 01
03/06/25 05:24:31 0000 s 01126ver01 44.752990 8.812397 uu 01
03/06/25 05:29:06 0001 1                  0 0 uu 01 323032323036323330303232            
03/06/25 05:29:16 0002 1                  0 0 uu 01 31383032334d303135393739            
03/06/25 05:29:25 0003 1                  0 0 uu 01 31383032334d303135393739            
03/06/25 05:31:00 0004 1                  44.755917 8.804359 uu 01 31383032334d303036393035            
03/06/25 05:32:03 0005 1                  44.755750 8.804211 uu 01 31383032334d303036383836            
03/06/25 05:33:43 0006 1                  44.755446 8.804043 uu 01 31383032334d303037313635            
03/06/25 05:34:26 0007 1                  44.755276 8.804381 uu 01 31383032334d303036383837            
03/06/25 05:34:57 0008 1                  44.755283 8.804482 uu 01 31383032334d303036383838            
03/06/25 05:35:38 0009 1                  44.755186 8.804722 uu 01 3232303032334d3030333534            
03/06/25 05:36:14 0010 1                  44.755106 8.804835 uu 01 31383032334d303037303738            
03/06/25 05:39:12 0011 1                  44.755828 8.804465 uu 01 31383032334d303036383834            
03/06/25 05:40:17 0012 1                  44.755730 8.804630 uu 01 31383032334d303036383833            
03/06/25 05:40:56 0013 1                  44.755510 8.804776 uu 01 31383032334d303036393131            
03/06/25 05:41:40 0014 1                  44.755720 8.804950 uu 01 31383032334d303036393539            
03/06/25 05:42:30 0015 1                  44.755478 8.805206 uu 01 31383032334d303131353436            
03/06/25 05:45:49 0000 s 01126ver01 44.757422 8.805928 uu 01
03/06/25 05:48:00 0016 1                  44.758138 8.804276 uu 01 31383032334d303036383038            
03/06/25 05:48:15 0017 1                  44.758100 8.804172 uu 01 31383032334d303135393733            
03/06/25 05:48:16 0018 1                  44.758099 8.804170 uu 01 31383032334d303135393931            
03/06/25 05:48:39 0019 1                  44.758104 8.804175 uu 01 323030323545303035353434            
03/06/25 05:48:59 0020 1                  44.758015 8.804105 uu 01 3233303032334d3030373933            
03/06/25 05:49:05 0021 1                  44.758025 8.804156 uu 01 3234303032334d3030303232            
03/06/25 05:49:22 0022 1                  44.758025 8.804110 uu 01 31383032334d303036383037            
03/06/25 05:50:29 0023 1                  44.758025 8.804110 uu 01 31383032334d303036383338            
03/06/25 05:50:42 0024 1                  44.758025 8.804110 uu 01 31383032334d303036383337            
03/06/25 05:51:28 0025 1                  44.758025 8.804110 uu 01 323030323545303035353732            
03/06/25 05:51:41 0026 1                  44.758025 8.804110 uu 01 3232303032334d3031373834            
03/06/25 05:56:24 0027 1                  0 0 uu 01 31383032334d303037313730            
03/06/25 05:57:17 0028 1                  0 0 uu 01 31383032334d303037313631            
03/06/25 05:57:56 0029 1                  0 0 uu 01 3231303032334d3032363431            
03/06/25 05:58:03 0030 1                  0 0 uu 01 31383032334d303037303034            
03/06/25 05:58:11 0031 1                  0 0 uu 01 31383032334d303037313639            
03/06/25 05:59:20 0032 1                  0 0 uu 01 3231303032334d3031343533            
03/06/25 06:02:56 0033 1                  0 0 uu 01 31383032334d303035303932            
03/06/25 06:02:56 0034 1                  0 0 uu 01 323030323545303033343436            
03/06/25 06:04:42 0035 1                  0 0 uu 01 31383032334d303036393533            
03/06/25 06:05:41 0036 1                  0 0 uu 01 31383032334d303036313037            
03/06/25 06:06:40 0037 1                  0 0 uu 01 3234303032334d3032323037            
03/06/25 06:08:30 0038 1                  0 0 uu 01 31383032334d303036333937            
03/06/25 06:09:12 0039 1                  0 0 uu 01 31383032334d303036383633            
03/06/25 06:09:21 0040 1                  0 0 uu 01 31383032334d303036383634            
03/06/25 06:11:10 0042 1                  0 0 uu 01 31383032334d303036383637            
03/06/25 06:13:13 0043 1                  0 0 uu 01 31383032334d303036333939            
03/06/25 06:14:01 0044 1                  0 0 uu 01 31383032334d303036333931            
03/06/25 06:16:52 0045 1                  0 0 uu 01 3231303132304a3037353430            
03/06/25 06:16:55 0046 1                  0 0 uu 01 31383132304a303039303737            
03/06/25 06:22:00 0047 1                  0 0 uu 01 3232303032334d3031353430            
03/06/25 06:22:06 0048 1                  0 0 uu 01 31383032334d303036333239            
03/06/25 06:22:47 0049 1                  0 0 uu 01 31383032334d303036333235            
03/06/25 06:22:58 0050 1                  0 0 uu 01 31383032334d303036333236            
03/06/25 06:26:46 0051 1                  0 0 uu 01 31383032334d303034393631            
03/06/25 06:27:36 0052 1                  0 0 uu 01 31383032334d303034383034            
03/06/25 06:27:38 0053 1                  0 0 uu 01 31383032334d303135393037            
03/06/25 06:29:16 0054 1                  0 0 uu 01 3234303032334d3031333638            
03/06/25 06:29:58 0055 1                  0 0 uu 01 31383032334d303135383433            
03/06/25 06:30:01 0056 1                  0 0 uu 01 323030323545303035303030            
03/06/25 06:30:03 0057 1                  0 0 uu 01 31383032334d303135373832            
03/06/25 06:30:04 0058 1                  0 0 uu 01 31383032334d303135373831            
03/06/25 06:31:28 0000 s 01126ver01 44.761335 8.803340 uu 01
03/06/25 06:32:47 0059 1                  0 0 uu 01 31383032334d303034383638            
