24/06/25 05:08:41 0000 s 02542ver01 44.753117 8.812482 pp 01
24/06/25 05:31:22 0001 1                  44.790070 8.785662 pp 01 191921190605020007010000            
24/06/25 05:31:30 0002 1                  44.790077 8.785660 pp 01 000000000000000016422271            
24/06/25 05:32:26 0003 1                  44.790385 8.785828 pp 01 313831323045303139353132            
24/06/25 05:32:36 0004 1                  44.790387 8.785837 pp 01 303ac8e9c0c79a5ca0cd2c15            
24/06/25 05:33:44 0005 1                  44.790510 8.786015 pp 01 313831323045303230333633            
24/06/25 05:33:50 0006 1                  44.790520 8.786020 pp 01 313831323045303230333632            
24/06/25 05:36:26 0007 1                  44.790645 8.785232 pp 01 313931323050303034363330            
24/06/25 05:37:59 0008 1                  44.791260 8.784447 pp 01 31383033304d303033393735            
24/06/25 05:38:03 0009 1                  44.791257 8.784448 pp 01 3233303033304d3030343433            
24/06/25 05:38:21 0010 1                  44.791258 8.784447 pp 01 3231303033304d3032363830            
24/06/25 05:40:38 0011 1                  44.790312 8.784868 pp 01 30395dfa82d7128000209ad4            
24/06/25 05:41:47 0012 1                  44.789972 8.784767 pp 01 313931323050303039363035            
24/06/25 05:43:29 0013 1                  44.789628 8.784555 pp 01 313831323045303139393536            
24/06/25 05:46:12 0014 1                  44.790273 8.782962 pp 01 313831323045303231393137            
24/06/25 05:49:44 0015 1                  44.790823 8.783575 pp 01 313831323045303235363939            
24/06/25 05:53:25 0016 1                  44.791442 8.784327 pp 01 313931323050303130353838            
24/06/25 05:53:27 0017 1                  44.791448 8.784323 pp 01 313831323045303236303737            
24/06/25 05:55:02 0018 1                  44.791557 8.784163 pp 01 313831323045303139333133            
24/06/25 05:58:14 0019 1                  44.791982 8.782720 pp 01 313831323045303234343131            
24/06/25 05:58:41 0020 1                  44.791990 8.782728 pp 01 313831323045303230393538            
24/06/25 06:00:35 0021 1                  44.792072 8.782750 pp 01 31383032334d303035333830            
24/06/25 06:02:22 0022 1                  44.792575 8.782880 pp 01 313831323045303231393938            
24/06/25 06:02:25 0023 1                  44.792583 8.782873 pp 01 313839323045303231393938            
24/06/25 06:02:56 0024 1                  44.792597 8.782895 pp 01 3234303132304a3030323730            
24/06/25 06:07:12 0025 1                  44.793595 8.783828 pp 01 3233303132304a3030353134            
24/06/25 06:07:14 0026 1                  44.793597 8.783833 pp 01 313831323045303139353233            
24/06/25 06:09:36 0027 1                  44.793665 8.784052 pp 01 313831323045303139353532            
24/06/25 06:12:29 0028 1                  44.794152 8.784082 pp 01 313831323045303138363737            
24/06/25 06:12:45 0029 1                  44.794172 8.784087 pp 01 313831323045303138383937            
24/06/25 06:13:11 0030 1                  44.794203 8.784092 pp 01 e2801191a5040070688b3302            
24/06/25 06:14:43 0031 1                  44.794540 8.783710 pp 01 3231303033304d3032353639            
24/06/25 06:14:47 0032 1                  44.794542 8.783702 pp 01 000000000000000008228073            
