09/07/25 05:08:34 0000 s 02540ver01 44.753130 8.812655 vv 01
09/07/25 05:35:15 0001 1                  44.766015 8.785607 vv 01 3233303234304a3030333630            
09/07/25 05:40:54 0002 1                  44.763857 8.795092 vv 01 3231303234304a3033333936            
09/07/25 05:40:57 0003 1                  44.763852 8.795128 vv 01 3231303234304a3033333937            
09/07/25 05:41:36 0004 1                  44.763887 8.795312 vv 01 3231303032334d3033353031            
09/07/25 05:46:00 0000 s 02540ver01 44.763810 8.796217 vv 01
09/07/25 06:05:57 0005 1                  44.763153 8.794610 vv 01 3232303234304a3030363835            
09/07/25 06:07:22 0006 1                  44.763410 8.792957 vv 01 3231303234304a3033343433            
09/07/25 06:07:25 0007 1                  44.763407 8.792950 vv 01 3231303234304a3033353536            
09/07/25 06:16:37 0008 1                  44.762687 8.789692 vv 01 3231303234304a3033373534            
09/07/25 06:18:15 0009 1                  44.762475 8.789993 vv 01 3231303234304a3033363732            
09/07/25 06:18:26 0010 1                  44.762475 8.789955 vv 01 3231303032334d3033353539            
09/07/25 06:18:27 0011 1                  44.762475 8.789958 vv 01 3231313130304a3032323538            
09/07/25 06:18:46 0012 1                  44.762472 8.789978 vv 01 3231303234304a3033313630            
09/07/25 06:20:01 0013 1                  44.762377 8.790182 vv 01 3231303234304a3033313636            
09/07/25 06:27:52 0014 1                  44.765355 8.789943 vv 01 3231303234304a3033393539            
09/07/25 06:28:00 0015 1                  44.765362 8.789938 vv 01 3231303132304a3037343234            
09/07/25 06:30:38 0016 1                  44.765960 8.790200 vv 01 3231303234304a3033343538            
09/07/25 06:32:41 0017 1                  44.766387 8.790440 vv 01 3231303234304a3033373237            
09/07/25 06:32:48 0018 1                  44.766390 8.790438 vv 01 3231303234304a3033373233            
09/07/25 06:33:05 0019 1                  44.766410 8.790420 vv 01 e28011a0a5020001274f1fff            
09/07/25 06:34:15 0020 1                  44.766713 8.791215 vv 01 323032343056303030313134            
09/07/25 06:35:01 0021 1                  44.766758 8.791317 vv 01 3231303234304a3033333236            
09/07/25 06:44:04 0022 1                  44.765902 8.796762 vv 01 3232303234304a3030363039            
09/07/25 06:50:51 0023 1                  44.766508 8.794075 vv 01 3232303234304a3030323030            
09/07/25 06:51:47 0024 1                  44.766595 8.793793 vv 01 3231303234304a3033343233            
09/07/25 06:52:02 0025 1                  44.766580 8.793742 vv 01 3231303234304a3033343232            
09/07/25 06:53:51 0026 1                  44.767088 8.792418 vv 01 3231303234304a3033333232            
09/07/25 06:54:29 0027 1                  44.767110 8.792363 vv 01 3231303234304a3033373137            
09/07/25 06:57:28 0028 1                  44.768350 8.785648 vv 01 303ac8e9c0af8399d8b66a5a            
09/07/25 07:19:13 0029 1                  44.765048 8.794345 vv 01 313931323043303130373439            
09/07/25 07:19:15 0030 1                  44.765050 8.794345 vv 01 3231303234304a3033313637            
09/07/25 07:19:23 0031 1                  44.765060 8.794342 vv 01 3039612d434f1849502fab96            
09/07/25 07:19:48 0032 1                  44.765068 8.794340 vv 01 30360390943e148002625dfc            
09/07/25 07:28:27 0033 1                  44.766622 8.786695 vv 01 3231303234304a3033303538            
09/07/25 07:28:43 0034 1                  44.766643 8.786690 vv 01 313931323043303039313431            
09/07/25 07:29:14 0035 1                  44.766627 8.786658 vv 01 30340be6384c57a75fa21c06            
09/07/25 07:49:34 0000 s 02540ver01 44.766297 8.785218 vv 01
09/07/25 08:42:07 0000 s 02540ver01 44.788195 8.748252 vv 01
09/07/25 09:13:07 0036 1                  44.770945 8.784948 vv 01 3231303234304a3033323830            
09/07/25 09:14:22 0037 1                  44.770015 8.784170 vv 01 3231303234304a3033323733            
09/07/25 09:15:02 0038 1                  44.769958 8.784168 vv 01 3231303234304a3033323734            
09/07/25 09:21:35 0039 1                  44.767042 8.782827 vv 01 3231303234304a3033393530            
09/07/25 09:25:28 0040 1                  44.769175 8.779908 vv 01 3233303234304a3031313331            
09/07/25 09:33:04 0041 1                  44.778138 8.775300 vv 01 3231303234304a3033393431            
09/07/25 09:37:51 0042 1                  44.766537 8.783488 vv 01 3231303032334d3030323934            
09/07/25 09:39:53 0043 1                  44.766315 8.783810 vv 01 3231303032334d3031303736            
09/07/25 09:39:55 0044 1                  44.766317 8.783810 vv 01 3231303032334d3031303737            
09/07/25 10:01:00 0045 1                  44.758390 8.789052 vv 01 3234303234304a3030383734            
09/07/25 10:01:12 0046 1                  44.758395 8.789102 vv 01 323030323545303034383438            
09/07/25 10:19:18 0047 1                  44.760855 8.784283 vv 01 3231303234304a3030373639            
09/07/25 10:19:22 0048 1                  44.760853 8.784275 vv 01 3035d0d0c4088f800099465d            
09/07/25 11:06:15 0000 s 02540ver01 44.773465 8.763798 vv 01
