02/08/25 05:02:50 0000 s 02028ver01 44.752940 8.812485 cc 01
02/08/25 05:24:47 0001 1                  0 0 cc 01 323032323036323330303238            
02/08/25 05:26:56 0000 s 02028ver01 44.758793 8.681118 cc 01
02/08/25 05:31:06 0002 1                  0 0 cc 01 31383132304a303130303332            
02/08/25 05:32:22 0003 1                  0 0 cc 01 31383132304a303130303331            
02/08/25 05:47:17 0004 1                  44.757952 8.685163 cc 01 31383132304a303130333738            
02/08/25 05:47:22 0005 1                  44.757988 8.685182 cc 01 31383132304a303130333739            
02/08/25 05:50:19 0006 1                  44.754439 8.689038 cc 01 313931323043303036393537            
02/08/25 05:52:05 0007 1                  44.751709 8.689322 cc 01 31383132304a303135393130            
02/08/25 05:52:08 0008 1                  44.751709 8.689322 cc 01 31383132304a303135393131            
02/08/25 05:53:45 0009 1                  44.751267 8.689292 cc 01 313932343043303030363937            
02/08/25 05:57:46 0010 1                  44.743321 8.689209 cc 01 31383132304a303135393133            
02/08/25 05:59:12 0011 1                  44.741853 8.689042 cc 01 30340c0f68494ee3e060cc06            
02/08/25 05:59:13 0012 1                  44.741854 8.689041 cc 01 303549a8a0058f54f4b76ffe            
02/08/25 05:59:37 0013 1                  44.741794 8.688989 cc 01 31383132304a303130383634            
02/08/25 06:02:56 0014 1                  44.741276 8.685426 cc 01 3034f848e4227d8ab41dcb03            
02/08/25 06:02:57 0015 1                  44.741276 8.685426 cc 01 30340c1d40454308efa5e805            
02/08/25 06:04:16 0016 1                  44.741385 8.685383 cc 01 30340c0f641d7c59b297ec05            
02/08/25 06:15:48 0017 1                  44.736786 8.677489 cc 01 313931323043303033353730            
02/08/25 06:16:53 0018 1                  44.737053 8.677211 cc 01 313931323043303033343735            
02/08/25 06:17:14 0019 1                  44.736979 8.677232 cc 01 31383132304a303039333634            
02/08/25 06:26:02 0020 1                  44.734080 8.667338 cc 01 31383132304a303130333437            
02/08/25 06:28:46 0021 1                  44.735191 8.660504 cc 01 3034f82224022a4ab41ee3a0            
02/08/25 06:31:36 0022 1                  44.733570 8.658933 cc 01 31383132304a303130383637            
02/08/25 06:37:12 0023 1                  44.715756 8.654133 cc 01 31383132304a383133313834            
02/08/25 06:41:19 0024 1                  44.722750 8.659460 cc 01 313931323043303039383736            
02/08/25 06:43:40 0025 1                  44.724463 8.650010 cc 01 31383132304a303131303930            
02/08/25 06:44:47 0026 1                  44.724244 8.642102 cc 01 31383132304a303039393838            
02/08/25 06:49:34 0027 1                  44.728842 8.684485 cc 01 31383132324a303137313033            
02/08/25 06:51:42 0028 1                  44.735172 8.685960 cc 01 31383132304a303130353231            
02/08/25 06:52:32 0029 1                  44.735044 8.686115 cc 01 31383132304a303136393539            
02/08/25 06:53:38 0030 1                  44.734570 8.686564 cc 01 31383132304a303039353339            
02/08/25 06:54:37 0031 1                  44.734097 8.686902 cc 01 31383132304a303137383532            
02/08/25 06:56:45 0032 1                  44.732970 8.688066 cc 01 313931323043303036393631            
02/08/25 06:57:32 0033 1                  44.732788 8.688145 cc 01 313931323043303032353937            
02/08/25 06:59:41 0034 1                  44.732355 8.688184 cc 01 31383132304a303136363637            
02/08/25 07:02:11 0035 1                  44.731052 8.690520 cc 01 31383132304a303130383935            
02/08/25 07:03:13 0036 1                  44.730766 8.691621 cc 01 31383132304a303130363636            
02/08/25 07:04:04 0037 1                  44.732247 8.690763 cc 01 31383132304a303130363634            
02/08/25 07:05:16 0038 1                  44.732607 8.690806 cc 01 31383132304a303130343638            
02/08/25 07:06:08 0039 1                  44.732559 8.691053 cc 01 31383132304a303530383934            
02/08/25 07:08:52 0040 1                  44.732439 8.693876 cc 01 31383132304a303135393135            
02/08/25 07:08:53 0041 1                  44.732427 8.693866 cc 01 303ac8e9c0e10c1ac688ccd1            
02/08/25 07:10:41 0042 1                  44.732775 8.694109 cc 01 31383132304a303131323331            
02/08/25 07:13:53 0044 1                  44.734613 8.694801 cc 01 31383132304a303131323330            
02/08/25 07:16:08 0045 1                  44.733730 8.698104 cc 01 31383132304a303135373934            
02/08/25 07:17:31 0046 1                  44.733582 8.697666 cc 01 31383132304e303131323237            
02/08/25 07:17:38 0047 1                  44.733579 8.697680 cc 01 31383132304a303136363836            
02/08/25 07:17:44 0048 1                  44.733530 8.697842 cc 01 31383132304a303131323237            
02/08/25 07:18:52 0049 1                  44.733312 8.698027 cc 01 31383132304a303131323238            
02/08/25 07:21:55 0050 1                  44.733312 8.698027 cc 01 313931323043303030313836            
02/08/25 07:27:52 0051 1                  44.733312 8.698027 cc 01 31383132304a303039383933            
02/08/25 07:30:36 0052 1                  44.733312 8.698027 cc 01 31383132304a303137373232            
02/08/25 07:34:29 0053 1                  44.733312 8.698027 cc 01 313931323043303035323033            
02/08/25 07:40:57 0054 1                  44.733312 8.698027 cc 01 313931323043303036363132            
02/08/25 07:41:04 0055 1                  44.733312 8.698027 cc 01 31383132304a303130303034            
02/08/25 07:42:11 0056 1                  44.733312 8.698027 cc 01 31383132304a303130323333            
02/08/25 07:42:45 0057 1                  44.729042 8.692339 cc 01 31383132304a303130313331            
02/08/25 07:43:21 0058 1                  44.733312 8.698027 cc 01 31383132304a303130323334            
02/08/25 07:44:14 0059 1                  44.729135 8.692433 cc 01 313931323043303037323630            
02/08/25 07:45:21 0060 1                  44.729135 8.692433 cc 01 31383132304a303130343636            
02/08/25 07:45:22 0061 1                  44.729135 8.692433 cc 01 31783132304a303130343636            
02/08/25 07:46:36 0062 1                  44.729135 8.692433 cc 01 31383132304a303130343635            
02/08/25 07:47:33 0063 1                  44.729135 8.692433 cc 01 31383132304a303136313130            
02/08/25 07:49:21 0064 1                  44.729135 8.692433 cc 01 31383132304a303130343633            
02/08/25 07:52:13 0065 1                  44.729135 8.692433 cc 01 31383132304a303131343736            
02/08/25 07:52:40 0066 1                  44.729135 8.692433 cc 01 31383132304a303130323835            
02/08/25 07:54:02 0067 1                  44.729135 8.692433 cc 01 31383132304a303130343630            
02/08/25 07:54:16 0068 1                  44.729135 8.692433 cc 01 31383132304a303130343632            
02/08/25 07:55:32 0069 1                  44.729135 8.692433 cc 01 31383132304a303039383131            
02/08/25 07:55:36 0070 1                  44.729135 8.692433 cc 01 31383132304a303039383130            
02/08/25 07:56:13 0071 1                  44.729135 8.692433 cc 01 31383132304a303131303035            
02/08/25 07:57:18 0072 1                  44.729135 8.692433 cc 01 313931323043303036393539            
02/08/25 07:58:25 0073 1                  44.729135 8.692433 cc 01 303ac8e9c0e9d820b6386adf            
02/08/25 07:58:26 0074 1                  44.729135 8.692433 cc 01 31383132304a303131393635            
02/08/25 07:58:28 0075 1                  44.729135 8.692433 cc 01 303ac8e9c083051c9cad09c6            
02/08/25 07:59:43 0076 1                  44.729135 8.692433 cc 01 31383132304a303136343236            
02/08/25 08:01:23 0077 1                  44.729135 8.692433 cc 01 31383132304a303130383434            
02/08/25 08:01:38 0078 1                  44.729135 8.692433 cc 01 31383132304a303131343738            
02/08/25 08:04:12 0079 1                  44.729135 8.692433 cc 01 303ac8e9c09fb41c9e26237e            
02/08/25 08:05:04 0080 1                  44.729135 8.692433 cc 01 31383132304a303138303839            
02/08/25 08:05:52 0081 1                  44.729135 8.692433 cc 01 31383132304a303136383639            
02/08/25 08:06:54 0082 1                  44.729135 8.692433 cc 01 31383132304a303136383730            
02/08/25 08:07:32 0083 1                  44.729135 8.692433 cc 01 31383132304a303136383731            
02/08/25 08:08:07 0084 1                  44.729135 8.692433 cc 01 31383132304a303138303836            
02/08/25 08:08:56 0000 s 02028ver01 44.728467 8.691190 cc 01
02/08/25 08:09:47 0085 1                  44.729135 8.692433 cc 01 313931323043303036383931            
02/08/25 08:11:14 0086 1                  44.729135 8.692433 cc 01 31383132304a303137373634            
02/08/25 08:15:55 0087 1                  44.729135 8.692433 cc 01 31383132304a303136383539            
02/08/25 08:18:34 0088 1                  44.729135 8.692433 cc 01 31383132304a303039393633            
02/08/25 08:20:58 0089 1                  44.729135 8.692433 cc 01 31383132304a303130323331            
02/08/25 08:22:31 0090 1                  44.729135 8.692433 cc 01 31383132304a303135373133            
02/08/25 08:22:53 0091 1                  44.729135 8.692433 cc 01 3039612d42053489502f9c50            
02/08/25 08:22:55 0092 1                  44.729135 8.692433 cc 01 31383132304a303135363635            
02/08/25 08:26:07 0093 1                  44.729135 8.692433 cc 01 31383132304a303130333039            
02/08/25 08:49:36 0094 1                  44.717466 8.686563 cc 01 31383132304a303137333331            
02/08/25 08:51:56 0095 1                  44.717466 8.686563 cc 01 31383132304a303130303935            
02/08/25 08:52:01 0096 1                  44.717466 8.686563 cc 01 31383132304a303130313337            
02/08/25 08:52:55 0097 1                  44.717466 8.686563 cc 01 31383132304a303138313832            
02/08/25 08:53:49 0098 1                  44.717466 8.686563 cc 01 31383132304a303130313339            
02/08/25 08:54:42 0099 1                  44.717466 8.686563 cc 01 31383132304a303138313835            
02/08/25 08:55:39 0100 1                  44.717466 8.686563 cc 01 31383132304a303138313837            
02/08/25 08:57:25 0101 1                  44.717466 8.686563 cc 01 31383132304a303039333239            
02/08/25 08:57:33 0102 1                  44.717466 8.686563 cc 01 31383132304a303039393336            
02/08/25 08:58:30 0103 1                  44.717466 8.686563 cc 01 31383132304a303135373231            
02/08/25 08:59:27 0104 1                  44.717466 8.686563 cc 01 3233303132304a3031393031            
02/08/25 09:00:33 0105 1                  44.717466 8.686563 cc 01 313931323043303038373337            
02/08/25 09:01:29 0106 1                  44.717466 8.686563 cc 01 313931323043303038363233            
02/08/25 09:01:33 0107 1                  44.717466 8.686563 cc 01 31383132304a303039333335            
02/08/25 09:03:05 0108 1                  44.717466 8.686563 cc 01 31383132304a303136323239            
02/08/25 09:08:55 0109 1                  44.717466 8.686563 cc 01 31383132304a303136393238            
02/08/25 09:09:25 0110 1                  44.717466 8.686563 cc 01 31383132304a303039393137            
02/08/25 09:11:06 0111 1                  44.717466 8.686563 cc 01 303ac8e9c08a4099d8b65016            
02/08/25 09:13:22 0112 1                  44.717466 8.686563 cc 01 3230303033304d3038303531            
