08/01/25 06:06:10 0000 s 02026ver01 44.753085 8.812503 uu 01
08/01/25 08:54:27 0001 1                  0 0 uu 01 323032323036323330303235            
08/01/25 09:04:15 0000 s 02026ver01 44.752933 8.812287 uu 01
08/01/25 10:40:31 0000 s 02026ver01 44.752585 8.812647 uu 01
08/01/25 10:56:56 0002 1                  0 0 uu 01 323030323545303037373734            
08/01/25 10:57:02 0003 1                  0 0 uu 01 323030323545303037373530            
08/01/25 10:57:40 0004 1                  0 0 uu 01 323030323545303030313433            
08/01/25 10:57:47 0005 1                  0 0 uu 01 323030323545303030353537            
08/01/25 10:58:27 0006 1                  0 0 uu 01 323030323545303030353939            
08/01/25 10:58:59 0007 1                  0 0 uu 01 323030323545303037393334            
08/01/25 10:59:10 0008 1                  0 0 uu 01 323030323545303030323532            
08/01/25 11:00:03 0009 1                  0 0 uu 01 323030323545303037343436            
08/01/25 11:00:36 0010 1                  0 0 uu 01 323030323545303037363035            
08/01/25 11:01:10 0011 1                  0 0 uu 01 3233303032334d3030313334            
08/01/25 11:01:18 0012 1                  0 0 uu 01 3234303032334d3030363935            
08/01/25 11:02:17 0013 1                  0 0 uu 01 323030323545303033303431            
08/01/25 11:02:24 0014 1                  0 0 uu 01 323030323545303037343334            
08/01/25 11:03:04 0015 1                  0 0 uu 01 323030323545303034313535            
08/01/25 11:03:09 0016 1                  0 0 uu 01 323030323545303034313337            
08/01/25 11:03:13 0017 1                  0 0 uu 01 323030323545303034313731            
08/01/25 11:03:52 0018 1                  0 0 uu 01 323030323545303037343531            
08/01/25 11:04:00 0019 1                  0 0 uu 01 323030323545303030353532            
08/01/25 11:04:08 0020 1                  0 0 uu 01 323030323545303030363036            
08/01/25 11:04:59 0021 1                  0 0 uu 01 323030323545303037323432            
08/01/25 11:05:05 0022 1                  0 0 uu 01 323030323545303039333530            
08/01/25 11:05:12 0023 1                  0 0 uu 01 3231303032334d3035343232            
08/01/25 11:06:06 0024 1                  0 0 uu 01 323030323545303037323034            
08/01/25 11:06:13 0025 1                  0 0 uu 01 323030323545303034303633            
08/01/25 11:06:53 0026 1                  0 0 uu 01 323030323545303030313136            
08/01/25 11:07:41 0027 1                  0 0 uu 01 323030323545303032383538            
08/01/25 11:10:17 0028 1                  44.763568 8.775171 uu 01 323030323545303030343938            
08/01/25 11:10:51 0029 1                  44.763699 8.775226 uu 01 323030323545303030343939            
08/01/25 11:11:02 0030 1                  44.763693 8.775265 uu 01 323030323545303030333439            
08/01/25 11:12:25 0031 1                  44.763622 8.775576 uu 01 323030323545303036393735            
08/01/25 11:12:30 0032 1                  44.763634 8.775451 uu 01 3234303032334d3030343632            
08/01/25 11:13:08 0033 1                  44.763375 8.775536 uu 01 323030323545303030343034            
08/01/25 11:13:17 0034 1                  44.763378 8.775542 uu 01 323030323545303030343035            
08/01/25 11:13:29 0035 1                  44.763327 8.775549 uu 01 323030323545303030333937            
08/01/25 11:14:48 0036 1                  44.762853 8.775460 uu 01 3231303032334d3030343738            
08/01/25 11:14:57 0037 1                  44.762831 8.775464 uu 01 323030323545303039313133            
08/01/25 11:15:00 0038 1                  44.762840 8.775431 uu 01 323030323545303037373836            
08/01/25 11:15:15 0039 1                  44.762823 8.775406 uu 01 3233303032334d3030363630            
08/01/25 11:15:22 0040 1                  44.762828 8.775404 uu 01 3231303032334d3035373432            
08/01/25 11:15:28 0041 1                  44.762824 8.775403 uu 01 323030323545303037373833            
08/01/25 11:16:48 0042 1                  44.762582 8.775389 uu 01 323030323545303034313739            
