23/06/25 05:11:03 0000 s 02543ver01 44.753287 8.812100 uu 01
23/06/25 05:32:53 0001 1                  44.715650 8.771138 uu 01 3232303032334d3030373832            
23/06/25 05:32:57 0002 1                  44.715645 8.771140 uu 01 31383032334d303037383631            
23/06/25 05:33:27 0003 1                  44.715160 8.771600 uu 01 313931323050303131323236            
23/06/25 05:33:28 0004 1                  44.715158 8.771600 uu 01 31383032334d303034363030            
23/06/25 05:34:32 0005 1                  44.715655 8.774255 uu 01 323030323545303038333339            
23/06/25 05:35:11 0006 1                  44.715498 8.774802 uu 01 323030323545303034303536            
23/06/25 05:36:33 0007 1                  44.715448 8.775210 uu 01 323030323545303037353731            
23/06/25 05:39:15 0008 1                  44.714270 8.772980 uu 01 3233303132304a3032303834            
23/06/25 05:39:17 0009 1                  44.714272 8.772980 uu 01 3235303132304a3030393232            
23/06/25 05:40:46 0010 1                  44.713885 8.773403 uu 01 3231303032334d3033393034            
23/06/25 05:41:38 0011 1                  44.712500 8.774150 uu 01 323030323545303034323033            
23/06/25 05:42:09 0012 1                  44.712203 8.773902 uu 01 323030323545303034323032            
23/06/25 05:42:39 0013 1                  44.712032 8.773813 uu 01 3234303032334d3030303234            
23/06/25 05:42:44 0014 1                  44.712032 8.773810 uu 01 3234303032334d3030353035            
23/06/25 05:42:49 0015 1                  44.712030 8.773808 uu 01 3234303032334d3031313539            
23/06/25 05:42:52 0016 1                  44.712028 8.773810 uu 01 3234303132304a3033313237            
23/06/25 05:44:17 0017 1                  44.712567 8.776532 uu 01 313931323050303131313235            
23/06/25 05:44:23 0018 1                  44.712562 8.776537 uu 01 323030323545303034343036            
23/06/25 05:45:02 0019 1                  44.712068 8.777172 uu 01 323030323545303036383832            
23/06/25 05:49:48 0000 s 02543ver01 0 0 uu 01
23/06/25 05:51:11 0020 1                  44.716852 8.797667 uu 01 323031323055303030323933            
23/06/25 05:55:20 0000 s 02543ver01 0 0 uu 01
23/06/25 05:56:38 0021 1                  44.704097 8.790580 uu 01 323030323545303036393432            
23/06/25 05:59:31 0022 1                  44.713828 8.772697 uu 01 323032343055303030323333            
23/06/25 05:59:44 0023 1                  44.713828 8.772693 uu 01 313932343050303030303539            
23/06/25 06:00:41 0024 1                  44.713848 8.772115 uu 01 3234303032334d3030373731            
23/06/25 06:01:38 0025 1                  44.714315 8.769052 uu 01 323030323545303038323433            
23/06/25 06:03:37 0026 1                  44.714490 8.767477 uu 01 3234303032334d3031363637            
23/06/25 06:05:55 0027 1                  44.713303 8.769645 uu 01 323030323545303037323230            
23/06/25 06:10:03 0028 1                  44.708803 8.768455 uu 01 323030323545303034303533            
23/06/25 06:10:54 0029 1                  44.708655 8.767678 uu 01 313931323050303131353033            
23/06/25 06:10:58 0030 1                  44.708653 8.767645 uu 01 323030323545303037313236            
23/06/25 06:11:03 0031 1                  44.708653 8.767625 uu 01 323030323545303037303932            
23/06/25 06:11:14 0032 1                  44.708653 8.767598 uu 01 313931323050303131353037            
23/06/25 06:11:54 0033 1                  44.708175 8.766897 uu 01 323030323545303038383932            
23/06/25 06:12:29 0034 1                  44.708157 8.766282 uu 01 323030323545303037313239            
