26/06/25 05:25:44 0000 s 02547ver01 44.753212 8.812523 vv 01
26/06/25 05:31:26 0001 1                  44.755575 8.803325 vv 01 363032343056303030323134            
26/06/25 05:31:46 0002 1                  44.755568 8.803352 vv 01 323032343056303031303036            
26/06/25 05:33:18 0003 1                  44.755472 8.803200 vv 01 323032343056303030323135            
26/06/25 05:33:33 0004 1                  44.755473 8.803207 vv 01 313931323050303033363738            
26/06/25 05:41:21 0005 1                  44.763608 8.775172 vv 01 323032343056303030393737            
26/06/25 05:43:48 0006 1                  44.763367 8.776470 vv 01 3230303234304a3030313433            
26/06/25 05:44:12 0007 1                  44.763378 8.776477 vv 01 323032343056303031313236            
26/06/25 05:45:31 0008 1                  44.763723 8.776502 vv 01 323032343056303031313331            
26/06/25 05:48:34 0009 1                  44.764428 8.774953 vv 01 323032343056303030383230            
26/06/25 05:49:50 0010 1                  44.764092 8.774728 vv 01 3230303234304a3030363332            
26/06/25 05:51:09 0011 1                  44.763905 8.774462 vv 01 323032343056303030383931            
26/06/25 05:54:15 0012 1                  44.764195 8.772703 vv 01 3230303234304a3030383136            
26/06/25 05:54:29 0013 1                  44.764225 8.772722 vv 01 3230303234304a3030333732            
26/06/25 05:55:26 0014 1                  44.764273 8.772742 vv 01 3232303234304a3030363735            
26/06/25 06:12:15 0015 1                  44.736603 8.731337 vv 01 31383234304a303031343437            
26/06/25 06:12:32 0016 1                  44.736595 8.731302 vv 01 31383234304a303031343436            
26/06/25 06:15:00 0017 1                  44.735810 8.731152 vv 01 31383234304a303032353635            
26/06/25 06:15:30 0018 1                  44.735785 8.731167 vv 01 3235303234304a3030383138            
26/06/25 06:16:24 0019 1                  44.735063 8.731833 vv 01 31383234304a303031333232            
26/06/25 06:18:03 0020 1                  44.734562 8.732297 vv 01 31383234304a303032353437            
26/06/25 06:19:39 0021 1                  44.734313 8.731257 vv 01 31433234304a303032343936            
26/06/25 06:19:57 0022 1                  44.734327 8.731272 vv 01 31383032334d303039333439            
26/06/25 06:21:04 0023 1                  44.734377 8.731140 vv 01 323032343056303031363131            
26/06/25 06:22:12 0024 1                  44.734377 8.730397 vv 01 31383234304a303032343937            
26/06/25 06:24:07 0025 1                  44.733962 8.732017 vv 01 31383234304a303032343933            
26/06/25 06:29:59 0026 1                  44.734978 8.732993 vv 01 31383234304a303032363332            
26/06/25 06:33:24 0027 1                  44.737073 8.730040 vv 01 31383234304a303033313236            
26/06/25 06:35:35 0028 1                  44.736677 8.730335 vv 01 31383234304a303031343130            
26/06/25 06:39:30 0029 1                  44.730680 8.735272 vv 01 31383234304a303031373738            
26/06/25 06:49:13 0030 1                  44.732622 8.733013 vv 01 31383032334d303031343736            
26/06/25 06:49:20 0031 1                  44.732620 8.732975 vv 01 31383234304a303032357832            
26/06/25 06:49:22 0032 1                  44.732622 8.732967 vv 01 31383234304a303032353832            
26/06/25 06:54:42 0033 1                  44.734478 8.732467 vv 01 31383234304a303032353530            
26/06/25 06:56:33 0034 1                  44.735937 8.731125 vv 01 3235303234304a3030383138            
26/06/25 06:59:57 0035 1                  44.736437 8.734555 vv 01 31383234304a303031303536            
26/06/25 07:02:08 0036 1                  44.735617 8.734357 vv 01 31383234304a303032373933            
26/06/25 07:04:05 0037 1                  44.735663 8.734367 vv 01 31383234304a303031323733            
26/06/25 07:05:59 0038 1                  44.736328 8.732875 vv 01 31383234304a303032373637            
26/06/25 07:28:34 0000 s 02547ver01 0 0 vv 01
26/06/25 07:28:34 0000 s 02547ver01 0 0 vv 01
26/06/25 07:30:22 0039 1                  44.781583 8.688985 vv 01 31383234304a303031333138            
26/06/25 07:30:50 0040 1                  44.781585 8.688955 vv 01 373030313030343234333738            
26/06/25 07:32:19 0041 1                  44.781552 8.688548 vv 01 313832343045303030393539            
26/06/25 07:34:06 0000 s 02547ver01 0 0 vv 01
26/06/25 07:36:44 0042 1                  44.781995 8.686135 vv 01 313832343045303030393632            
26/06/25 07:37:09 0043 1                  44.782003 8.686140 vv 01 313831323045303131393533            
26/06/25 07:44:39 0000 s 02547ver01 0 0 vv 01
26/06/25 07:44:52 0044 1                  44.784298 8.684237 vv 01 313832343045303030397833            
26/06/25 07:47:01 0045 1                  44.784868 8.683703 vv 01 313832343045303030393936            
26/06/25 07:48:21 0046 1                  44.784790 8.683547 vv 01 3231303234304a3033323832            
26/06/25 07:50:12 0000 s 02547ver01 0 0 vv 01
26/06/25 07:50:48 0047 1                  44.783478 8.684390 vv 01 313832343045303031383134            
26/06/25 07:50:50 0048 1                  44.783495 8.684402 vv 01 313832343045303031383134            
