27/01/25 10:04:49 0000 s 01491ver01 44.882253 8.859888 00 00
27/01/25 10:04:55 0000 s 01491ver01 44.882253 8.859888 00 00
27/01/25 10:05:08 0000 s 01491ver01 44.882418 8.859787 00 00
27/01/25 12:04:44 0074 1                  44.986108 8.810720 00 00 313831323045303230323834            
27/01/25 12:06:13 0075 1                  44.985707 8.810498 00 00 313831323045303230323830            
27/01/25 12:06:17 0076 1                  44.985702 8.810495 00 00 313831323045303230323738            
27/01/25 12:07:40 0077 1                  44.985302 8.810188 00 00 313831323045303230323837            
27/01/25 12:07:40 0078 1                  44.985302 8.810188 00 00 313831323045303230323039            
27/01/25 12:10:08 0079 1                  44.985298 8.809038 00 00 313831323045303139343736            
27/01/25 12:11:17 0080 1                  44.985720 8.808725 00 00 313831323045303230303036            
27/01/25 12:12:36 0081 1                  44.986068 8.808697 00 00 313831323045303139393939            
27/01/25 12:12:36 0082 1                  44.986068 8.808697 00 00 313831323045303230313736            
27/01/25 12:13:30 0083 1                  44.986073 8.808688 00 00 313931323050303039383736            
27/01/25 12:13:32 0084 1                  44.986072 8.808687 00 00 313831323045303230313734            
27/01/25 12:13:34 0085 1                  44.986073 8.808687 00 00 313931323050303039383736            
27/01/25 12:14:31 0086 1                  44.986083 8.808680 00 00 313831323045303230333332            
27/01/25 12:14:31 0087 1                  44.986083 8.808680 00 00 313831323045303139383932            
27/01/25 12:15:09 0088 1                  44.986088 8.808697 00 00 313831323045303139383931            
27/01/25 12:17:13 0089 1                  44.986422 8.808905 00 00 313831323045303139383837            
27/01/25 12:17:15 0090 1                  44.986422 8.808903 00 00 313831323045303139383838            
27/01/25 12:18:07 0091 1                  44.986435 8.808875 00 00 313831323045303230393035            
27/01/25 12:18:07 0092 1                  44.986435 8.808875 00 00 313831323045303232373036            
27/01/25 12:20:01 0093 1                  44.986512 8.808582 00 00 313831323045303139393937            
27/01/25 12:20:01 0094 1                  44.986512 8.808582 00 00 313831323045303139393933            
27/01/25 12:21:38 0095 1                  44.986617 8.808620 00 00 313A31323045303139373139            
27/01/25 12:23:05 0096 1                  44.986860 8.808532 00 00 313831323045303139383839            
27/01/25 12:24:52 0097 1                  44.987000 8.808498 00 00 313831323045303139353432            
27/01/25 12:24:52 0098 1                  44.987000 8.808498 00 00 313831323045303139353432            
27/01/25 12:24:54 0099 1                  44.987000 8.808498 00 00 313831323045703230333339            
27/01/25 12:26:35 0100 1                  44.986760 8.809457 00 00 313831323045303230333230            
27/01/25 12:27:34 0101 1                  44.986658 8.809840 00 00 313831323045303139343634            
27/01/25 12:28:41 0102 1                  44.986650 8.810182 00 00 313831323045303139393934            
27/01/25 12:29:43 0103 1                  44.986667 8.810543 00 00 313831323045303232303232            
27/01/25 12:31:39 0104 1                  44.987507 8.811347 00 00 313831323045303232303438            
27/01/25 12:32:58 0105 1                  44.987978 8.811157 00 00 313831323045303138373533            
27/01/25 12:34:51 0106 1                  44.991285 8.811510 00 00 3234303132304A3030343330            
27/01/25 12:36:44 0107 1                  44.995697 8.812647 00 00 313831323045303232323931            
27/01/25 12:40:37 0108 1                  45.003382 8.817565 00 00 313931323050303039333737            
27/01/25 12:42:15 0109 1                  45.003488 8.817150 00 00 313831323045303232373135            
27/01/25 12:42:15 0110 1                  45.003488 8.817150 00 00 313831323045303232373135            
27/01/25 12:42:15 0111 1                  45.003488 8.817150 00 00 313831323045303232323537            
27/01/25 12:44:05 0112 1                  45.003445 8.816368 00 00 313831323045303139323739            
27/01/25 12:45:48 0113 1                  45.005197 8.817788 00 00 313931323050303038363333            
27/01/25 12:47:01 0114 1                  45.006123 8.817823 00 00 313831323045303233323132            
27/01/25 12:48:12 0115 1                  45.006650 8.819037 00 00 313931323050303033383432            
27/01/25 12:49:35 0116 1                  45.008347 8.820728 00 00 313831323045303231383435            
27/01/25 12:52:07 0117 1                  45.008613 8.818668 00 00 31383132304A303231353435            
27/01/25 12:53:19 0118 1                  45.008425 8.819015 00 00 31383132304A303233353330            
27/01/25 12:59:28 0119 1                  44.998553 8.813862 00 00 313831323045303230363139            
27/01/25 12:59:30 0120 1                  44.998552 8.813858 00 00 313831323045383230363139            
27/01/25 13:04:59 0121 1                  44.989243 8.806537 00 00 313831323045303232723636            
27/01/25 13:06:05 0122 1                  44.989900 8.805950 00 00 313931323050303130383133            
27/01/25 13:08:43 0123 1                  44.998700 8.797857 00 00 313931323050303039393936            
27/01/25 13:08:45 0124 1                  44.998695 8.797858 00 00 313831323045303139303431            
27/01/25 13:13:47 0125 1                  44.984425 8.810117 00 00 313831323045303139373236            
27/01/25 13:15:18 0126 1                  44.983990 8.810817 00 00 313831323045303139343530            
27/01/25 13:15:22 0127 1                  44.983993 8.810820 00 00 313931323050303130303238            
27/01/25 13:15:54 0128 1                  44.983992 8.810808 00 00 313831323045303231313137            
27/01/25 13:17:33 0129 1                  44.983823 8.811182 00 00 313831313030533031313030            
27/01/25 13:19:37 0130 1                  44.982967 8.812045 00 00 313931323050303034353737            
27/01/25 13:19:37 0131 1                  44.982967 8.812045 00 00 3233303234304A3030363339            
27/01/25 13:20:56 0132 1                  44.982743 8.811958 00 00 31383033304D303034343735            
27/01/25 13:21:30 0133 1                  44.982743 8.811950 00 00 3231303234304A3034373436            
27/01/25 13:21:32 0134 1                  44.982745 8.811950 00 00 313832343045303034303633            
27/01/25 13:23:11 0135 1                  44.982183 8.811703 00 00 3233303234304A3030363238            
27/01/25 13:23:13 0136 1                  44.982183 8.811705 00 00 313831323045303138373235            
27/01/25 13:23:45 0137 1                  44.982155 8.811745 00 00 31383033304D303034353331            
27/01/25 13:23:49 0138 1                  44.982148 8.811748 00 00 3230303033304D3038363732            
27/01/25 13:24:54 0139 1                  44.981975 8.811693 00 00 31383033304D303034353330            
27/01/25 13:25:00 0140 1                  44.981972 8.811695 00 00 31383033304D303034353238            
27/01/25 13:25:31 0141 1                  44.981983 8.811673 00 00 31383033304D303034353239            
27/01/25 13:25:35 0142 1                  44.981983 8.811675 00 00 31383033304D303034373939            
27/01/25 13:25:53 0143 1                  44.981978 8.811692 00 00 3233303033304D3030343930            
27/01/25 13:27:08 0144 1                  44.981587 8.811348 00 00 313831323045303234383837            
27/01/25 13:28:49 0145 1                  44.980850 8.810527 00 00 313831323045303037363138            
27/01/25 13:30:38 0146 1                  44.981093 8.809330 00 00 313831323045303139323131            
27/01/25 13:30:38 0147 1                  44.981093 8.809330 00 00 313831323045303232363937            
27/01/25 13:31:39 0148 1                  44.981097 8.809320 00 00 313931323050303032383834            
27/01/25 13:33:18 0149 1                  44.981218 8.808900 00 00 313831323045303139313237            
27/01/25 13:33:18 0150 1                  44.981218 8.808900 00 00 313831323045303139313235            
27/01/25 13:34:13 0151 1                  44.981220 8.808852 00 00 313831323045303139313438            
27/01/25 13:34:13 0152 1                  44.981220 8.808852 00 00 313832343045303034333536            
27/01/25 13:34:59 0153 1                  44.981213 8.808860 00 00 313831323045303139333931            
27/01/25 13:36:20 0154 1                  44.981368 8.808657 00 00 313831323045303139343930            
27/01/25 13:37:31 0155 1                  44.981618 8.808543 00 00 31383033304D303034343732            
27/01/25 13:38:35 0156 1                  44.981813 8.808765 00 00 31383033304D303034343734            
27/01/25 13:38:49 0157 1                  44.981830 8.808787 00 00 313831323045303231323331            
27/01/25 13:39:26 0158 1                  44.981883 8.808828 00 00 25705569A686677432C36E71            
27/01/25 13:40:06 0159 1                  44.982178 8.808717 00 00 313831323045303139323738            
27/01/25 13:40:06 0160 1                  44.982178 8.808717 00 00 313931323050303036373430            
27/01/25 13:40:06 0161 1                  44.982178 8.808717 00 00 3034F848E42DCA0AB41DC8C5            
27/01/25 13:40:53 0162 1                  44.982208 8.808662 00 00 313931323050303032333734            
27/01/25 13:40:53 0163 1                  44.982208 8.808662 00 00 313831323045303234383433            
