08/07/25 05:50:36 0000 s 02027ver01 44.753075 8.812320 uu 01
08/07/25 11:25:43 0001 1                  0 0 uu 01 323032323036323330303237            
08/07/25 11:37:42 0000 s 02027ver01 44.753195 8.812877 uu 01
08/07/25 11:46:21 0002 1                  0 0 uu 01 323032343055303030323034            
08/07/25 11:46:29 0003 1                  0 0 uu 01 323031323055303030323032            
08/07/25 11:48:01 0004 1                  0 0 uu 01 3234303032334d3032323339            
08/07/25 11:48:09 0005 1                  0 0 uu 01 31383032334d303036303238            
08/07/25 11:48:19 0006 1                  0 0 uu 01 31383032334d303036313334            
08/07/25 11:49:17 0007 1                  0 0 uu 01 323031323055303030333333            
08/07/25 11:49:29 0008 1                  0 0 uu 01 31383032334d303036303236            
08/07/25 11:49:49 0009 1                  0 0 uu 01 31383032334d303136343430            
08/07/25 11:51:17 0010 1                  0 0 uu 01 31383032334d303135363134            
08/07/25 11:51:28 0011 1                  0 0 uu 01 31383032334d303135373339            
08/07/25 11:53:45 0012 1                  0 0 uu 01 31383032334d303135393737            
08/07/25 11:54:02 0013 1                  0 0 uu 01 31383032334d303135393138            
08/07/25 11:54:03 0014 1                  0 0 uu 01 31383032334d303036313930            
08/07/25 11:54:37 0015 1                  0 0 uu 01 3231303032334d3032343832            
08/07/25 11:54:47 0016 1                  0 0 uu 01 31383032334d303036323739            
08/07/25 11:54:59 0017 1                  0 0 uu 01 3232303032334d3030383038            
08/07/25 11:55:09 0018 1                  0 0 uu 01 31383032334d303036323738            
08/07/25 11:55:20 0019 1                  0 0 uu 01 3233303032334d3031303539            
08/07/25 11:55:31 0020 1                  0 0 uu 01 31387032334d303037303130            
08/07/25 11:55:44 0021 1                  0 0 uu 01 3233303032334d3030393035            
08/07/25 11:56:30 0022 1                  0 0 uu 01 31383032334d303036303235            
08/07/25 11:56:48 0023 1                  0 0 uu 01 323030323545303033343834            
08/07/25 11:57:02 0024 1                  0 0 uu 01 3233303032334d3030393532            
08/07/25 11:57:05 0025 1                  0 0 uu 01 31383032334d303036323737            
08/07/25 11:57:58 0026 1                  0 0 uu 01 31383032334d303036363432            
08/07/25 11:58:04 0027 1                  0 0 uu 01 323030323545303033333231            
