18/02/25 05:04:34 0000 s 00901ver01 44.752885 8.812398 cc 01
18/02/25 05:05:16 0001 1                  0 0 cc 01 323032323036323330303133            
18/02/25 05:26:54 0002 1                  44.759043 8.788774 cc 01 313931323043303131353731            
18/02/25 05:26:58 0003 1                  44.759122 8.788895 cc 01 3034f722d4530b0263819fa3            
18/02/25 05:27:37 0004 1                  44.759204 8.788720 cc 01 3230303033304d3035343333            
18/02/25 05:30:08 0005 1                  44.758341 8.789126 cc 01 3234303033304d3030313738            
18/02/25 05:32:45 0006 1                  44.758516 8.788491 cc 01 3230303033304d3031323936            
18/02/25 05:33:03 0007 1                  44.758415 8.788522 cc 01 303436395c17153a30a4d804            
18/02/25 05:33:57 0008 1                  44.758518 8.788650 cc 01 313931323043303130343230            
18/02/25 05:35:04 0009 1                  44.757567 8.790221 cc 01 3230303033304d3032333331            
18/02/25 05:40:17 0010 1                  44.759760 8.789775 cc 01 323030323545303034323739            
18/02/25 05:40:51 0011 1                  44.759795 8.789636 cc 01 3230303033304d3031323436            
18/02/25 05:40:53 0012 1                  44.759795 8.789636 cc 01 323030323545303031373834            
18/02/25 05:42:08 0013 1                  44.759080 8.789580 cc 01 3233303132304a3031363531            
18/02/25 05:44:04 0014 1                  44.758926 8.789760 cc 01 3230303033304d3032343231            
18/02/25 05:48:49 0015 1                  44.758842 8.789634 cc 01 3230303033304d3032333530            
18/02/25 05:50:07 0016 1                  44.759556 8.790019 cc 01 313931323043303039313135            
18/02/25 05:52:52 0017 1                  44.760099 8.789654 cc 01 3231303033304d3032333034            
18/02/25 05:57:47 0018 1                  44.760524 8.788229 cc 01 323030323545303038393030            
18/02/25 05:57:56 0019 1                  44.760521 8.788153 cc 01 3233303033304d3030313534            
18/02/25 05:58:06 0020 1                  44.760442 8.788160 cc 01 323030323545303038373935            
18/02/25 05:58:38 0021 1                  44.760682 8.788244 cc 01 313931323043303131313937            
18/02/25 06:02:07 0022 1                  44.760108 8.788375 cc 01 3230303033304d3032333035            
18/02/25 06:03:11 0023 1                  44.760038 8.788529 cc 01 3230303033304d3032343337            
18/02/25 06:04:20 0024 1                  44.759999 8.788271 cc 01 3233303132304a3030343638            
18/02/25 06:05:37 0025 1                  44.759910 8.788591 cc 01 3233303033304d3030303232            
18/02/25 06:05:37 0026 1                  44.759910 8.788591 cc 01 3233303032334d3030383038            
18/02/25 06:12:15 0027 1                  44.758841 8.788635 cc 01 3230303033304d3031373635            
18/02/25 06:12:15 0028 1                  44.758841 8.788635 cc 01 323030323545303039333730            
18/02/25 06:12:23 0029 1                  44.759338 8.789779 cc 01 3230303033304d3032323933            
18/02/25 06:12:24 0030 1                  44.759422 8.789842 cc 01 323030323545303034333730            
18/02/25 06:14:31 0031 1                  44.759689 8.786869 cc 01 3231303032334d3030343633            
18/02/25 06:14:32 0032 1                  44.759675 8.786868 cc 01 3231303033304d3032303630            
18/02/25 06:14:34 0033 1                  44.759638 8.786867 cc 01 3230303033304d3035323130            
18/02/25 06:16:47 0034 1                  44.760394 8.786441 cc 01 3230303033304d3035323039            
18/02/25 06:22:48 0035 1                  44.760571 8.784325 cc 01 3231313130304a3032313035            
18/02/25 06:25:01 0036 1                  44.761210 8.784186 cc 01 3230303033304d3035333930            
18/02/25 06:25:02 0037 1                  44.761217 8.784156 cc 01 323030323545303035323638            
18/02/25 06:29:21 0038 1                  44.761527 8.781954 cc 01 313931323043303039373131            
18/02/25 06:29:54 0039 1                  44.761588 8.781905 cc 01 3230303033304d3032323131            
18/02/25 06:34:22 0040 1                  44.760936 8.781952 cc 01 3230303033304d3032333036            
18/02/25 06:34:23 0041 1                  44.760914 8.781948 cc 01 3230303033304d3031363839            
18/02/25 06:37:13 0042 1                  44.761459 8.781603 cc 01 30347be6c820b6d749ff3b3c            
18/02/25 06:39:42 0043 1                  44.759882 8.781287 cc 01 3231303032334d3030393435            
18/02/25 06:40:15 0044 1                  44.759847 8.781327 cc 01 31383033304d303035373635            
18/02/25 06:41:31 0045 1                  44.759658 8.781447 cc 01 3233303234304a3030373735            
18/02/25 06:44:15 0046 1                  44.759663 8.782087 cc 01 3230303033304d3032333230            
18/02/25 06:44:16 0047 1                  44.759664 8.782086 cc 01 323030323545303038383532            
18/02/25 06:45:02 0048 1                  44.759590 8.782114 cc 01 3230303033304d3031383133            
18/02/25 06:45:29 0049 1                  44.759526 8.782233 cc 01 303acb03431e511ac688db8d            
18/02/25 06:45:59 0050 1                  44.759647 8.782126 cc 01 313931323043303039373130            
18/02/25 06:47:14 0051 1                  44.759651 8.782634 cc 01 3230303033304d3031383435            
18/02/25 06:49:34 0052 1                  44.759340 8.783114 cc 01 313931323043303132303432            
18/02/25 06:52:21 0053 1                  44.758822 8.784436 cc 01 323030323545303035343631            
18/02/25 06:52:31 0054 1                  44.758822 8.784436 cc 01 3230303033304d3032363737            
18/02/25 06:52:34 0055 1                  44.758822 8.784436 cc 01 30360392a043ed0404000992            
18/02/25 06:52:35 0056 1                  44.758822 8.784436 cc 01 30360394a839e10406000c70            
18/02/25 06:52:36 0057 1                  44.758822 8.784436 cc 01 303acb034384b29ac688d056            
18/02/25 06:52:41 0058 1                  44.758822 8.784436 cc 01 303acb0343a43219d8b6356b            
18/02/25 06:52:57 0059 1                  44.758635 8.784450 cc 01 303acb03431e511ac688db8d            
18/02/25 06:55:37 0060 1                  44.759117 8.784969 cc 01 323030323545303031373333            
18/02/25 06:56:11 0061 1                  44.758968 8.785260 cc 01 3230303033304d3035343439            
18/02/25 06:58:00 0062 1                  44.758775 8.785095 cc 01 313932343043303030313932            
18/02/25 07:01:16 0063 1                  44.758658 8.785949 cc 01 3233303132304a3031383135            
18/02/25 07:03:01 0064 1                  44.759645 8.785428 cc 01 3230303033304d3031383233            
18/02/25 07:06:35 0065 1                  44.760612 8.786500 cc 01 3230303033304d3032363231            
18/02/25 07:07:33 0066 1                  44.760468 8.786377 cc 01 323030323545303039323830            
18/02/25 07:09:00 0067 1                  44.760420 8.786435 cc 01 313932343043303030323030            
18/02/25 07:19:11 0068 1                  44.758854 8.786482 cc 01 313932343043303030363733            
18/02/25 07:22:43 0069 1                  44.760736 8.787650 cc 01 3231303032334d3035363932            
18/02/25 07:24:59 0070 1                  44.760613 8.787217 cc 01 30360392a043ed0404000992            
18/02/25 07:29:29 0071 1                  44.760080 8.788309 cc 01 3230303033304d3032343034            
18/02/25 07:30:56 0072 1                  44.760317 8.787855 cc 01 3230303033304d3032323937            
18/02/25 07:31:38 0073 1                  44.760193 8.787816 cc 01 323030323545303038383839            
18/02/25 07:42:19 0074 1                  44.761303 8.786126 cc 01 3230303033304d3031353938            
18/02/25 07:47:01 0075 1                  44.761564 8.785266 cc 01 3233303234304a3030373337            
18/02/25 07:49:15 0076 1                  44.761581 8.785359 cc 01 3230303033304d3032363032            
18/02/25 07:53:05 0077 1                  44.761776 8.784536 cc 01 3230303033304d3037383237            
18/02/25 07:54:33 0078 1                  44.761577 8.783652 cc 01 3230303033304d3032313230            
18/02/25 07:56:38 0079 1                  44.761957 8.783249 cc 01 3230303033304d3032313733            
18/02/25 08:03:41 0080 1                  44.762687 8.782389 cc 01 313932343043303030363836            
18/02/25 08:11:06 0081 1                  44.761878 8.782266 cc 01 31383033304d303035343636            
18/02/25 08:13:00 0082 1                  44.761303 8.781686 cc 01 313932343043303030313833            
18/02/25 08:17:27 0083 1                  44.759515 8.781660 cc 01 323030323545303034343331            
