15/08/25 05:03:26 0000 s 02547ver01 44.752960 8.812352 ss 01
15/08/25 05:12:38 0000 s 02547ver01 0 0 ss 01
15/08/25 05:14:15 0001 1                  44.732697 8.771818 ss 01 313831323045303032333330            
15/08/25 05:16:30 0002 1                  44.726467 8.769738 ss 01 31383032334d303030343435            
15/08/25 05:16:31 0003 1                  44.726467 8.769738 ss 01 3232303132304a3030333339            
15/08/25 05:16:42 0004 1                  44.726423 8.769703 ss 01 233005122409740002010000            
15/08/25 05:18:11 0000 s 02547ver01 0 0 ss 01
15/08/25 05:18:23 0005 1                  44.726167 8.769653 ss 01 313831323045303033373339            
15/08/25 05:19:02 0006 1                  44.725922 8.769202 ss 01 323030323545303034333935            
15/08/25 05:19:05 0007 1                  44.725898 8.769183 ss 01 313831323045303032383738            
15/08/25 05:20:48 0008 1                  44.726867 8.770107 ss 01 31383032334d303034323433            
15/08/25 05:20:53 0009 1                  44.726883 8.770132 ss 01 31383033304d303030343234            
15/08/25 05:21:06 0010 1                  44.726888 8.770177 ss 01 313831323045303032333136            
15/08/25 05:21:14 0011 1                  44.726892 8.770215 ss 01 323030323545303037383234            
15/08/25 05:22:11 0012 1                  44.726792 8.770347 ss 01 3235303132304a3031343938            
15/08/25 05:23:18 0013 1                  44.726263 8.770353 ss 01 31383132334d303033313232            
15/08/25 05:23:23 0014 1                  44.726257 8.770357 ss 01 313831323045303032383631            
15/08/25 05:23:35 0015 1                  44.726245 8.770370 ss 01 3231303132304a3036363033            
15/08/25 05:23:46 0016 1                  44.726222 8.770373 ss 01 3234303132304a3031313339            
15/08/25 05:26:13 0017 1                  44.726078 8.770183 ss 01 313831323045303033333334            
15/08/25 05:26:14 0018 1                  44.726083 8.770177 ss 01 313831323045303033313836            
15/08/25 05:31:06 0019 1                  44.723808 8.762488 ss 01 313831323045303032363735            
15/08/25 05:37:56 0020 1                  44.716427 8.770218 ss 01 3232303132304a3030343731            
15/08/25 05:38:00 0021 1                  44.716428 8.770217 ss 01 313831323045303032323033            
15/08/25 05:39:28 0022 1                  44.717462 8.769598 ss 01 313932343053303030343433            
15/08/25 05:39:34 0023 1                  44.717462 8.769608 ss 01 30396061c0d466800000b54b            
15/08/25 05:43:09 0024 1                  44.725597 8.769958 ss 01 313831323045303032323639            
15/08/25 05:43:17 0025 1                  44.725518 8.769965 ss 01 31383032334d303038383036            
15/08/25 05:43:26 0026 1                  44.725452 8.769997 ss 01 31383032334d303032383133            
15/08/25 05:43:28 0027 1                  44.725452 8.769997 ss 01 313831323045303032323731            
15/08/25 05:44:47 0028 1                  44.724803 8.770667 ss 01 313831323045303033303434            
15/08/25 05:45:32 0029 1                  44.724053 8.771400 ss 01 313831323045303032363330            
15/08/25 05:45:34 0030 1                  44.724042 8.771410 ss 01 31383032334d303033303634            
15/08/25 05:45:44 0031 1                  44.724020 8.771430 ss 01 313831323045303032373035            
15/08/25 05:47:02 0032 1                  44.723515 8.771927 ss 01 313831323045303032353631            
15/08/25 05:47:07 0033 1                  44.723513 8.771933 ss 01 31383032334d303033303735            
15/08/25 05:50:22 0034 1                  44.722553 8.773325 ss 01 313831313030533030303532            
15/08/25 05:51:38 0035 1                  44.723678 8.772223 ss 01 3234303032334d3030353330            
15/08/25 05:51:41 0036 1                  44.723683 8.772230 ss 01 313831323045303033303739            
15/08/25 05:53:22 0037 1                  44.724400 8.771732 ss 01 3231303132304a3039393930            
15/08/25 05:53:28 0038 1                  44.724415 8.771773 ss 01 313831323045303032363339            
15/08/25 05:53:30 0039 1                  44.724420 8.771787 ss 01 3035ebc0802b1ac8000685ce            
15/08/25 05:53:39 0040 1                  44.724438 8.771808 ss 01 31383032334d303030343332            
15/08/25 05:54:53 0041 1                  44.724823 8.770747 ss 01 313831323045303032363737            
15/08/25 05:55:03 0042 1                  44.724802 8.770743 ss 01 313831323045303033303434            
15/08/25 05:55:45 0043 1                  44.724902 8.770902 ss 01 31383032334d303431353137            
15/08/25 05:55:51 0044 1                  44.724927 8.770910 ss 01 3234303132304a3032353636            
15/08/25 05:55:53 0045 1                  44.724932 8.770913 ss 01 313831323045303032363739            
15/08/25 05:56:11 0046 1                  44.724948 8.770940 ss 01 31383032334d303031353137            
15/08/25 05:56:13 0047 1                  44.724950 8.770943 ss 01 31383032334d303031353538            
15/08/25 05:57:05 0048 1                  44.725182 8.771002 ss 01 31383032334d303039353631            
15/08/25 05:57:08 0049 1                  44.725178 8.771002 ss 01 313831323045303032373130            
