19/02/25 04:58:49 0000 s 02538ver01 44.753028 8.812223 vv 01
19/02/25 05:23:47 0001 1                  44.760003 8.780773 vv 01 3234303032334d3031383638            
19/02/25 05:23:49 0002 1                  44.760002 8.780770 vv 01 3231303032334d3030373739            
19/02/25 05:25:09 0003 1                  44.759968 8.780695 vv 01 31383032334d303131323630            
19/02/25 05:28:08 0004 1                  44.759973 8.780717 vv 01 3230303234304a3030333336            
19/02/25 05:28:27 0005 1                  44.759968 8.780703 vv 01 3230303234304a3030373835            
19/02/25 05:29:42 0006 1                  44.759977 8.780697 vv 01 3230303234304a3030373832            
19/02/25 05:31:39 0007 1                  44.759527 8.780750 vv 01 3230303234304a3030343837            
19/02/25 05:35:50 0008 1                  44.761955 8.780260 vv 01 3230303234304a3030303438            
19/02/25 05:35:57 0009 1                  44.761962 8.780243 vv 01 3230303234304a3030313738            
19/02/25 05:38:51 0010 1                  44.764177 8.775672 vv 01 323030323545303030333232            
19/02/25 05:38:52 0011 1                  44.764175 8.775670 vv 01 3233303234304a3031313131            
19/02/25 05:44:36 0012 1                  44.762788 8.777175 vv 01 323030323545303030303335            
19/02/25 05:45:45 0013 1                  44.762805 8.777157 vv 01 3230303234304a3030383535            
19/02/25 05:46:57 0014 1                  44.762752 8.776772 vv 01 323032343056303030393632            
19/02/25 05:51:07 0015 1                  44.763328 8.776472 vv 01 3230303234304a3030313433            
19/02/25 05:54:59 0016 1                  44.764430 8.774873 vv 01 323032343056303030383230            
19/02/25 05:55:19 0017 1                  44.764418 8.774820 vv 01 323030323545303037373734            
19/02/25 06:01:05 0018 1                  44.764917 8.772533 vv 01 323032343056303031313835            
19/02/25 06:09:37 0019 1                  44.764655 8.780773 vv 01 323032343056303031303332            
19/02/25 06:09:38 0020 1                  44.764655 8.780773 vv 01 323030323545303037393236            
19/02/25 06:09:59 0021 1                  44.764627 8.780778 vv 01 323032343056303031303331            
19/02/25 06:11:17 0022 1                  44.764602 8.780755 vv 01 3231303234304a3030343734            
19/02/25 06:13:09 0023 1                  44.764663 8.780805 vv 01 000000000000000013688634            
19/02/25 06:18:06 0024 1                  44.766885 8.780802 vv 01 323032343056303030393238            
19/02/25 06:18:12 0025 1                  44.766873 8.780773 vv 01 3231303032334d3033353237            
19/02/25 06:23:05 0026 1                  44.765222 8.780025 vv 01 323030323545303037343938            
19/02/25 06:23:18 0027 1                  44.765250 8.780035 vv 01 3234303032334d3031333635            
19/02/25 06:23:21 0028 1                  44.765255 8.780037 vv 01 323032343056303030393331            
19/02/25 06:33:55 0029 1                  44.760450 8.771103 vv 01 3232303234304a3030303233            
19/02/25 06:34:28 0030 1                  44.760452 8.771120 vv 01 3232303234304a3030303231            
19/02/25 06:35:03 0031 1                  44.760445 8.771122 vv 01 3230313130304a3031313538            
19/02/25 06:35:18 0032 1                  44.760453 8.771120 vv 01 3232303234304a3030303036            
19/02/25 06:35:35 0033 1                  44.760465 8.771135 vv 01 3230303234304a3030373033            
19/02/25 06:36:55 0034 1                  44.760447 8.771132 vv 01 3230303234304a3030373031            
19/02/25 06:41:00 0035 1                  44.761145 8.770817 vv 01 3231313130304a3031323831            
19/02/25 06:41:05 0037 1                  44.761148 8.770803 vv 01 3231303132304a3037363734            
19/02/25 06:41:27 0038 1                  44.761132 8.770743 vv 01 3230303234304a3030303936            
19/02/25 06:41:28 0039 1                  44.761132 8.770743 vv 01 3230303234304a3030303935            
19/02/25 06:43:44 0040 1                  44.760927 8.769193 vv 01 3230303234304a3030383438            
19/02/25 06:44:58 0041 1                  44.760935 8.769175 vv 01 3230303234304a3030303937            
19/02/25 06:48:40 0042 1                  44.761203 8.768012 vv 01 323032343056303031323638            
19/02/25 06:48:43 0043 1                  44.761203 8.768017 vv 01 3230303234304a3030383331            
19/02/25 06:48:47 0044 1                  44.761198 8.768027 vv 01 323031323055303030333136            
19/02/25 06:49:07 0045 1                  44.761200 8.768040 vv 01 323030323545303030343836            
19/02/25 06:51:26 0046 1                  44.761662 8.768275 vv 01 3231303234304a3033333532            
19/02/25 06:53:38 0047 1                  44.761703 8.769312 vv 01 323032343056303031323338            
19/02/25 06:53:39 0048 1                  44.761700 8.769313 vv 01 323030323545303030363333            
19/02/25 06:55:37 0049 1                  44.761572 8.769823 vv 01 323032343056303031323336            
19/02/25 06:55:54 0050 1                  44.761563 8.769830 vv 01 323032343056303031323336            
19/02/25 06:57:53 0051 1                  44.761497 8.770035 vv 01 323030323545303030363336            
19/02/25 06:58:55 0052 1                  44.761502 8.769955 vv 01 323032343056303030383338            
19/02/25 07:02:24 0053 1                  44.759188 8.769620 vv 01 323030323545303037393738            
19/02/25 07:02:25 0054 1                  44.759188 8.769620 vv 01 323030323545303034313032            
19/02/25 07:02:59 0055 1                  44.759202 8.769650 vv 01 323030323545303037343132            
19/02/25 07:03:02 0056 1                  44.759200 8.769655 vv 01 3231303234304a3030383531            
19/02/25 07:03:13 0057 1                  44.759200 8.769668 vv 01 323030323545303030313236            
19/02/25 07:03:18 0058 1                  44.759200 8.769670 vv 01 323030323545303030303034            
19/02/25 07:07:24 0059 1                  44.758047 8.769077 vv 01 323032343056303031313637            
19/02/25 07:08:05 0060 1                  44.758060 8.769073 vv 01 323030323545303032393335            
19/02/25 07:13:09 0061 1                  44.759152 8.770582 vv 01 3231303234304a3033373334            
19/02/25 07:15:53 0062 1                  44.759208 8.771557 vv 01 3230303234304a3030323937            
19/02/25 07:16:04 0063 1                  44.759207 8.771567 vv 01 3230303234304a3030323938            
19/02/25 07:16:07 0064 1                  44.759207 8.771568 vv 01 323032343056303031333938            
19/02/25 07:25:16 0065 1                  44.775150 8.759402 vv 01 323032343056303031313036            
19/02/25 07:25:18 0066 1                  44.775155 8.759410 vv 01 323032343056303031303934            
19/02/25 08:06:36 0067 1                  44.763182 8.779403 vv 01 3231303234304a3030373236            
19/02/25 08:07:15 0068 1                  44.763168 8.779418 vv 01 3231303234304a3030373237            
19/02/25 08:08:05 0069 1                  44.763170 8.779408 vv 01 3231303234304a3032313131            
19/02/25 08:08:29 0070 1                  44.763180 8.779418 vv 01 3230303234304a3030333232            
19/02/25 08:09:02 0071 1                  44.763188 8.779417 vv 01 3230303234304a3030333231            
19/02/25 08:28:14 0000 s 02538ver01 44.762903 8.793107 vv 01
19/02/25 08:49:25 0000 s 02538ver01 44.763002 8.793090 vv 01
19/02/25 08:55:30 0072 1                  44.757682 8.784735 vv 01 313932343056303030333639            
19/02/25 08:55:32 0073 1                  44.757683 8.784743 vv 01 000000000131405300000000            
19/02/25 08:55:41 0074 1                  44.757692 8.784783 vv 01 e2003072380a0256140086f6            
19/02/25 08:58:03 0076 1                  44.756830 8.786453 vv 01 000000000000000003530824            
19/02/25 09:09:33 0077 1                  44.764473 8.773727 vv 01 3230303234304a3030313036            
19/02/25 09:13:29 0078 1                  44.762143 8.774633 vv 01 4e20198ae7df400000000001            
19/02/25 09:39:39 0079 1                  44.786505 8.746953 vv 01 111150000000003575771795            
