27/06/25 05:41:37 0000 s 02540ver01 44.696245 8.685457 cc 01
27/06/25 08:20:03 0072 1                  44.771593 8.729523 cc 01 31383132304a303134353534            
27/06/25 08:24:32 0073 1                  44.770113 8.726770 cc 01 313931323043303032393334            
27/06/25 08:24:43 0074 1                  44.770117 8.726775 cc 01 31383032334d303133333439            
27/06/25 08:24:45 0075 1                  44.770112 8.726775 cc 01 31383132304a303036333037            
27/06/25 08:25:48 0076 1                  44.770207 8.726823 cc 01 31383132304a303133393736            
27/06/25 08:26:55 0077 1                  44.770328 8.726968 cc 01 31383132304a303133393832            
27/06/25 08:28:12 0078 1                  44.770470 8.727092 cc 01 30340c13984bc6068c5d4006            
27/06/25 08:32:18 0079 1                  44.771085 8.727250 cc 01 3034f837141b178ab41dbb3c            
27/06/25 08:32:34 0080 1                  44.771078 8.727220 cc 01 31383132304a303133353338            
27/06/25 08:33:22 0081 1                  44.771265 8.727217 cc 01 31383132304a303133393830            
27/06/25 08:36:28 0082 1                  44.771522 8.727335 cc 01 31383132304a303133353332            
27/06/25 08:36:44 0083 1                  44.771505 8.727338 cc 01 31383032334d303038393738            
27/06/25 08:38:54 0084 1                  44.771605 8.727388 cc 01 31383132304a303130333432            
27/06/25 08:43:34 0085 1                  44.770502 8.726040 cc 01 31383132304a303135313635            
27/06/25 08:43:36 0086 1                  44.770505 8.726025 cc 01 3036001d4036168000002815            
27/06/25 08:43:41 0087 1                  44.770517 8.726012 cc 01 303acb034288669ac689960e            
27/06/25 08:43:44 0088 1                  44.770527 8.726005 cc 01 303ac8e9c03aeed9d8b63cc3            
27/06/25 08:43:46 0089 1                  44.770532 8.726003 cc 01 303acb0343781699d8b7e3cd            
27/06/25 08:43:52 0090 1                  44.770518 8.725952 cc 01 303acb03425aa61c8478922e            
27/06/25 08:45:03 0091 1                  44.770633 8.725143 cc 01 31383132304a303132313536            
27/06/25 08:45:11 0092 1                  44.770632 8.725117 cc 01 31383032334d303133373031            
27/06/25 08:46:07 0093 1                  44.770250 8.724682 cc 01 30340c0f6c41065e3d253c05            
27/06/25 08:46:15 0094 1                  44.770232 8.724673 cc 01 303436396c11ae2151c33005            
27/06/25 08:46:18 0095 1                  44.770230 8.724675 cc 01 30340bf4681fbb740da79006            
27/06/25 08:46:22 0096 1                  44.770222 8.724673 cc 01 3036143dd415b01748d9339b            
27/06/25 08:46:31 0097 1                  44.770193 8.724647 cc 01 31383132304a303135303934            
27/06/25 08:47:17 0098 1                  44.770020 8.724342 cc 01 31383132304a303133353630            
27/06/25 08:47:26 0099 1                  44.770052 8.724323 cc 01 31383132304a303135303930            
27/06/25 08:48:18 0100 1                  44.770028 8.724387 cc 01 31383132304a303133353631            
27/06/25 08:50:16 0101 1                  44.769800 8.724237 cc 01 31383032334d303133373033            
27/06/25 08:52:56 0102 1                  44.770602 8.723645 cc 01 31383132304a303132313631            
27/06/25 08:53:39 0103 1                  44.770540 8.723585 cc 01 31383132304a303135313730            
27/06/25 08:54:57 0104 1                  44.770915 8.724083 cc 01 3234303032334d3031393939            
27/06/25 08:55:08 0105 1                  44.770957 8.724082 cc 01 31383132704a303133353635            
27/06/25 08:55:09 0106 1                  44.770957 8.724082 cc 01 31383132304a303133353635            
27/06/25 08:55:15 0107 1                  44.770973 8.724092 cc 01 3235303132304a3030353932            
27/06/25 08:55:23 0108 1                  44.770977 8.724090 cc 01 31383032334d303137383930            
27/06/25 08:55:34 0109 1                  44.770938 8.724142 cc 01 31383032334d303038383633            
27/06/25 08:55:49 0110 1                  44.770980 8.724118 cc 01 31383132304a303133343936            
27/06/25 08:56:35 0111 1                  44.771017 8.724107 cc 01 313931323043303038313136            
27/06/25 09:18:46 0112 1                  44.769278 8.725415 cc 01 30340c0f6c41065e3d253c05            
27/06/25 09:20:20 0113 1                  44.769247 8.725388 cc 01 30340c13984bc6068c5d4006            
27/06/25 09:20:39 0114 1                  44.769253 8.725400 cc 01 3036143dd415b01748d9339b            
27/06/25 09:20:53 0115 1                  44.769225 8.725385 cc 01 30340c04542e84d74877111c            
27/06/25 09:21:12 0116 1                  44.769250 8.725413 cc 01 30361437a415f0df3305c07d            
27/06/25 09:21:18 0117 1                  44.769257 8.725403 cc 01 30395dfa82d7de0000264da7            
27/06/25 09:21:28 0118 1                  44.769265 8.725392 cc 01 30340c139840d45e3b0e0806            
27/06/25 09:22:58 0119 1                  44.769162 8.725427 cc 01 3034f722d45411426432a52a            
27/06/25 09:23:25 0120 1                  44.769163 8.725443 cc 01 303ac8e9c0fa8b5ca898c7a7            
27/06/25 09:23:28 0121 1                  44.769172 8.725437 cc 01 303549a8a01e294cce41677d            
27/06/25 09:25:29 0122 1                  44.769307 8.725273 cc 01 303549a9142d3a4cce4168db            
27/06/25 09:25:47 0123 1                  44.769282 8.725322 cc 01 30340be638385e589de30c03            
27/06/25 09:32:10 0124 1                  44.769293 8.716057 cc 01 31383032334d303137383536            
27/06/25 09:34:19 0125 1                  44.769542 8.715573 cc 01 3035ea3d642609574876e924            
27/06/25 09:34:28 0126 1                  44.769528 8.715625 cc 01 31383132304a303135313330            
