16/01/25 04:59:47 0000 s 02540ver01 44.753057 8.812153 ss 01
16/01/25 05:39:47 0000 s 02540ver01 44.753050 8.811827 ss 01
16/01/25 05:50:35 0001 1                  44.760523 8.791402 ss 01 3232303032334d3030343933            
16/01/25 05:51:07 0002 1                  44.760555 8.791428 ss 01 3231303033304d3034303935            
16/01/25 05:51:10 0003 1                  44.760557 8.791432 ss 01 3234303033304d3030373436            
16/01/25 05:51:49 0004 1                  44.760543 8.791347 ss 01 3234303032334d3030303838            
16/01/25 05:51:51 0005 1                  44.760533 8.791353 ss 01 3231303033304d3033313133            
16/01/25 05:51:58 0006 1                  44.760535 8.791358 ss 01 3231303032334d3033323030            
16/01/25 05:58:42 0007 1                  44.762233 8.787245 ss 01 3232313130304a3030313239            
16/01/25 06:10:14 0008 1                  44.762240 8.785963 ss 01 3231303132304a3038383733            
16/01/25 06:12:44 0009 1                  44.762242 8.785500 ss 01 3231303132304a3039393533            
16/01/25 06:14:10 0010 1                  44.761967 8.785155 ss 01 3231303033304d3034363939            
16/01/25 06:14:14 0011 1                  44.761947 8.785133 ss 01 3230303033304d3036373735            
16/01/25 06:14:32 0012 1                  44.761800 8.785145 ss 01 3234303033304d3030363833            
16/01/25 06:15:43 0013 1                  44.762102 8.784497 ss 01 3233303234304a3030383535            
16/01/25 06:15:57 0014 1                  44.762155 8.784398 ss 01 3232303234304a3030383431            
16/01/25 06:17:03 0015 1                  44.762025 8.784543 ss 01 313931323053303039303732            
16/01/25 06:20:14 0016 1                  44.762063 8.783323 ss 01 3233303132304a3031323039            
16/01/25 06:22:07 0017 1                  44.763060 8.782528 ss 01 3230303033304d3034393636            
16/01/25 06:24:21 0018 1                  44.762420 8.784907 ss 01 3231303033304d3034373037            
16/01/25 06:28:29 0019 1                  44.762147 8.781487 ss 01 3230303033304d3030323631            
16/01/25 06:29:22 0020 1                  44.761818 8.781272 ss 01 3231303033304d3033363031            
16/01/25 06:29:25 0021 1                  44.761832 8.781267 ss 01 3233303132304a3030383439            
16/01/25 06:29:38 0022 1                  44.761923 8.781235 ss 01 3230303033304d3030343339            
16/01/25 06:29:46 0023 1                  44.761915 8.781268 ss 01 3231303033304d3030333334            
16/01/25 06:30:05 0024 1                  44.762062 8.781167 ss 01 3234303032334d3030313532            
16/01/25 06:30:06 0025 1                  44.762057 8.781175 ss 01 3230303033304d3033333535            
16/01/25 06:30:07 0026 1                  44.762063 8.781205 ss 01 3234303032334d3030303235            
16/01/25 06:30:10 0027 1                  44.762018 8.781253 ss 01 31383033304d303035303638            
16/01/25 06:30:12 0028 1                  44.762030 8.781253 ss 01 323030323545303037333338            
16/01/25 06:32:15 0029 1                  44.761070 8.781488 ss 01 3233303234304a3030363331            
16/01/25 06:32:18 0030 1                  44.761077 8.781488 ss 01 3230303033304d3034303430            
16/01/25 06:32:19 0031 1                  44.761083 8.781488 ss 01 313932343043303030313833            
16/01/25 06:32:24 0032 1                  44.761098 8.781500 ss 01 3234303033304d3030383533            
16/01/25 06:32:52 0033 1                  44.761202 8.781468 ss 01 3230303033304d3033393537            
16/01/25 06:34:28 0034 1                  44.760738 8.781033 ss 01 3230303033304d3035323932            
16/01/25 06:34:35 0035 1                  44.760730 8.781053 ss 01 3234303033304d3030353836            
16/01/25 06:34:56 0036 1                  44.760715 8.781088 ss 01 3230303033304d3033363334            
16/01/25 06:37:47 0037 1                  44.759335 8.781727 ss 01 303acb0343487a1ac688cb3c            
16/01/25 06:37:49 0038 1                  44.759332 8.781725 ss 01 303acb03431771e0aebd9f3a            
16/01/25 06:37:50 0039 1                  44.759323 8.781725 ss 01 3230303033304d3036323837            
16/01/25 06:37:53 0040 1                  44.759310 8.781727 ss 01 303acb034326a29c8bc29c65            
16/01/25 06:37:54 0041 1                  44.759298 8.781715 ss 01 3034f7edc402274ab41dc7f7            
16/01/25 06:38:36 0042 1                  44.759130 8.782055 ss 01 303acb034326a29c8bc29c65            
16/01/25 06:38:41 0043 1                  44.759118 8.782082 ss 01 3034f7edc402274ab41dc7f7            
16/01/25 06:38:44 0044 1                  44.759107 8.782100 ss 01 3230303033304d3033393331            
16/01/25 06:39:10 0045 1                  44.758938 8.782263 ss 01 3034f7edc402274ab41dc7f7            
16/01/25 06:39:23 0046 1                  44.758860 8.782255 ss 01 3230303033304d3036303930            
16/01/25 06:39:42 0047 1                  44.758830 8.782265 ss 01 3230303033304d3033383630            
16/01/25 06:40:29 0048 1                  44.758695 8.782678 ss 01 3230303033304d3033333937            
16/01/25 06:41:25 0049 1                  44.758798 8.782835 ss 01 3231303132304a3030363539            
16/01/25 06:41:52 0050 1                  44.758782 8.782848 ss 01 3034f7edc402274ab41dc7f7            
16/01/25 06:41:54 0051 1                  44.758782 8.782848 ss 01 303acb034326a29c8bc29c65            
16/01/25 06:42:59 0052 1                  44.758883 8.783007 ss 01 303acb034326a29c8bc29c65            
16/01/25 06:43:01 0053 1                  44.758887 8.783013 ss 01 e2806894000050224ba7e0fa            
16/01/25 06:43:02 0054 1                  44.758893 8.783018 ss 01 3034f7edc402274ab41dc7f7            
16/01/25 06:43:49 0055 1                  44.758648 8.783357 ss 01 3034f7edc402274ab41dc7f7            
16/01/25 06:43:51 0056 1                  44.758622 8.783352 ss 01 e2806894000050224ba7e0fa            
