01/03/25 05:39:33 0000 s 01485ver01 44.882273 8.859962 00 00
01/03/25 06:27:13 0075 1                  44.978138 8.886490 00 00 323030323545303032393636            
01/03/25 06:27:35 0076 1                  44.978337 8.886358 00 00 323030323545303036363232            
01/03/25 06:27:45 0077 1                  44.978365 8.886400 00 00 323030323545303036363530            
01/03/25 06:28:06 0078 1                  44.978540 8.886228 00 00 3233303032334D3030363631            
01/03/25 06:28:20 0079 1                  44.978590 8.886050 00 00 323030323545303032353136            
01/03/25 06:28:22 0080 1                  44.978593 8.886050 00 00 323030323545303030343534            
01/03/25 06:29:07 0081 1                  44.978578 8.885683 00 00 323030323545303036363939            
01/03/25 06:29:16 0082 1                  44.978565 8.885665 00 00 323030323545303032383732            
01/03/25 06:30:29 0083 1                  44.977882 8.885922 00 00 323030323545303036363537            
01/03/25 06:31:39 0084 1                  44.975835 8.884767 00 00 323030323545303036313433            
01/03/25 06:31:48 0085 1                  44.975870 8.883788 00 00 323030323545303036313438            
01/03/25 06:31:54 0086 1                  44.976060 8.883288 00 00 323030323545303036313735            
01/03/25 06:32:26 0087 1                  44.976832 8.882457 00 00 323030323545303035393636            
01/03/25 06:33:33 0088 1                  44.977365 8.883093 00 00 323030323545303035373734            
01/03/25 06:33:55 0089 1                  44.977690 8.883933 00 00 323030323545303033303938            
01/03/25 06:34:00 0090 1                  44.977630 8.884007 00 00 323030323545303032323433            
01/03/25 06:34:01 0091 1                  44.977630 8.884007 00 00 3234303032334D3030313837            
01/03/25 06:34:06 0092 1                  44.977625 8.884015 00 00 323030323545303033313136            
01/03/25 06:34:26 0093 1                  44.977793 8.884360 00 00 323030323545303030343932            
01/03/25 06:34:44 0094 1                  44.978107 8.884833 00 00 323030323545303030343237            
01/03/25 06:35:04 0095 1                  44.978585 8.885057 00 00 323030323545303037323834            
01/03/25 06:35:34 0096 1                  44.979008 8.885030 00 00 323030323545303038393637            
01/03/25 06:35:54 0097 1                  44.979008 8.885020 00 00 323030323545303035343933            
01/03/25 06:36:09 0098 1                  44.979007 8.885017 00 00 3231303032334D3031393934            
01/03/25 06:36:44 0099 1                  44.979337 8.885563 00 00 323030323545303036373636            
01/03/25 06:36:48 0100 1                  44.979345 8.885578 00 00 323030323545303036373635            
01/03/25 06:37:08 0101 1                  44.979345 8.885787 00 00 3232303032334D3031363530            
01/03/25 06:37:13 0102 1                  44.979352 8.885785 00 00 3232303032334D3030303630            
01/03/25 06:37:16 0103 1                  44.979357 8.885783 00 00 323030323545303030313936            
01/03/25 06:37:21 0104 1                  44.979363 8.885785 00 00 323030323545303032333730            
01/03/25 06:37:23 0105 1                  44.979365 8.885785 00 00 323030323545303030353433            
01/03/25 06:37:55 0106 1                  44.979363 8.885985 00 00 323030323545303035363233            
01/03/25 06:38:15 0107 1                  44.979280 8.886422 00 00 323030323545303035383538            
01/03/25 06:38:29 0108 1                  44.979233 8.886647 00 00 323030323545303033343133            
01/03/25 06:38:45 0109 1                  44.979120 8.887230 00 00 133032145540295110000000            
01/03/25 06:39:07 0110 1                  44.978758 8.888538 00 00 323030323545303036363234            
01/03/25 06:39:28 0111 1                  44.978720 8.889143 00 00 323030323545303035383234            
01/03/25 06:39:41 0112 1                  44.978730 8.889293 00 00 3231303032334D3031383833            
01/03/25 06:40:15 0113 1                  44.979083 8.889815 00 00 323030323545303032323135            
01/03/25 06:40:20 0114 1                  44.979078 8.889810 00 00 323030323545303030343730            
01/03/25 06:40:24 0115 1                  44.979073 8.889808 00 00 323030323545303033383230            
01/03/25 06:40:45 0116 1                  44.979242 8.889845 00 00 323030323545303033383039            
01/03/25 06:41:06 0117 1                  44.979392 8.889952 00 00 323030323545303032323339            
01/03/25 06:41:31 0118 1                  44.979555 8.890012 00 00 323030323545303032323336            
01/03/25 06:41:36 0119 1                  44.979553 8.890013 00 00 323030323545303032313337            
01/03/25 06:41:36 0120 1                  44.979553 8.890013 00 00 323030323545303032323335            
01/03/25 06:41:40 0121 1                  44.979553 8.890018 00 00 323030323545303033383139            
01/03/25 06:41:41 0122 1                  44.979552 8.890017 00 00 323030323545303032323337            
01/03/25 06:41:56 0123 1                  44.979547 8.890017 00 00 323030323545303033383233            
01/03/25 06:42:04 0124 1                  44.979547 8.890017 00 00 3234303032334D3031303037            
01/03/25 06:42:49 0125 1                  44.979777 8.890060 00 00 323030323545303033383332            
