08/08/25 04:59:38 0000 s 02027ver01 44.752995 8.812312 xx 01
08/08/25 12:08:19 0072 1                  44.762205 8.796933 uu 01 323030323545303033323535            
08/08/25 12:10:14 0073 1                  44.762436 8.797240 uu 01 31383032334d303135383032            
08/08/25 12:10:46 0074 1                  44.762206 8.797481 uu 01 323032343055303030303732            
08/08/25 12:12:23 0075 1                  44.762138 8.798061 uu 01 31383032334d303135373638            
08/08/25 12:12:33 0076 1                  44.762138 8.798061 uu 01 31383032334d303035303233            
08/08/25 12:12:42 0077 1                  44.762138 8.798061 uu 01 3233303032334d3030343533            
08/08/25 12:12:58 0078 1                  44.761901 8.798198 uu 01 323030323545303033363039            
08/08/25 12:13:08 0079 1                  44.761901 8.798198 uu 01 323030323545303033353438            
08/08/25 12:13:26 0080 1                  44.761901 8.798198 uu 01 31383032334d303036323837            
08/08/25 12:14:42 0081 1                  44.762071 8.798490 uu 01 31383032334d303036303036            
08/08/25 12:14:57 0082 1                  44.762071 8.798490 uu 01 3233303032334d3030303630            
08/08/25 12:15:15 0083 1                  44.762071 8.798490 uu 01 31383032334d303036303035            
08/08/25 12:15:55 0084 1                  44.762071 8.798490 uu 01 31383032334d303036333433            
08/08/25 12:16:01 0085 1                  44.762071 8.798490 uu 01 31383032334d303036303038            
08/08/25 12:16:24 0086 1                  44.762071 8.798490 uu 01 3234303032334d3032323133            
08/08/25 12:16:34 0087 1                  44.762071 8.798490 uu 01 3231303032334d3031363935            
08/08/25 12:17:17 0088 1                  44.762616 8.797816 uu 01 3234303032334d3032303237            
08/08/25 12:17:23 0089 1                  44.762616 8.797816 uu 01 3231303032334d3031363930            
08/08/25 12:17:33 0090 1                  44.762616 8.797816 uu 01 3231303032334d3031363838            
08/08/25 12:17:55 0091 1                  44.762701 8.797701 uu 01 323030323545303033333432            
08/08/25 12:18:05 0092 1                  44.762701 8.797701 uu 01 323030323545303033333431            
08/08/25 12:18:11 0093 1                  44.762701 8.797701 uu 01 323030323545303033333339            
08/08/25 12:18:44 0094 1                  44.762943 8.797448 uu 01 3234303032334d3031383737            
08/08/25 12:18:52 0095 1                  44.762921 8.797488 uu 01 3231303032334d3035363734            
08/08/25 12:18:56 0096 1                  44.762921 8.797488 uu 01 3232303032334d3030353033            
08/08/25 12:19:01 0097 1                  44.762921 8.797488 uu 01 323030323545303032323832            
08/08/25 12:20:21 0098 1                  44.762921 8.797488 uu 01 323030323545303035383030            
08/08/25 12:21:53 0099 1                  44.763538 8.797391 uu 01 3233303032334d3030333530            
08/08/25 12:21:55 0100 1                  44.763538 8.797391 uu 01 31383032334d303035313338            
08/08/25 12:22:48 0101 1                  44.763531 8.798785 uu 01 31383032334d303135363637            
08/08/25 12:23:03 0102 1                  44.763316 8.798946 uu 01 31383032334d303135373737            
08/08/25 12:24:00 0103 1                  44.763183 8.799001 uu 01 323030323545303035303730            
08/08/25 12:24:09 0104 1                  44.762241 8.799806 uu 01 3232303032334d3030333733            
08/08/25 12:24:40 0105 1                  44.762006 8.800146 uu 01 31383032334d303036313533            
08/08/25 12:24:58 0106 1                  44.762006 8.800146 uu 01 31383032334d303135383735            
08/08/25 12:25:10 0107 1                  44.761981 8.800343 uu 01 31383032334d303135383737            
08/08/25 12:25:13 0108 1                  44.761963 8.800316 uu 01 31383032334d303135383738            
