25/07/25 05:08:55 0000 s 02533ver01 44.753095 8.812047 ss 01
25/07/25 05:34:57 0000 s 02533ver01 44.752775 8.812527 ss 01
25/07/25 05:44:42 0001 1                  44.788130 8.788823 ss 01 313831323045303033393538            
25/07/25 05:51:00 0002 1                  44.788045 8.784567 ss 01 31383033304d303034353939            
25/07/25 05:51:16 0003 1                  44.788052 8.784597 ss 01 313831323045303035353433            
25/07/25 05:51:33 0004 1                  44.788078 8.784615 ss 01 313831323045303032303432            
25/07/25 05:55:58 0005 1                  44.790738 8.784985 ss 01 313831323045303031343235            
25/07/25 05:58:02 0006 1                  44.790348 8.783028 ss 01 313931323053303036363836            
25/07/25 05:59:41 0007 1                  44.790377 8.783525 ss 01 313831323045303033373031            
25/07/25 05:59:42 0008 1                  44.790377 8.783522 ss 01 3034f836e43935cab41f6b5e            
25/07/25 05:59:51 0009 1                  44.790370 8.783515 ss 01 3235303132304a3030323832            
25/07/25 05:59:59 0010 1                  44.790358 8.783510 ss 01 3034f849003b1642ee000f1e            
25/07/25 06:00:13 0011 1                  44.790355 8.783498 ss 01 3034f7edc0603c8ab41e3c64            
25/07/25 06:02:27 0012 1                  44.791237 8.784322 ss 01 3234303033304d3030393833            
25/07/25 06:02:29 0013 1                  44.791242 8.784323 ss 01 313831323045303031303933            
25/07/25 06:02:31 0014 1                  44.791243 8.784327 ss 01 313871323045303031303933            
25/07/25 06:03:04 0015 1                  44.791230 8.784412 ss 01 3231303132304a3031313033            
25/07/25 06:05:14 0016 1                  44.791478 8.784275 ss 01 313931323045303030313531            
25/07/25 06:05:28 0017 1                  44.791492 8.784287 ss 01 313831323045303030333532            
25/07/25 06:06:07 0018 1                  44.791523 8.784277 ss 01 3234303132304a3030313434            
25/07/25 06:08:00 0019 1                  44.791762 8.783882 ss 01 31383033304d303031353330            
25/07/25 06:09:42 0020 1                  44.791078 8.783217 ss 01 313931323053303133353135            
25/07/25 06:09:45 0021 1                  44.791075 8.783213 ss 01 3034f848cc40cacab41dcf4d            
25/07/25 06:09:52 0022 1                  44.791073 8.783212 ss 01 303aca498134b11c4aa4e0e1            
25/07/25 06:09:55 0023 1                  44.791070 8.783210 ss 01 313831323045303030333138            
25/07/25 06:11:48 0024 1                  44.791657 8.782865 ss 01 3231303132304a3038383837            
25/07/25 06:13:10 0025 1                  44.791317 8.782770 ss 01 30395dfa8301f9c0a473aaaf            
25/07/25 06:13:11 0026 1                  44.791317 8.782770 ss 01 313931323053303039383239            
25/07/25 06:13:13 0027 1                  44.791315 8.782765 ss 01 30396061c03b9c80000fce9f            
25/07/25 06:13:17 0028 1                  44.791313 8.782763 ss 01 3234303132304a3030323530            
25/07/25 06:13:20 0029 1                  44.791315 8.782762 ss 01 313831323045303030393636            
25/07/25 06:15:15 0030 1                  44.790852 8.782812 ss 01 313831323045303030363238            
25/07/25 06:17:26 0031 1                  44.790990 8.782813 ss 01 303acb0340c4e21ac689c3df            
25/07/25 06:17:27 0032 1                  44.790992 8.782815 ss 01 30396061c05e50c00000186c            
25/07/25 06:17:30 0033 1                  44.790992 8.782815 ss 01 313831323045303030343437            
25/07/25 06:19:08 0034 1                  44.791165 8.782405 ss 01 313931323053303035363832            
25/07/25 06:22:11 0035 1                  44.791698 8.782057 ss 01 313831323045303031363334            
25/07/25 06:24:11 0036 1                  44.791630 8.781705 ss 01 31383032334d303037323932            
25/07/25 06:24:24 0037 1                  44.791608 8.781705 ss 01 313831323045303030303836            
25/07/25 06:24:26 0038 1                  44.791608 8.781707 ss 01 3036143dd45b311748d55694            
25/07/25 06:24:27 0039 1                  44.791607 8.781707 ss 01 3036143dd45b369748da206f            
25/07/25 06:24:28 0040 1                  44.791607 8.781707 ss 01 30361437a4128f9ebbd02c0a            
25/07/25 06:24:39 0041 1                  44.791598 8.781712 ss 01 30317d7a728547000002d460            
25/07/25 06:24:41 0042 1                  44.791597 8.781713 ss 01 3234303132304a3031393035            
25/07/25 06:26:59 0043 1                  44.791915 8.782748 ss 01 30395dfa82f32f800017da49            
25/07/25 06:27:00 0044 1                  44.791915 8.782748 ss 01 3034f848d85b8e4ab41dbaa9            
25/07/25 06:27:01 0045 1                  44.791918 8.782755 ss 01 313832343045303036303736            
25/07/25 06:27:03 0046 1                  44.791920 8.782757 ss 01 3039606303c0cfc11eb63c6c            
25/07/25 06:27:12 0047 1                  44.791938 8.782770 ss 01 3233303132304a3031303737            
25/07/25 06:27:56 0048 1                  44.791935 8.782777 ss 01 3231303132304a3039383339            
25/07/25 06:28:34 0049 1                  44.791933 8.782783 ss 01 330efe1b1810898165b55a2b            
25/07/25 06:28:35 0050 1                  44.791933 8.782785 ss 01 332efe1b18108a4165febc7f            
25/07/25 06:29:20 0051 1                  44.792202 8.782637 ss 01 31383033304d303030333739            
25/07/25 06:29:24 0052 1                  44.792207 8.782642 ss 01 3234303033304d3031383534            
25/07/25 06:29:48 0053 1                  44.792203 8.782677 ss 01 30361437a442f09f3305bc93            
