17/07/25 05:11:03 0000 s 01130ver01 44.753060 8.812188 vv 01
17/07/25 05:30:21 0001 1                  0 0 vv 01 313832343045303032333530            
17/07/25 05:30:21 0002 1                  0 0 vv 01 3234303234304a3030313235            
17/07/25 05:30:21 0003 1                  0 0 vv 01 323032323036323330303231            
17/07/25 05:34:16 0004 1                  44.806940 8.817527 vv 01 3231303234304a3033363834            
17/07/25 05:35:34 0005 1                  44.806736 8.819794 vv 01 313832343045303032343630            
17/07/25 05:38:10 0006 1                  44.807391 8.826286 vv 01 323032343056303030353138            
17/07/25 05:38:20 0007 1                  44.807383 8.826268 vv 01 31383032334d303035323539            
17/07/25 05:38:40 0008 1                  44.807334 8.826316 vv 01 e2000016661701812840037c            
17/07/25 05:41:41 0009 1                  44.807740 8.828817 vv 01 3235303234304a3030393836            
17/07/25 05:44:08 0010 1                  44.808666 8.832915 vv 01 3230303234304a3030333636            
17/07/25 05:51:58 0011 1                  44.808464 8.821011 vv 01 313832343045303032353337            
17/07/25 05:53:41 0012 1                  44.808033 8.819648 vv 01 323032343056303030363331            
17/07/25 06:10:36 0013 1                  44.808669 8.810434 vv 01 313832343045303032303831            
17/07/25 06:19:50 0014 1                  44.792883 8.776472 vv 01 3234303234304a3030393734            
17/07/25 06:26:37 0015 1                  44.789676 8.784657 vv 01 313832343045303031363033            
17/07/25 06:28:52 0016 1                  44.791332 8.784530 vv 01 313832343045303032313239            
17/07/25 06:30:40 0017 1                  44.791786 8.782071 vv 01 313932343045303032343139            
17/07/25 06:30:41 0018 1                  44.791779 8.782046 vv 01 313832343045303032343139            
17/07/25 06:33:24 0019 1                  44.791669 8.781301 vv 01 313832343045303032303139            
17/07/25 06:37:39 0020 1                  44.792875 8.784241 vv 01 313832343045303032393331            
17/07/25 06:41:07 0021 1                  44.792570 8.784848 vv 01 313832343045303033323831            
17/07/25 06:41:55 0022 1                  44.792660 8.785267 vv 01 313832343045303031313235            
17/07/25 06:46:15 0023 1                  44.793346 8.783032 vv 01 31383032334d303030393334            
17/07/25 06:46:28 0024 1                  44.793393 8.783213 vv 01 3234303234304a3030313334            
17/07/25 06:46:43 0025 1                  44.793403 8.783185 vv 01 3234303234304a3030313333            
17/07/25 06:47:25 0026 1                  44.793369 8.783251 vv 01 323030323545303031303135            
17/07/25 06:51:34 0027 1                  44.795698 8.784543 vv 01 313832343045303031373038            
17/07/25 06:54:32 0028 1                  44.794415 8.785576 vv 01 323032343056303030373737            
17/07/25 06:56:53 0029 1                  44.796089 8.786618 vv 01 3233303234304a3030303133            
17/07/25 07:00:06 0030 1                  44.795428 8.783571 vv 01 313832343045303032323838            
17/07/25 07:03:50 0031 1                  44.794556 8.783062 vv 01 31383234304a303034333332            
17/07/25 07:04:01 0032 1                  44.794585 8.783069 vv 01 3233303234304a3031323436            
17/07/25 08:12:56 0033 1                  44.826906 8.778295 vv 01 31383032334d303132343435            
17/07/25 08:24:08 0034 1                  44.796535 8.779113 vv 01 313832343045303033333639            
17/07/25 09:02:37 0035 1                  44.800638 8.787687 vv 01 313832343045303032333935            
17/07/25 09:04:36 0036 1                  44.799836 8.788915 vv 01 313832343045303032353138            
17/07/25 09:05:29 0037 1                  44.797907 8.788075 vv 01 313832343045303032363435            
17/07/25 09:10:24 0038 1                  44.792712 8.780740 vv 01 313832343045303032343437            
17/07/25 09:15:13 0039 1                  44.791250 8.781573 vv 01 313832343045303033303534            
17/07/25 09:16:57 0040 1                  44.791012 8.781708 vv 01 313832343045303032393435            
17/07/25 11:13:23 0000 s 01130ver01 44.753058 8.811980 vv 01
