22/07/25 05:14:12 0000 s 01133ver01 44.752948 8.812083 pp 01
22/07/25 05:20:15 0001 1                  0 0 pp 01 323032323036323330303230            
22/07/25 05:23:02 0000 s 01133ver01 44.753053 8.811958 pp 01
22/07/25 05:32:12 0002 1                  44.807270 8.770591 pp 01 313931323050303039323631            
22/07/25 05:35:41 0003 1                  44.808793 8.767746 pp 01 3233303132304a3030363530            
22/07/25 05:39:29 0004 1                  44.806206 8.752533 pp 01 313931323050303033303039            
22/07/25 05:42:57 0005 1                  44.813251 8.761716 pp 01 313931323050303030383939            
22/07/25 05:45:21 0006 1                  44.821758 8.751585 pp 01 313931323050303036303132            
22/07/25 05:47:17 0007 1                  44.820038 8.748108 pp 01 3231303234304a3030303235            
22/07/25 05:51:22 0008 1                  44.823201 8.740100 pp 01 313831323045303138353335            
22/07/25 05:54:59 0009 1                  44.831795 8.756003 pp 01 313831323045303230393639            
22/07/25 05:56:44 0010 1                  44.831956 8.756226 pp 01 313831323045303230363338            
22/07/25 05:58:22 0011 1                  44.832181 8.756485 pp 01 313831323045303231303930            
22/07/25 06:00:59 0012 1                  44.827026 8.758500 pp 01 313931323050303131393035            
22/07/25 06:03:12 0013 1                  44.826591 8.754790 pp 01 313831323045303231333531            
22/07/25 06:06:03 0014 1                  44.819825 8.763083 pp 01 313831323045303234333534            
22/07/25 06:16:14 0015 1                  44.820785 8.778473 pp 01 313831323045303230303437            
22/07/25 06:16:23 0016 1                  44.821176 8.776713 pp 01 313831323045313a30303530            
22/07/25 06:19:35 0017 1                  44.822893 8.784880 pp 01 313931323050303130383933            
22/07/25 06:24:46 0018 1                  44.828071 8.776938 pp 01 313831323045303230303136            
22/07/25 06:29:09 0019 1                  44.830021 8.784248 pp 01 313831323045303231373336            
22/07/25 06:42:14 0020 1                  44.827183 8.779451 pp 01 3234303132304a3031313136            
22/07/25 06:43:40 0021 1                  44.827045 8.778511 pp 01 313931323050303035333839            
22/07/25 06:48:44 0023 1                  44.829870 8.771358 pp 01 313931323050303035313434            
22/07/25 06:57:11 0024 1                  44.819648 8.798706 pp 01 3234303132304a3031313439            
22/07/25 07:03:52 0025 1                  44.826046 8.806370 pp 01 313931323050303034323537            
22/07/25 07:04:49 0026 1                  44.825943 8.806873 pp 01 313931323050303132303435            
22/07/25 07:06:03 0027 1                  44.825845 8.806906 pp 01 3231303234304a3034373531            
22/07/25 07:07:59 0028 1                  44.825915 8.809380 pp 01 713831323045303234323338            
22/07/25 07:12:35 0029 1                  44.829223 8.804321 pp 01 3234303132304a3031313333            
22/07/25 07:14:05 0030 1                  44.830145 8.804755 pp 01 313831323045303230353936            
22/07/25 07:15:31 0031 1                  44.832506 8.806275 pp 01 313931323050303037343537            
22/07/25 07:18:23 0032 1                  44.832915 8.822003 pp 01 313931323050303031363634            
22/07/25 07:21:30 0033 1                  44.832388 8.810295 pp 01 313931323050303035343731            
22/07/25 07:25:28 0034 1                  44.832025 8.800811 pp 01 313931323050303132393337            
22/07/25 07:26:10 0035 1                  44.832131 8.800800 pp 01 313831323045303139393736            
22/07/25 07:27:10 0036 1                  44.831768 8.801276 pp 01 313831323045703234303537            
22/07/25 07:30:51 0037 1                  44.823095 8.802415 pp 01 313931323050303032373234            
22/07/25 07:31:27 0038 1                  44.821793 8.798645 pp 01 313831323045303230303733            
22/07/25 07:31:42 0039 1                  44.821816 8.798735 pp 01 3234303132304a3031303130            
22/07/25 07:43:28 0040 1                  44.823158 8.791126 pp 01 313932343045303030373330            
22/07/25 07:50:03 0041 1                  44.809786 8.803378 pp 01 313931323050303039353436            
22/07/25 07:51:04 0042 1                  44.809360 8.805721 pp 01 313931323050303034373839            
22/07/25 07:54:15 0043 1                  44.814536 8.806350 pp 01 313931323050303032363036            
22/07/25 07:54:30 0044 1                  44.814543 8.806390 pp 01 313931323050303131303935            
22/07/25 07:55:06 0045 1                  44.814516 8.806401 pp 01 313831323045303235303331            
22/07/25 07:56:20 0046 1                  44.814596 8.806193 pp 01 313931323050303039353632            
22/07/25 07:56:55 0047 1                  44.814611 8.805836 pp 01 313831323045303138373236            
22/07/25 07:57:25 0048 1                  44.814555 8.805906 pp 01 313831323045303138373237            
22/07/25 07:57:25 0049 1                  44.814555 8.805906 pp 01 313831323045303138373237            
22/07/25 07:59:03 0050 1                  44.814328 8.806671 pp 01 313931323045303630313334            
22/07/25 08:01:22 0051 1                  44.816403 8.813301 pp 01 313931323050303034363832            
22/07/25 08:02:29 0052 1                  44.816453 8.813721 pp 01 313831323045303230323931            
22/07/25 08:03:45 0053 1                  44.818986 8.815813 pp 01 313931323050303037373234            
22/07/25 08:06:59 0054 1                  44.822923 8.818031 pp 01 313931323050303132343336            
22/07/25 08:07:03 0055 1                  44.822871 8.817996 pp 01 3234303132304a3030343035            
22/07/25 08:09:36 0056 1                  44.822236 8.817935 pp 01 313931323050303039343339            
22/07/25 08:17:38 0057 1                  44.814103 8.817870 pp 01 3234303132304a3030333034            
22/07/25 08:21:21 0058 1                  44.810961 8.817720 pp 01 313831323045303230353839            
22/07/25 08:21:23 0059 1                  44.810961 8.817720 pp 01 313831323045303233353139            
22/07/25 08:22:27 0060 1                  44.810690 8.817651 pp 01 313831323045303235323230            
22/07/25 08:26:10 0061 1                  44.807666 8.818853 pp 01 313931323050303034363833            
22/07/25 08:26:24 0062 1                  44.806448 8.817923 pp 01 31383132304a303236373730            
22/07/25 08:46:38 0063 1                  44.801706 8.800160 pp 01 313931323050303035353335            
